figure,analysis_population,metric,metric_scale_in_figure,rate_source,country_geography_type,n,minimum,q1,median,q3,maximum,lower_whisker,upper_whisker,outlier_count
country_geography_candidate_exposure_boxplots,all_existing_service_country_units,analysis_candidate_dependency_rate,rate,legacy_service_physical_exposure_rate,coastal_mainland_or_mixed,1395,0.0,0.0,0.0589198036006546,0.3083916083916084,1.0,0.0,0.7684210526315789,85
country_geography_candidate_exposure_boxplots,all_existing_service_country_units,analysis_candidate_dependency_rate,rate,legacy_service_physical_exposure_rate,island_or_archipelagic,720,0.0,0.0,0.37436496805360764,0.8888888888888888,1.0,0.0,1.0,0
country_geography_candidate_exposure_boxplots,all_existing_service_country_units,analysis_candidate_dependency_rate,rate,legacy_service_physical_exposure_rate,landlocked,615,0.0,0.0,0.0,0.1510869565217391,1.0,0.0,0.3684210526315789,103
country_geography_candidate_exposure_boxplots,all_existing_service_country_units,analysis_candidate_dependency_rate,rate,inter_region_candidate_exposure_rate,coastal_mainland_or_mixed,182,0.0,0.0,0.057189542483660094,0.34409492273730685,1.0,0.0,0.8333333333333334,10
country_geography_candidate_exposure_boxplots,all_existing_service_country_units,analysis_candidate_dependency_rate,rate,inter_region_candidate_exposure_rate,island_or_archipelagic,87,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0
country_geography_candidate_exposure_boxplots,all_existing_service_country_units,analysis_candidate_dependency_rate,rate,inter_region_candidate_exposure_rate,landlocked,79,0.0,0.0,0.0,0.027814938684503847,1.0,0.0,0.0512820512820512,19
country_geography_concentration_boxplots,auditable_paper_service_country_units,top1_corridor_share,rate,not_applicable,coastal_mainland_or_mixed,225,0.1079136690647482,0.2738095238095238,0.3941176470588235,0.6382978723404256,1.0,0.1079136690647482,1.0,0
country_geography_concentration_boxplots,auditable_paper_service_country_units,top1_corridor_share,rate,not_applicable,island_or_archipelagic,95,0.1052631578947368,0.3506837606837607,0.4344827586206896,0.508779924656702,1.0,0.1753731343283582,0.7449664429530202,5
country_geography_concentration_boxplots,auditable_paper_service_country_units,top1_corridor_share,rate,not_applicable,landlocked,18,0.6451612903225806,0.9826921229764377,1.0,1.0,1.0,0.9638009049773756,1.0,3
country_geography_concentration_boxplots,auditable_paper_service_country_units,effective_corridor_count,log1p,not_applicable,coastal_mainland_or_mixed,225,1.0,2.558341617286173,4.674166657551345,7.560110918662909,61.742917089493616,1.0,14.798323389663777,16
country_geography_concentration_boxplots,auditable_paper_service_country_units,effective_corridor_count,log1p,not_applicable,island_or_archipelagic,95,1.0,3.8198826486964617,5.842831335081324,7.6868405621399605,46.37839171915526,1.0,12.925082408221463,5
country_geography_concentration_boxplots,auditable_paper_service_country_units,effective_corridor_count,log1p,not_applicable,landlocked,18,1.0,1.0,1.0,1.0999064612591052,5.254863337922814,1.0,1.1684412065330592,3
country_geography_concentration_boxplots,auditable_paper_service_country_units,effective_network_transition_count,log1p,not_applicable,coastal_mainland_or_mixed,225,1.0,3.912631016434835,6.797842323528968,11.381332138651516,79.57169983788225,1.0,21.094808760081087,11
country_geography_concentration_boxplots,auditable_paper_service_country_units,effective_network_transition_count,log1p,not_applicable,island_or_archipelagic,95,1.9754350486787475,6.328328865709684,12.792534119217407,21.854892789394505,59.531769345746,1.9754350486787475,40.42534336490881,3
country_geography_concentration_boxplots,auditable_paper_service_country_units,effective_network_transition_count,log1p,not_applicable,landlocked,18,1.0,7.90900888007934,9.156728582194209,10.991223231081,28.181071931638563,6.922580847953632,12.447289822202954,4
country_geography_concentration_boxplots,auditable_paper_service_country_units,top3_corridor_share,rate,not_applicable,coastal_mainland_or_mixed,225,0.237410071942446,0.6157894736842106,0.8260869565217391,0.9444444444444444,1.0,0.237410071942446,1.0,0
country_geography_concentration_boxplots,auditable_paper_service_country_units,top3_corridor_share,rate,not_applicable,island_or_archipelagic,95,0.231578947368421,0.6588437681721264,0.7635135135135135,0.8640386085626912,1.0,0.3880597014925373,1.0,1
country_geography_concentration_boxplots,auditable_paper_service_country_units,top3_corridor_share,rate,not_applicable,landlocked,18,0.747422680412371,1.0,1.0,1.0,1.0,1.0,1.0,1
country_geography_sampling_boxplots,all_existing_service_country_units,total_valid_traces,log1p,not_applicable,coastal_mainland_or_mixed,1577,1.0,6.0,33.0,121.0,6244.0,1.0,293.0,201
country_geography_sampling_boxplots,all_existing_service_country_units,total_valid_traces,log1p,not_applicable,island_or_archipelagic,807,1.0,2.0,4.0,22.0,1995.0,1.0,51.0,148
country_geography_sampling_boxplots,all_existing_service_country_units,total_valid_traces,log1p,not_applicable,landlocked,694,1.0,2.0,12.0,40.0,1245.0,1.0,97.0,81
