country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8966->8966,as_transition,4,4,0.36363636363636365,1,True,False,False,False,11,5,4,4,0
AE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8966->5384,as_transition,3,3,0.2727272727272727,2,False,True,False,False,11,5,4,3,0
AE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,8529->8529,as_transition,2,2,0.18181818181818182,3,False,False,True,False,11,5,4,0,2
AE,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4637->4637,as_transition,2,2,0.18181818181818182,4,False,False,False,False,11,5,4,1,1
AL,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6939->6939,as_transition,5,5,1.0,1,True,False,False,False,5,2,2,0,5
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,1221->1221,as_transition,49,49,0.3828125,1,True,False,False,False,128,42,20,49,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7545->7545,as_transition,14,14,0.109375,2,False,True,False,False,128,42,20,14,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->-1,as_transition,11,11,0.0859375,3,False,False,True,False,128,42,20,11,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,134697->134697,as_transition,9,9,0.0703125,4,False,False,False,False,128,42,20,9,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4764->4764,as_transition,8,8,0.0625,5,False,False,False,False,128,42,20,8,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4804->7474,as_transition,6,6,0.046875,6,False,False,False,False,128,42,20,6,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7575->7575,as_transition,6,6,0.046875,7,False,False,False,False,128,42,20,6,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,136557->136557,as_transition,4,4,0.03125,8,False,False,False,False,128,42,20,4,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38008->7578,as_transition,3,3,0.0234375,9,False,False,False,False,128,42,20,3,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,7578->7578,as_transition,3,3,0.0234375,10,False,False,False,False,128,42,20,3,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,134090->134090,as_transition,3,3,0.0234375,11,False,False,False,False,128,42,20,3,0
AU,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,-1->7545,as_transition,3,3,0.0234375,12,False,False,False,False,128,42,20,3,0
