probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AU,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38008->7578,3,0.5,1,True,False,False,109,6,90,13,0.05504587155963303,0.8256880733944955,0.11926605504587157,2,2
AU,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4804->7474,3,0.5,2,False,True,False,109,6,90,13,0.05504587155963303,0.8256880733944955,0.11926605504587157,2,2
AU,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,38008->7578,3,0.5,1,True,False,False,109,6,90,13,0.05504587155963303,0.8256880733944955,0.11926605504587157,2,2
AU,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,4804->7474,3,0.5,2,False,True,False,109,6,90,13,0.05504587155963303,0.8256880733944955,0.11926605504587157,2,2
BB,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->2906,1,1.0,1,True,False,False,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,1,1
BB,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,23520->2906,1,1.0,1,True,False,False,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,1,1
BJ,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,28683->24691,3,0.6,1,True,False,False,8,5,3,0,0.625,0.375,0.0,2,2
BJ,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,36937->30844,2,0.4,2,False,True,False,8,5,3,0,0.625,0.375,0.0,2,2
BJ,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,28683->24691,3,0.6,1,True,False,False,8,5,3,0,0.625,0.375,0.0,2,2
BJ,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,36937->30844,2,0.4,2,False,True,False,8,5,3,0,0.625,0.375,0.0,2,2
CA,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,852->2906,41,0.8367346938775511,1,True,False,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,208951->6939,3,0.061224489795918366,2,False,True,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,174->3356,2,0.04081632653061224,3,False,False,True,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11260->6461,2,0.04081632653061224,4,False,False,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,all_publicly_visible,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11260->2906,1,0.02040816326530612,5,False,False,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,852->2906,41,0.8367346938775511,1,True,False,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,208951->6939,3,0.061224489795918366,2,False,True,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,174->3356,2,0.04081632653061224,3,False,False,True,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
CA,Netflix-Assets,resolved_entry_only,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,11260->6461,2,0.04081632653061224,4,False,False,False,97,49,38,10,0.5051546391752577,0.3917525773195876,0.10309278350515463,29,5
