country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AE->DJ,country_fallback,country_fallback,28,28,0.9333333333333333,1,True,False,False,True,30,15,7,0,28
AE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,2,2,0.06666666666666667,2,False,True,False,False,30,15,7,2,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,522,522,0.6859395532194481,1,True,False,False,False,761,260,103,503,19
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->NZ,country_fallback,country_fallback,87,87,0.11432325886990802,2,False,True,False,True,761,260,103,0,87
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,40,40,0.052562417871222074,3,False,False,True,True,761,260,103,40,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,136557->136557,as_transition,intra_as_hop_pair,30,30,0.03942181340341656,4,False,False,False,False,761,260,103,30,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,22,22,0.02890932982917214,5,False,False,False,False,761,260,103,17,5
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7474->7578,as_transition,cross_as_transition,18,18,0.023653088042049936,6,False,False,False,False,761,260,103,18,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7575->7575,as_transition,intra_as_hop_pair,16,16,0.02102496714848883,7,False,False,False,False,761,260,103,10,6
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,134697->134697,as_transition,intra_as_hop_pair,6,6,0.00788436268068331,8,False,False,False,False,761,260,103,6,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->SG,country_fallback,country_fallback,4,4,0.005256241787122208,9,False,False,False,True,761,260,103,0,4
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,64073->64073,as_transition,intra_as_hop_pair,3,3,0.003942181340341655,10,False,False,False,False,761,260,103,0,3
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7545->7545,as_transition,intra_as_hop_pair,3,3,0.003942181340341655,11,False,False,False,False,761,260,103,3,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,64098->64098,as_transition,intra_as_hop_pair,2,2,0.002628120893561104,12,False,False,False,False,761,260,103,2,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7699->4826,as_transition,cross_as_transition,2,2,0.002628120893561104,13,False,False,False,False,761,260,103,2,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7545->7474,as_transition,cross_as_transition,2,2,0.002628120893561104,14,False,False,False,False,761,260,103,2,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,134090->134090,as_transition,intra_as_hop_pair,2,2,0.002628120893561104,15,False,False,False,False,761,260,103,2,0
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,24516->24516,as_transition,intra_as_hop_pair,2,2,0.002628120893561104,16,False,False,False,False,761,260,103,0,2
AX,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,3238->3238,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
BJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,28683->174,as_transition,cross_as_transition,6,6,1.0,1,True,False,False,False,6,3,2,0,6
BR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:BR->BR,country_fallback,country_fallback,11,11,0.6470588235294118,1,True,False,False,True,17,9,6,11,0
BR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:BR->US,country_fallback,country_fallback,6,6,0.35294117647058826,2,False,True,False,True,17,9,6,0,6
CA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,6,6,0.42857142857142855,1,True,False,False,False,14,7,5,0,6
CA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:CA->US,country_fallback,country_fallback,4,4,0.2857142857142857,2,False,True,False,True,14,7,5,0,4
CA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,852->6939,as_transition,cross_as_transition,2,2,0.14285714285714285,3,False,False,True,False,14,7,5,0,2
CA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6461->6461,as_transition,intra_as_hop_pair,2,2,0.14285714285714285,4,False,False,False,False,14,7,5,0,2
CM,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,60171->60171,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
CN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,9808->58453,as_transition,cross_as_transition,22,22,0.9565217391304348,1,True,False,False,False,23,13,5,0,22
CN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4812->4134,as_transition,cross_as_transition,1,1,0.043478260869565216,2,False,True,False,False,23,13,5,1,0
CO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,13489->6762,as_transition,cross_as_transition,6,6,0.5,1,True,False,False,False,12,7,5,0,6
CO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,5,5,0.4166666666666667,2,False,True,False,False,12,7,5,0,5
CO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,52320->52320,as_transition,intra_as_hop_pair,1,1,0.08333333333333333,3,False,False,True,False,12,7,5,0,1
CV,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:CV->PT,country_fallback,country_fallback,2,2,1.0,1,True,False,False,True,2,1,1,0,2
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,5,5,0.3125,1,True,False,False,False,16,9,6,0,5
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->1299,as_transition,cross_as_transition,5,5,0.3125,2,False,True,False,False,16,9,6,0,5
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->6762,as_transition,cross_as_transition,5,5,0.3125,3,False,False,True,False,16,9,6,0,5
