analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
transition_near_country,AE,30,30,30,0,0,True,,,
transition_near_country,AU,761,761,761,0,0,True,,,
transition_near_country,AX,2,2,2,0,0,True,,,
transition_near_country,BJ,6,6,6,0,0,True,,,
transition_near_country,BR,17,17,17,0,0,True,,,
transition_near_country,CA,14,14,14,0,0,True,,,
transition_near_country,CM,2,2,2,0,0,True,,,
transition_near_country,CN,23,23,23,0,0,True,,,
transition_near_country,CO,12,12,12,0,0,True,,,
transition_near_country,CV,2,2,2,0,0,True,,,
transition_near_country,CW,16,16,16,0,0,True,,,
transition_near_country,CY,8,8,8,0,0,True,,,
transition_near_country,DJ,6,6,6,0,0,True,,,
transition_near_country,DK,10,10,10,0,0,True,,,
transition_near_country,DO,8,8,8,0,0,True,,,
transition_near_country,EE,17,17,17,0,0,True,,,
transition_near_country,ES,23,23,23,0,0,True,,,
transition_near_country,FI,115,115,115,0,0,True,,,
transition_near_country,FJ,6,6,6,0,0,True,,,
transition_near_country,FR,184,184,184,0,0,True,,,
transition_near_country,GB,4,4,4,0,0,True,,,
transition_near_country,GH,4,4,4,0,0,True,,,
transition_near_country,GP,2,2,2,0,0,True,,,
transition_near_country,GQ,1,1,1,0,0,True,,,
transition_near_country,HK,65,65,65,0,0,True,,,
transition_near_country,ID,93,93,93,0,0,True,,,
transition_near_country,IL,20,20,20,0,0,True,,,
transition_near_country,IN,10,10,10,0,0,True,,,
transition_near_country,JP,1,1,1,0,0,True,,,
transition_near_country,KE,3,3,3,0,0,True,,,
transition_near_country,KY,2,2,2,0,0,True,,,
transition_near_country,LK,6,6,6,0,0,True,,,
transition_near_country,MM,2,2,2,0,0,True,,,
transition_near_country,MP,2,2,2,0,0,True,,,
transition_near_country,MT,4,4,4,0,0,True,,,
transition_near_country,MV,2,2,2,0,0,True,,,
transition_near_country,MX,2,2,2,0,0,True,,,
transition_near_country,MY,5,5,5,0,0,True,,,
transition_near_country,NC,10,10,10,0,0,True,,,
transition_near_country,NG,42,42,42,0,0,True,,,
transition_near_country,NO,48,48,48,0,0,True,,,
transition_near_country,NU,2,2,2,0,0,True,,,
transition_near_country,NZ,127,127,127,0,0,True,,,
transition_near_country,PE,46,46,46,0,0,True,,,
transition_near_country,PG,2,2,2,0,0,True,,,
transition_near_country,PH,57,57,57,0,0,True,,,
transition_near_country,PR,7,7,7,0,0,True,,,
transition_near_country,PT,2,2,2,0,0,True,,,
transition_near_country,QA,2,2,2,0,0,True,,,
transition_near_country,SE,77,77,77,0,0,True,,,
transition_near_country,SG,229,229,229,0,0,True,,,
transition_near_country,SN,1,1,1,0,0,True,,,
transition_near_country,TO,2,2,2,0,0,True,,,
transition_near_country,TR,6,6,6,0,0,True,,,
transition_near_country,TW,75,75,75,0,0,True,,,
transition_near_country,US,153,153,153,0,0,True,,,
transition_near_country,VE,2,2,2,0,0,True,,,
transition_near_country,VI,4,4,4,0,0,True,,,
transition_near_country,ZA,43,43,43,0,0,True,,,
probe_country_service,,6,6,6,0,0,True,AD,K-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,AD,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,AE,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,AE,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,AL,K-Root,all_publicly_visible
probe_country_service,,622,622,622,0,0,True,AU,K-Root,all_publicly_visible
probe_country_service,,622,622,622,0,0,True,AU,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,AX,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,AX,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BB,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BB,K-Root,resolved_entry_only
probe_country_service,,3,3,3,0,0,True,BD,K-Root,all_publicly_visible
probe_country_service,,3,3,3,0,0,True,BD,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BG,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BG,K-Root,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,BJ,K-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,BJ,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BO,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BO,K-Root,resolved_entry_only
probe_country_service,,12,12,12,0,0,True,BR,K-Root,all_publicly_visible
probe_country_service,,12,12,12,0,0,True,BR,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,BZ,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BZ,K-Root,resolved_entry_only
probe_country_service,,59,59,59,0,0,True,CA,K-Root,all_publicly_visible
probe_country_service,,59,59,59,0,0,True,CA,K-Root,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,CD,K-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,CD,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,CK,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,CK,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,CM,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,CM,K-Root,resolved_entry_only
probe_country_service,,88,88,88,0,0,True,CN,K-Root,all_publicly_visible
probe_country_service,,87,87,87,0,0,True,CN,K-Root,resolved_entry_only
probe_country_service,,22,22,22,0,0,True,CO,K-Root,all_publicly_visible
probe_country_service,,21,21,21,0,0,True,CO,K-Root,resolved_entry_only
probe_country_service,,1,1,1,0,0,True,CU,K-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,CU,K-Root,resolved_entry_only
probe_country_service,,2,2,2,0,0,True,CV,K-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,CV,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,CW,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,CW,K-Root,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,CY,K-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,CY,K-Root,resolved_entry_only
probe_country_service,,31,31,31,0,0,True,DE,K-Root,all_publicly_visible
probe_country_service,,15,15,15,0,0,True,DE,K-Root,resolved_entry_only
probe_country_service,,4,4,4,0,0,True,DJ,K-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,DJ,K-Root,resolved_entry_only
probe_country_service,,16,16,16,0,0,True,DK,K-Root,all_publicly_visible
probe_country_service,,16,16,16,0,0,True,DK,K-Root,resolved_entry_only
probe_country_service,,8,8,8,0,0,True,DO,K-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,DO,K-Root,resolved_entry_only
probe_country_service,,15,15,15,0,0,True,EC,K-Root,all_publicly_visible
probe_country_service,,15,15,15,0,0,True,EC,K-Root,resolved_entry_only
probe_country_service,,15,15,15,0,0,True,EE,K-Root,all_publicly_visible
probe_country_service,,15,15,15,0,0,True,EE,K-Root,resolved_entry_only
