country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,18,4,8966->5384,0.3333333333333333,0.6666666666666666,0.8888888888888888,3.709079297755367,weak_network_transition_concentration,6,12,0,0.3333333333333333,0.6666666666666666,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.7777777777777778,0.2222222222222222
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8,5,COUNTRY_FALLBACK:AU->AU,0.25,0.5,0.75,4.756828460010884,broad_network_transition_distribution,3,3,2,0.375,0.375,0.25,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,1.0,0.0
AX,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,3,28683->174,0.6,0.8,1.0,2.586409289858933,moderate_network_transition_concentration,8,0,2,0.8,0.0,0.2,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.0,1.0
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,4,852->13335,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_network_transition_concentration,4,6,0,0.4,0.6,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.0,1.0
CN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7,2,4134->4134,0.8571428571428571,1.0,1.0,1.5069930657725377,severe_network_transition_concentration,0,6,1,0.0,0.8571428571428571,0.14285714285714285,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",6,2,1.0,0.0
CV,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,37575->8657,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,2,23520->23520,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,2,3,0,0.4,0.6,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
DJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,1,COUNTRY_FALLBACK:DJ->KE,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,2,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0
DK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,1,COUNTRY_FALLBACK:DK->SE,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,10,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",5,1,0.0,1.0
