country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8966->5384,as_transition,6,6,0.3333333333333333,1,True,False,False,False,18,6,5,6,0
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5384->5384,as_transition,6,6,0.3333333333333333,2,False,True,False,False,18,6,5,6,0
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4637->4637,as_transition,4,4,0.2222222222222222,3,False,False,True,False,18,6,5,2,2
AE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8529->8529,as_transition,2,2,0.1111111111111111,4,False,False,False,False,18,6,5,0,2
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->-1,as_transition,2,2,0.25,1,True,False,False,False,8,5,5,2,0
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7699->4826,as_transition,2,2,0.25,2,False,True,False,False,8,5,5,2,0
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7545->7545,as_transition,2,2,0.25,3,False,False,True,False,8,5,5,2,0
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,134697->134697,as_transition,1,1,0.125,4,False,False,False,False,8,5,5,1,0
AU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4826->13335,as_transition,1,1,0.125,5,False,False,False,False,8,5,5,1,0
AX,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,3238->3238,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
BJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,28683->174,as_transition,6,6,0.6,1,True,False,False,False,10,5,4,0,6
BJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,37136->6713,as_transition,2,2,0.2,2,False,True,False,False,10,5,4,0,2
BJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,36924->-1,as_transition,2,2,0.2,3,False,False,True,False,10,5,4,0,2
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,852->13335,as_transition,4,4,0.4,1,True,False,False,False,10,5,4,0,4
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6461->6461,as_transition,2,2,0.2,2,False,True,False,False,10,5,4,0,2
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,3257->3257,as_transition,2,2,0.2,3,False,False,True,False,10,5,4,0,2
CA,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,174->174,as_transition,2,2,0.2,4,False,False,False,False,10,5,4,0,2
CN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4134->4134,as_transition,6,6,0.8571428571428571,1,True,False,False,False,7,6,3,6,0
CN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4134->-1,as_transition,1,1,0.14285714285714285,2,False,True,False,False,7,6,3,1,0
CV,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,37575->8657,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
CW,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,23520->23520,as_transition,3,3,0.6,1,True,False,False,False,5,3,3,0,3
CW,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,23520->13335,as_transition,2,2,0.4,2,False,True,False,False,5,3,3,0,2
DJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->6939,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
DK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,204151->-1,as_transition,10,10,1.0,1,True,False,False,False,10,5,1,0,10
DO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,23520->23520,as_transition,2,2,0.5,1,True,False,False,False,4,2,2,0,2
DO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,265721->-1,as_transition,2,2,0.5,2,False,True,False,False,4,2,2,0,2
EE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1257->1257,as_transition,6,6,1.0,1,True,False,False,False,6,3,2,0,6
ES,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,3352->3352,as_transition,5,5,0.8333333333333334,1,True,False,False,False,6,4,2,5,0
ES,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6453->6453,as_transition,1,1,0.16666666666666666,2,False,True,False,False,6,4,2,0,1
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,39699->-1,as_transition,8,8,0.26666666666666666,1,True,False,False,False,30,10,3,8,0
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,719->6667,as_transition,7,7,0.23333333333333334,2,False,True,False,False,30,10,3,7,0
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,39699->39699,as_transition,7,7,0.23333333333333334,3,False,False,True,False,30,10,3,7,0
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,719->719,as_transition,5,5,0.16666666666666666,4,False,False,False,False,30,10,3,5,0
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1759->1759,as_transition,2,2,0.06666666666666667,5,False,False,False,False,30,10,3,2,0
FI,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,9002->9002,as_transition,1,1,0.03333333333333333,6,False,False,False,False,30,10,3,0,1
FJ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,9241->-1,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
GH,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,37721->37721,as_transition,2,2,0.3333333333333333,1,True,False,False,False,6,3,3,0,2
GH,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,37468->37468,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,0,2
GH,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,209049->-1,as_transition,2,2,0.3333333333333333,3,False,False,True,False,6,3,3,0,2
GP,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,21351->21351,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
GQ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,37529->37529,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,1,0
GU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,140627->140627,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
HK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,21859->4229,as_transition,2,2,0.3333333333333333,1,True,False,False,False,6,3,3,0,2
HK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,8888->8888,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,0,2
HK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,983->983,as_transition,1,1,0.16666666666666666,3,False,False,True,False,6,3,3,0,1
HK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,983->-1,as_transition,1,1,0.16666666666666666,4,False,False,False,False,6,3,3,0,1
HN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,23520->13335,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,131111->-1,as_transition,4,4,0.21052631578947367,1,True,False,False,False,19,9,7,0,4
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7713->7713,as_transition,4,4,0.21052631578947367,2,False,True,False,False,19,9,7,4,0
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,149697->-1,as_transition,4,4,0.21052631578947367,3,False,False,True,False,19,9,7,4,0
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,24521->24521,as_transition,2,2,0.10526315789473684,4,False,False,False,False,19,9,7,2,0
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,149728->58389,as_transition,2,2,0.10526315789473684,5,False,False,False,False,19,9,7,2,0
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,55666->55666,as_transition,2,2,0.10526315789473684,6,False,False,False,False,19,9,7,2,0
ID,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->-1,as_transition,1,1,0.05263157894736842,7,False,False,False,False,19,9,7,0,1
IN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->9498,as_transition,2,2,0.4,1,True,False,False,False,5,4,3,2,0
IN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,9498->-1,as_transition,2,2,0.4,2,False,True,False,False,5,4,3,2,0
IN,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->13335,as_transition,1,1,0.2,3,False,False,True,False,5,4,3,1,0
IT,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,34428->34428,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,2,0
KE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6939->6939,as_transition,6,6,0.75,1,True,False,False,False,8,5,5,0,6
KE,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,30844->30844,as_transition,2,2,0.25,2,False,True,False,False,8,5,5,0,2
KY,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,36549->3855,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
LC,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,23520->23520,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
LK,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,45489->45489,as_transition,5,5,1.0,1,True,False,False,False,5,3,3,0,5
MM,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,136168->136168,as_transition,3,3,1.0,1,True,False,False,False,3,2,2,0,3
MP,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7131->7131,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MT,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,15735->1299,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
MU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->-1,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
MV,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,24016->45489,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MX,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,265539->23520,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MY,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,-1->13335,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,29695->29695,as_transition,20,20,0.2564102564102564,1,True,False,False,False,78,29,10,20,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,224->224,as_transition,13,13,0.16666666666666666,2,False,True,False,False,78,29,10,13,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,56655->56655,as_transition,11,11,0.14102564102564102,3,False,False,True,False,78,29,10,11,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2119->2119,as_transition,10,10,0.1282051282051282,4,False,False,False,False,78,29,10,10,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,50304->50304,as_transition,4,4,0.05128205128205128,5,False,False,False,False,78,29,10,4,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,50304->-1,as_transition,4,4,0.05128205128205128,6,False,False,False,False,78,29,10,4,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,49409->57829,as_transition,4,4,0.05128205128205128,7,False,False,False,False,78,29,10,4,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,57829->-1,as_transition,4,4,0.05128205128205128,8,False,False,False,False,78,29,10,4,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,56655->-1,as_transition,4,4,0.05128205128205128,9,False,False,False,False,78,29,10,4,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,25400->25400,as_transition,2,2,0.02564102564102564,10,False,False,False,False,78,29,10,2,0
NO,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,48144->50304,as_transition,2,2,0.02564102564102564,11,False,False,False,False,78,29,10,2,0
NU,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,55885->38800,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
NZ,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,55850->55850,as_transition,4,4,0.4444444444444444,1,True,False,False,False,9,4,4,4,0
