probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AF,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,45430->55818,4,1.0,1,True,False,False,8,4,0,4,0.5,0.0,0.5,2,1
AU,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1221->4637,28,0.9333333333333333,1,True,False,False,145,30,66,49,0.20689655172413793,0.45517241379310347,0.33793103448275863,15,5
AU,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,38008->7578,2,0.06666666666666667,2,False,True,False,145,30,66,49,0.20689655172413793,0.45517241379310347,0.33793103448275863,15,5
AU,I-Root,resolved_entry_only,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1221->4637,2,1.0,1,True,False,False,4,2,2,0,0.5,0.5,0.0,1,1
CA,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,208951->6939,2,1.0,1,True,False,False,16,2,14,0,0.125,0.875,0.0,1,1
CM,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,36937->30844,1,1.0,1,True,False,False,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,1,1
CN,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,17816->4837,2,1.0,1,True,False,False,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333,1,1
CO,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,13489->6762,2,1.0,1,True,False,False,15,2,12,1,0.13333333333333333,0.8,0.06666666666666667,2,1
CV,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,37575->8657,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
CY,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5504->1299,4,1.0,1,True,False,False,7,4,3,0,0.5714285714285714,0.42857142857142855,0.0,2,1
DK,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2603->8674,12,1.0,1,True,False,False,127,12,3,112,0.09448818897637795,0.023622047244094488,0.8818897637795275,6,4
DK,I-Root,resolved_entry_only,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2603->8674,2,1.0,1,True,False,False,8,2,0,6,0.25,0.0,0.75,1,1
EE,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2586->1257,4,0.5,1,True,False,False,28,8,20,0,0.2857142857142857,0.7142857142857143,0.0,2,1
EE,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1257->8240,4,0.5,2,False,True,False,28,8,20,0,0.2857142857142857,0.7142857142857143,0.0,2,1
ES,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3352->12956,1,1.0,1,True,False,False,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,1,1
FM,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,139759->6461,3,1.0,1,True,False,False,3,3,0,0,1.0,0.0,0.0,2,1
HN,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,263725->54082,8,1.0,1,True,False,False,11,8,3,0,0.7272727272727273,0.2727272727272727,0.0,4,3
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,45430->55818,6,0.1935483870967742,1,True,False,False,125,31,40,54,0.248,0.32,0.432,14,12
ID,I-Root,all_publicly_visible,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,133815->45430,4,0.12903225806451613,2,False,True,False,125,31,40,54,0.248,0.32,0.432,14,12
