country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8966->5384,6,0.8571428571428571,1,True,False,False,7,7,0,0,1.0,0.0,0.0,5,2
AE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5384->8966,1,0.14285714285714285,2,False,True,False,7,7,0,0,1.0,0.0,0.0,5,2
AU,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,7699->4826,2,1.0,1,True,False,False,236,2,180,54,0.00847457627118644,0.7627118644067796,0.2288135593220339,1,1
BH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5416->8966,5,0.8333333333333334,1,True,False,False,6,6,0,0,1.0,0.0,0.0,3,2
BH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5416->5384,1,0.16666666666666666,2,False,True,False,6,6,0,0,1.0,0.0,0.0,3,2
BJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,28683->174,6,1.0,1,True,False,False,6,6,0,0,1.0,0.0,0.0,3,2
BR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3549->3356,5,1.0,1,True,False,False,5,5,0,0,1.0,0.0,0.0,3,3
CA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6509->101,8,0.8,1,True,False,False,31,10,20,1,0.3225806451612903,0.6451612903225806,0.03225806451612903,5,4
CA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,208951->6939,2,0.2,2,False,True,False,31,10,20,1,0.3225806451612903,0.6451612903225806,0.03225806451612903,5,4
CN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17623->4837,1,0.3333333333333333,1,True,False,False,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333,2,2
CN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17816->4837,1,0.3333333333333333,2,False,True,False,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333,2,2
CN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,17622->4837,1,0.3333333333333333,3,False,False,True,6,3,1,2,0.5,0.16666666666666666,0.3333333333333333,2,2
DJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,30990->174,1,1.0,1,True,False,False,16,1,11,4,0.0625,0.6875,0.25,1,1
DO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,64126->174,6,0.75,1,True,False,False,11,8,3,0,0.7272727272727273,0.2727272727272727,0.0,4,4
DO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,265721->174,2,0.25,2,False,True,False,11,8,3,0,0.7272727272727273,0.2727272727272727,0.0,4,4
EE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,2586->6667,8,1.0,1,True,False,False,14,8,6,0,0.5714285714285714,0.42857142857142855,0.0,4,2
ES,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3352->12956,1,1.0,1,True,False,False,40,1,22,17,0.025,0.55,0.425,1,1
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,719->6667,7,0.4117647058823529,1,True,False,False,214,17,77,120,0.0794392523364486,0.3598130841121495,0.5607476635514018,13,7
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6939->8240,4,0.23529411764705882,2,False,True,False,214,17,77,120,0.0794392523364486,0.3598130841121495,0.5607476635514018,13,7
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6939->1299,2,0.11764705882352941,3,False,False,True,214,17,77,120,0.0794392523364486,0.3598130841121495,0.5607476635514018,13,7
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,60354->12552,2,0.11764705882352941,4,False,False,False,214,17,77,120,0.0794392523364486,0.3598130841121495,0.5607476635514018,13,7
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,47605->6939,1,0.058823529411764705,5,False,False,False,214,17,77,120,0.0794392523364486,0.3598130841121495,0.5607476635514018,13,7
FI,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,199508->6939,1,0.058823529411764705,6,False,False,False,214,17,77,120,0.0794392523364486,0.3598130841121495,0.5607476635514018,13,7
FJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,24390->7575,2,1.0,1,True,False,False,6,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1
HK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,983->6939,2,0.6666666666666666,1,True,False,False,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,2,1
HK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,21859->4229,1,0.3333333333333333,2,False,True,False,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,2,1
HN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,263725->54082,7,1.0,1,True,False,False,8,7,1,0,0.875,0.125,0.0,4,3
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,23700->7632,5,0.3125,1,True,False,False,27,16,8,3,0.5925925925925926,0.2962962962962963,0.1111111111111111,9,6
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,149697->58495,4,0.25,2,False,True,False,27,16,8,3,0.5925925925925926,0.2962962962962963,0.1111111111111111,9,6
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,135659->58389,2,0.125,3,False,False,True,27,16,8,3,0.5925925925925926,0.2962962962962963,0.1111111111111111,9,6
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,147094->6939,2,0.125,4,False,False,False,27,16,8,3,0.5925925925925926,0.2962962962962963,0.1111111111111111,9,6
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,9905->7632,2,0.125,5,False,False,False,27,16,8,3,0.5925925925925926,0.2962962962962963,0.1111111111111111,9,6
ID,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,138074->4787,1,0.0625,6,False,False,False,27,16,8,3,0.5925925925925926,0.2962962962962963,0.1111111111111111,9,6
IN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,55836->4755,1,1.0,1,True,False,False,40,1,16,23,0.025,0.4,0.575,1,1
IT,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,1267->6939,5,0.7142857142857143,1,True,False,False,27,7,5,15,0.25925925925925924,0.18518518518518517,0.5555555555555556,6,3
IT,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8978->6939,1,0.14285714285714285,2,False,True,False,27,7,5,15,0.25925925925925924,0.18518518518518517,0.5555555555555556,6,3
IT,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34428->6939,1,0.14285714285714285,3,False,False,True,27,7,5,15,0.25925925925925924,0.18518518518518517,0.5555555555555556,6,3
