country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,7,2,8966->5384,0.8571428571428571,1.0,1.0,1.5069930657725377,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1.0,0.0
AL,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,19,2,-1->6939,0.631578947368421,1.0,1.0,1.9311390062938603,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,7,0.0,1.0
AO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,3,1,33763->33763,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AU,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,236,14,6939->6939,0.2669491525423729,0.461864406779661,0.614406779661017,7.956997077266987,broad_network_transition_distribution,0.0,True,True,auditable,,89,39,0.7923728813559322,0.2076271186440678
AX,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,2,5416->8966,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
BJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,1,28683->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
BR,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5,1,3549->3356,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
CA,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,31,6,6509->6509,0.5161290322580645,0.7741935483870968,0.8387096774193548,3.7893180782998024,weak_network_transition_concentration,0.0,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,7,0.5161290322580645,0.4838709677419355
CM,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,6,4837->4837,0.16666666666666666,0.3333333333333333,0.5,6.0,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.8333333333333334,0.16666666666666666
CO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,1,23520->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
CW,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6,2,23520->23520,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
CY,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,2,1,35432->35432,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
DJ,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,16,4,6939->6939,0.6875,0.8125,0.9375,2.5876468925581615,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,9,0.0,1.0
DK,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,38,3,31027->-1,0.42105263157894735,0.7368421052631579,1.0,2.9432946210364572,weak_network_transition_concentration,0.0,True,True,auditable,,21,6,0.0,1.0
DO,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,11,3,64126->174,0.5454545454545454,0.8181818181818181,1.0,2.7045177963242053,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.0,1.0
