probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
BH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5416->8966,4,0.5714285714285714,1,True,False,False,7,7,0,0,1.0,0.0,0.0,3,2
BH,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8966->5384,3,0.42857142857142855,2,False,True,False,7,7,0,0,1.0,0.0,0.0,3,2
BH,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,5416->8966,4,0.5714285714285714,1,True,False,False,7,7,0,0,1.0,0.0,0.0,3,2
BH,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,8966->5384,3,0.42857142857142855,2,False,True,False,7,7,0,0,1.0,0.0,0.0,3,2
BJ,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,28683->174,6,1.0,1,True,False,False,15,6,9,0,0.4,0.6,0.0,3,2
BJ,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,28683->174,6,1.0,1,True,False,False,15,6,9,0,0.4,0.6,0.0,3,2
CA,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6509->101,8,0.8,1,True,False,False,151,10,137,4,0.06622516556291391,0.9072847682119205,0.026490066225165563,5,4
CA,M-Root,all_publicly_visible,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,208951->6939,2,0.2,2,False,True,False,151,10,137,4,0.06622516556291391,0.9072847682119205,0.026490066225165563,5,4
CA,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,6509->101,8,0.8,1,True,False,False,151,10,137,4,0.06622516556291391,0.9072847682119205,0.026490066225165563,5,4
CA,M-Root,resolved_entry_only,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,208951->6939,2,0.2,2,False,True,False,151,10,137,4,0.06622516556291391,0.9072847682119205,0.026490066225165563,5,4
