country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8966->5384,as_transition,cross_as_transition,8,8,1.0,1,True,False,False,False,8,5,1,8,0
AL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AL->IT,country_fallback,country_fallback,12,12,0.6,1,True,False,False,True,20,10,6,0,12
AL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,8,8,0.4,2,False,True,False,False,20,10,6,0,8
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->NZ,country_fallback,country_fallback,149,149,0.26559714795008915,1,True,False,False,True,561,237,92,0,149
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,118,118,0.2103386809269162,2,False,True,False,True,561,237,92,118,0
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1221->1221,as_transition,intra_as_hop_pair,79,79,0.1408199643493761,3,False,False,True,False,561,237,92,79,0
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4826->4826,as_transition,intra_as_hop_pair,45,45,0.08021390374331551,4,False,False,False,False,561,237,92,0,45
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,42,42,0.0748663101604278,5,False,False,False,False,561,237,92,42,0
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,137409->10084,as_transition,cross_as_transition,39,39,0.06951871657754011,6,False,False,False,False,561,237,92,39,0
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,33,33,0.058823529411764705,7,False,False,False,False,561,237,92,22,11
