country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,17,13,4,0,0.7647058823529411,0.23529411764705882,0.0,2,8966->5384,0.7692307692307693,1.0,1.0,1.7163572076839733,moderate_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,10,3
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,216,13,191,12,0.06018518518518518,0.8842592592592593,0.05555555555555555,3,1221->4637,0.7692307692307693,0.9230769230769231,1.0,1.9879262846281545,moderate_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,13,7
BJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,1,28683->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,36,19,16,1,0.5277777777777778,0.4444444444444444,0.027777777777777776,2,852->2914,0.9473684210526315,1.0,1.0,1.2289892094880017,severe_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,19,3
CY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,5504->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
DJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,30990->3356,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
DK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,9158->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
EE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,16,3,13,0,0.1875,0.8125,0.0,1,2586->6667,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,51,1,50,0,0.0196078431372549,0.9803921568627451,0.0,1,3352->12956,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
FI,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,64,18,46,0,0.28125,0.71875,0.0,6,16086->3356,0.4444444444444444,0.611111111111111,0.7777777777777777,4.585756412345815,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,18,7
FJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,24390->7575,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
HK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,39,5,34,0,0.1282051282051282,0.8717948717948718,0.0,5,983->3491,0.2,0.4,0.6000000000000001,5.000000000000001,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",5,3
HN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5,4,1,0,0.8,0.2,0.0,1,263725->54082,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
ID,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,44,13,29,2,0.29545454545454547,0.6590909090909091,0.045454545454545456,12,45296->9002,0.15384615384615385,0.23076923076923078,0.3076923076923077,11.685062651542049,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,12,11
IN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,35,2,27,6,0.05714285714285714,0.7714285714285715,0.17142857142857143,2,4755->6453,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
LK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7,4,3,0,0.5714285714285714,0.42857142857142855,0.0,1,18001->8966,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
MT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,15735->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MX,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,265539->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
MY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4,1,3,0,0.25,0.75,0.0,1,38466->6453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
NC,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,1,18200->38195,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,21,3,18,0,0.14285714285714285,0.8571428571428571,0.0,3,49409->57829,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
NZ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,104,13,91,0,0.125,0.875,0.0,4,64073->137409,0.5384615384615384,0.7692307692307692,0.9230769230769231,3.1803385212361994,weak_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,13,7
PA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,11556->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,17828->4826,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
PH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,22,8,14,0,0.36363636363636365,0.6363636363636364,0.0,5,4775->1299,0.375,0.625,0.75,4.455659733512512,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",7,6
PR,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,2,5786->20080,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
PT,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,18,4,14,0,0.2222222222222222,0.7777777777777778,0.0,3,174->3356,0.5,0.75,1.0,2.82842712474619,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
SL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,329109->60171,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
SN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,8346->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,29,5,9,15,0.1724137931034483,0.3103448275862069,0.5172413793103449,2,18041->7539,0.6,1.0,1.0,1.9601317042077895,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,27,7,19,1,0.25925925925925924,0.7037037037037037,0.037037037037037035,2,137409->7578,0.8571428571428571,1.0,1.0,1.5069930657725377,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",7,3
