country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8966->5384,as_transition,10,10,0.5882352941176471,1,True,False,False,False,17,12,6,10,0
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5384->8966,as_transition,3,3,0.17647058823529413,2,False,True,False,False,17,12,6,3,0
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5384->5384,as_transition,2,2,0.11764705882352941,3,False,False,True,False,17,12,6,2,0
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,1,1,0.058823529411764705,4,False,False,False,False,17,12,6,1,0
AE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8529->8529,as_transition,1,1,0.058823529411764705,5,False,False,False,False,17,12,6,0,1
AL,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7578->7578,as_transition,147,147,0.6805555555555556,1,True,False,False,False,216,122,41,147,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,136557->136557,as_transition,21,21,0.09722222222222222,2,False,True,False,False,216,122,41,21,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1221->1221,as_transition,13,13,0.06018518518518518,3,False,False,True,False,216,122,41,13,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1221->4637,as_transition,10,10,0.046296296296296294,4,False,False,False,False,216,122,41,0,10
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->-1,as_transition,8,8,0.037037037037037035,5,False,False,False,False,216,122,41,8,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7545->7545,as_transition,6,6,0.027777777777777776,6,False,False,False,False,216,122,41,6,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4804->7474,as_transition,2,2,0.009259259259259259,7,False,False,False,False,216,122,41,2,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->7545,as_transition,1,1,0.004629629629629629,8,False,False,False,False,216,122,41,1,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->38195,as_transition,1,1,0.004629629629629629,9,False,False,False,False,216,122,41,1,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,38195->-1,as_transition,1,1,0.004629629629629629,10,False,False,False,False,216,122,41,1,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,1,1,0.004629629629629629,11,False,False,False,False,216,122,41,0,1
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4826->4826,as_transition,1,1,0.004629629629629629,12,False,False,False,False,216,122,41,1,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7699->4826,as_transition,1,1,0.004629629629629629,13,False,False,False,False,216,122,41,1,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->6939,as_transition,1,1,0.004629629629629629,14,False,False,False,False,216,122,41,1,0
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,1,1,0.004629629629629629,15,False,False,False,False,216,122,41,0,1
AU,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,20940->20940,as_transition,1,1,0.004629629629629629,16,False,False,False,False,216,122,41,0,1
AX,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3238->3238,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
BJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,28683->174,as_transition,4,4,1.0,1,True,False,False,False,4,4,2,0,4
BR,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7195->7195,as_transition,3,3,1.0,1,True,False,False,False,3,2,2,1,2
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,852->2914,as_transition,18,18,0.5,1,True,False,False,False,36,36,11,0,18
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6327->6327,as_transition,6,6,0.16666666666666666,2,False,True,False,False,36,36,11,0,6
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->174,as_transition,3,3,0.08333333333333333,3,False,False,True,False,36,36,11,0,3
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6461->6461,as_transition,3,3,0.08333333333333333,4,False,False,False,False,36,36,11,0,3
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,2,2,0.05555555555555555,5,False,False,False,False,36,36,11,0,2
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3356->3356,as_transition,2,2,0.05555555555555555,6,False,False,False,False,36,36,11,0,2
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,394256->-1,as_transition,1,1,0.027777777777777776,7,False,False,False,False,36,36,11,0,1
CA,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,855->3356,as_transition,1,1,0.027777777777777776,8,False,False,False,False,36,36,11,0,1
CM,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,60171->60171,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
CO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,23520->23520,as_transition,3,3,0.75,1,True,False,False,False,4,4,4,0,3
CO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,52320->52320,as_transition,1,1,0.25,2,False,True,False,False,4,4,4,0,1
CW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,23520->23520,as_transition,3,3,1.0,1,True,False,False,False,3,3,3,0,3
CY,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5504->1299,as_transition,2,2,1.0,1,True,False,False,False,2,2,1,0,2
DJ,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,30990->3356,as_transition,2,2,1.0,1,True,False,False,False,2,2,2,0,2
DK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,9158->1299,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
DO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,23520->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
EE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,7,7,0.4375,1,True,False,False,False,16,16,10,0,7
EE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1257->1257,as_transition,4,4,0.25,2,False,True,False,False,16,16,10,0,4
EE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,2586->6667,as_transition,3,3,0.1875,3,False,False,True,False,16,16,10,0,3
EE,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3327->3327,as_transition,2,2,0.125,4,False,False,False,False,16,16,10,0,2
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,40,40,0.7843137254901961,1,True,False,False,False,51,51,28,0,40
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6453->6453,as_transition,5,5,0.09803921568627451,2,False,True,False,False,51,51,28,0,5
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3356->3356,as_transition,3,3,0.058823529411764705,3,False,False,True,False,51,51,28,0,3
