probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4637->4637,as_transition,1,1,0.5,1,True,False,False,False,2,2,2,1,0
AE,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8529->8529,as_transition,1,1,0.5,2,False,True,False,False,2,2,2,0,1
AF,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8966->5384,as_transition,2,2,0.5,1,True,False,False,False,4,2,1,2,0
AF,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5384->5384,as_transition,1,1,0.25,2,False,True,False,False,4,2,1,1,0
AF,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,5384->8966,as_transition,1,1,0.25,3,False,False,True,False,4,2,1,1,0
AL,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7578->7578,as_transition,75,75,0.5813953488372093,1,True,False,False,False,129,73,32,75,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,136557->136557,as_transition,15,15,0.11627906976744186,2,False,True,False,False,129,73,32,15,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1221->1221,as_transition,13,13,0.10077519379844961,3,False,False,True,False,129,73,32,13,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1221->4637,as_transition,10,10,0.07751937984496124,4,False,False,False,False,129,73,32,0,10
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7545->7545,as_transition,6,6,0.046511627906976744,5,False,False,False,False,129,73,32,6,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->-1,as_transition,5,5,0.03875968992248062,6,False,False,False,False,129,73,32,5,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,137409->7578,as_transition,2,2,0.015503875968992248,7,False,False,False,False,129,73,32,0,2
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,4804->7474,as_transition,1,1,0.007751937984496124,8,False,False,False,False,129,73,32,1,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,-1->7545,as_transition,1,1,0.007751937984496124,9,False,False,False,False,129,73,32,1,0
AU,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,20940->20940,as_transition,1,1,0.007751937984496124,10,False,False,False,False,129,73,32,0,1
AX,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3238->3238,as_transition,1,1,0.5,1,True,False,False,False,2,2,2,0,1
AX,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,1,1,0.5,2,False,True,False,False,2,2,2,0,1
BJ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,28683->174,as_transition,4,4,0.5,1,True,False,False,False,8,4,2,0,4
BJ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,3,3,0.375,2,False,True,False,False,8,4,2,0,3
BJ,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->3356,as_transition,1,1,0.125,3,False,False,True,False,8,4,2,0,1
BR,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,7195->7195,as_transition,3,3,1.0,1,True,False,False,False,3,2,2,1,2
CA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,852->2914,as_transition,16,16,0.47058823529411764,1,True,False,False,False,34,34,12,0,16
CA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6327->6327,as_transition,4,4,0.11764705882352941,2,False,True,False,False,34,34,12,0,4
CA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6939->6939,as_transition,4,4,0.11764705882352941,3,False,False,True,False,34,34,12,4,0
CA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1299->1299,as_transition,2,2,0.058823529411764705,4,False,False,False,False,34,34,12,0,2
CA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,174->174,as_transition,2,2,0.058823529411764705,5,False,False,False,False,34,34,12,0,2
CA,A-Root,all_publicly_visible,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6461->6461,as_transition,2,2,0.058823529411764705,6,False,False,False,False,34,34,12,0,2
