country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,10,5,5,0,0.5,0.5,0.0,2,8966->5384,0.8,1.0,1.0,1.6493848884661177,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,7,9942->7545,0.18181818181818182,0.36363636363636365,0.5454545454545454,6.6444919442244625,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,11,8
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,2,5416->8966,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
BJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,1,28683->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,67,37,30,0,0.5522388059701493,0.44776119402985076,0.0,3,852->2914,0.9459459459459459,0.972972972972973,1.0,1.2811406673346328,severe_as_boundary_transition_concentration,True,auditable,33,4
CV,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1,1,0,0,1.0,0.0,0.0,1,37575->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CW,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4,1,3,0,0.25,0.75,0.0,1,23520->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CY,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,10,8,2,0,0.8,0.2,0.0,2,6866->1299,0.75,1.0,1.0,1.7547653506033232,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,3
DJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,3,2,0,0.6,0.4,0.0,1,30990->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
DK,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3,3,0,0,1.0,0.0,0.0,1,9158->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
DO,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5,1,2,2,0.2,0.4,0.4,1,64126->20080,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
EE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,27,6,21,0,0.2222222222222222,0.7777777777777778,0.0,2,2586->6667,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
