country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8966->5384,4,0.8,1,True,False,False,10,5,5,0,0.5,0.5,0.0,5,2
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,15802->1299,1,0.2,2,False,True,False,10,5,5,0,0.5,0.5,0.0,5,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9942->7545,2,0.18181818181818182,1,True,False,False,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4804->7474,2,0.18181818181818182,2,False,True,False,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4826->6939,2,0.18181818181818182,3,False,False,True,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1221->4637,2,0.18181818181818182,4,False,False,False,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,134697->7578,1,0.09090909090909091,5,False,False,False,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,151660->7578,1,0.09090909090909091,6,False,False,False,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7699->4826,1,0.09090909090909091,7,False,False,False,285,11,238,36,0.03859649122807018,0.8350877192982457,0.12631578947368421,11,8
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5416->8966,1,0.5,1,True,False,False,2,2,0,0,1.0,0.0,0.0,2,1
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5416->5384,1,0.5,2,False,True,False,2,2,0,0,1.0,0.0,0.0,2,1
BJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,28683->174,3,1.0,1,True,False,False,3,3,0,0,1.0,0.0,0.0,3,2
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,852->2914,35,0.9459459459459459,1,True,False,False,67,37,30,0,0.5522388059701493,0.44776119402985076,0.0,33,4
