country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8966->5384,as_transition,cross_as_transition,4,4,0.4,1,True,False,False,False,10,8,4,4,0
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5384->5384,as_transition,intra_as_hop_pair,4,4,0.4,2,False,True,False,False,10,8,4,4,0
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,15802->1299,as_transition,cross_as_transition,1,1,0.1,3,False,False,True,False,10,8,4,0,1
AE,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,8529->8529,as_transition,intra_as_hop_pair,1,1,0.1,4,False,False,False,False,10,8,4,0,1
AL,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,2,0,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,180,180,0.631578947368421,1,True,False,False,False,285,155,51,180,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,34,34,0.11929824561403508,2,False,True,False,True,285,155,51,34,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,136557->136557,as_transition,intra_as_hop_pair,28,28,0.09824561403508772,3,False,False,True,False,285,155,51,28,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1221->1221,as_transition,intra_as_hop_pair,16,16,0.056140350877192984,4,False,False,False,False,285,155,51,16,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7575->7575,as_transition,intra_as_hop_pair,4,4,0.014035087719298246,5,False,False,False,False,285,155,51,4,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7545->7545,as_transition,intra_as_hop_pair,4,4,0.014035087719298246,6,False,False,False,False,285,155,51,4,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,9942->7545,as_transition,cross_as_transition,2,2,0.007017543859649123,7,False,False,False,False,285,155,51,2,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,2,2,0.007017543859649123,8,False,False,False,False,285,155,51,0,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4804->7474,as_transition,cross_as_transition,2,2,0.007017543859649123,9,False,False,False,False,285,155,51,2,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4826->6939,as_transition,cross_as_transition,2,2,0.007017543859649123,10,False,False,False,False,285,155,51,0,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->SG,country_fallback,country_fallback,2,2,0.007017543859649123,11,False,False,False,True,285,155,51,0,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1221->4637,as_transition,cross_as_transition,2,2,0.007017543859649123,12,False,False,False,False,285,155,51,0,2
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,4826->4826,as_transition,intra_as_hop_pair,2,2,0.007017543859649123,13,False,False,False,False,285,155,51,2,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,134697->7578,as_transition,cross_as_transition,1,1,0.0035087719298245615,14,False,False,False,False,285,155,51,1,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,38195->38195,as_transition,intra_as_hop_pair,1,1,0.0035087719298245615,15,False,False,False,False,285,155,51,1,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,151660->7578,as_transition,cross_as_transition,1,1,0.0035087719298245615,16,False,False,False,False,285,155,51,1,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,7699->4826,as_transition,cross_as_transition,1,1,0.0035087719298245615,17,False,False,False,False,285,155,51,1,0
AU,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,18390->18390,as_transition,intra_as_hop_pair,1,1,0.0035087719298245615,18,False,False,False,False,285,155,51,1,0
AX,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,3238->3238,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,0,1
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5416->8966,as_transition,cross_as_transition,1,1,0.5,1,True,False,False,False,2,2,1,0,1
BH,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,5416->5384,as_transition,cross_as_transition,1,1,0.5,2,False,True,False,False,2,2,1,0,1
BJ,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,28683->174,as_transition,cross_as_transition,3,3,1.0,1,True,False,False,False,3,3,2,0,3
BR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:BR->US,country_fallback,country_fallback,4,4,0.6666666666666666,1,True,False,False,True,6,6,5,0,4
BR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,12956->12956,as_transition,intra_as_hop_pair,1,1,0.16666666666666666,2,False,True,False,False,6,6,5,0,1
BR,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6762->6762,as_transition,intra_as_hop_pair,1,1,0.16666666666666666,3,False,False,True,False,6,6,5,0,1
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,852->2914,as_transition,cross_as_transition,35,35,0.5223880597014925,1,True,False,False,False,67,57,16,0,35
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6509->6509,as_transition,intra_as_hop_pair,10,10,0.14925373134328357,2,False,True,False,False,67,57,16,10,0
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6327->6327,as_transition,intra_as_hop_pair,8,8,0.11940298507462686,3,False,False,True,False,67,57,16,0,8
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,5,5,0.07462686567164178,4,False,False,False,False,67,57,16,0,5
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,1299->1299,as_transition,intra_as_hop_pair,5,5,0.07462686567164178,5,False,False,False,False,67,57,16,0,5
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,6461->6461,as_transition,intra_as_hop_pair,1,1,0.014925373134328358,6,False,False,False,False,67,57,16,0,1
CA,5010,dns-root_b-root_msm5010_20260701T000000Z_010000Z.json,11260->2914,as_transition,cross_as_transition,1,1,0.014925373134328358,7,False,False,False,False,67,57,16,0,1
