country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,8966->5384,3,0.6,1,True,False,False,9,5,4,0,0.5555555555555556,0.4444444444444444,0.0,3,1
AE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5384->8966,2,0.4,2,False,True,False,9,5,4,0,0.5555555555555556,0.4444444444444444,0.0,3,1
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4764->174,12,0.6,1,True,False,False,267,20,194,53,0.0749063670411985,0.7265917602996255,0.19850187265917604,12,4
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,4804->7474,4,0.2,2,False,True,False,267,20,194,53,0.0749063670411985,0.7265917602996255,0.19850187265917604,12,4
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,38195->174,2,0.1,3,False,False,True,267,20,194,53,0.0749063670411985,0.7265917602996255,0.19850187265917604,12,4
AU,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,7699->4826,2,0.1,4,False,False,False,267,20,194,53,0.0749063670411985,0.7265917602996255,0.19850187265917604,12,4
BH,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5416->174,8,1.0,1,True,False,False,8,8,0,0,1.0,0.0,0.0,4,2
BJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,28683->174,6,0.75,1,True,False,False,8,8,0,0,1.0,0.0,0.0,4,3
BJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,37136->6713,2,0.25,2,False,True,False,8,8,0,0,1.0,0.0,0.0,4,3
CA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,12212->174,1,0.5,1,True,False,False,43,2,41,0,0.046511627906976744,0.9534883720930233,0.0,2,2
CA,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,1100->174,1,0.5,2,False,True,False,43,2,41,0,0.046511627906976744,0.9534883720930233,0.0,2,2
CV,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,37575->8657,1,1.0,1,True,False,False,1,1,0,0,1.0,0.0,0.0,1,1
CW,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,23520->174,2,1.0,1,True,False,False,12,2,10,0,0.16666666666666666,0.8333333333333334,0.0,2,2
CY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6866->174,11,0.7333333333333333,1,True,False,False,18,15,3,0,0.8333333333333334,0.16666666666666666,0.0,8,3
CY,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,5504->1299,4,0.26666666666666666,2,False,True,False,18,15,3,0,0.8333333333333334,0.16666666666666666,0.0,8,3
DK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2603->1299,11,1.0,1,True,False,False,11,11,0,0,1.0,0.0,0.0,6,3
DO,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,64126->174,8,1.0,1,True,False,False,10,8,2,0,0.8,0.2,0.0,4,4
EE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,2586->6667,7,0.6363636363636364,1,True,False,False,60,11,49,0,0.18333333333333332,0.8166666666666667,0.0,6,3
EE,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3221->1299,4,0.36363636363636365,2,False,True,False,60,11,49,0,0.18333333333333332,0.8166666666666667,0.0,6,3
ES,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,3352->12956,2,1.0,1,True,False,False,4,2,2,0,0.5,0.5,0.0,1,1
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,24940->174,64,0.6597938144329897,1,True,False,False,252,97,155,0,0.38492063492063494,0.6150793650793651,0.0,52,9
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,16086->174,13,0.13402061855670103,2,False,True,False,252,97,155,0,0.38492063492063494,0.6150793650793651,0.0,52,9
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,719->6667,8,0.08247422680412371,3,False,False,True,252,97,155,0,0.38492063492063494,0.6150793650793651,0.0,52,9
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,39699->6667,6,0.061855670103092786,4,False,False,False,252,97,155,0,0.38492063492063494,0.6150793650793651,0.0,52,9
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,49282->42708,4,0.041237113402061855,5,False,False,False,252,97,155,0,0.38492063492063494,0.6150793650793651,0.0,52,9
FI,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,202246->1299,2,0.020618556701030927,6,False,False,False,252,97,155,0,0.38492063492063494,0.6150793650793651,0.0,52,9
FJ,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,24390->7575,2,1.0,1,True,False,False,6,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1
HK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,6453->174,16,0.48484848484848486,1,True,False,False,182,33,147,2,0.1813186813186813,0.8076923076923077,0.01098901098901099,19,10
HK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9498->174,8,0.24242424242424243,2,False,True,False,182,33,147,2,0.1813186813186813,0.8076923076923077,0.01098901098901099,19,10
HK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,9269->174,6,0.18181818181818182,3,False,False,True,182,33,147,2,0.1813186813186813,0.8076923076923077,0.01098901098901099,19,10
HK,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,21859->4229,3,0.09090909090909091,4,False,False,False,182,33,147,2,0.1813186813186813,0.8076923076923077,0.01098901098901099,19,10
HN,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,263725->54082,8,1.0,1,True,False,False,17,8,9,0,0.47058823529411764,0.5294117647058824,0.0,4,3
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,45147->174,8,0.27586206896551724,1,True,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,23700->7632,3,0.10344827586206896,2,False,True,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,24203->6453,3,0.10344827586206896,3,False,False,True,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,149728->58389,2,0.06896551724137931,4,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,142360->136106,2,0.06896551724137931,5,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,138840->2914,2,0.06896551724137931,6,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
ID,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,23947->174,2,0.06896551724137931,7,False,False,False,93,29,53,11,0.3118279569892473,0.5698924731182796,0.11827956989247312,19,15
