country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,8966->5384,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,2,1
AU,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,18390->42,2,0.5,1,True,False,False,10,4,3,3,0.4,0.3,0.3,2,2
AU,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,7699->4826,2,0.5,2,False,True,False,10,4,3,3,0.4,0.3,0.3,2,2
CA,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,6509->101,8,1.0,1,True,False,False,32,8,22,2,0.25,0.6875,0.0625,4,3
CN,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,9808->58453,23,1.0,1,True,False,False,23,23,0,0,1.0,0.0,0.0,13,4
CW,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,23520->13335,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,2,2
CY,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,5504->1299,4,1.0,1,True,False,False,7,4,3,0,0.5714285714285714,0.42857142857142855,0.0,2,1
DO,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,64126->13335,2,1.0,1,True,False,False,6,2,4,0,0.3333333333333333,0.6666666666666666,0.0,1,1
ES,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,3352->12956,2,1.0,1,True,False,False,9,2,7,0,0.2222222222222222,0.7777777777777778,0.0,1,1
FJ,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,24390->7575,2,1.0,1,True,False,False,4,2,2,0,0.5,0.5,0.0,1,1
HN,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,263725->54082,7,1.0,1,True,False,False,11,7,4,0,0.6363636363636364,0.36363636363636365,0.0,4,3
KY,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,36549->3855,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
MT,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,15735->1299,4,1.0,1,True,False,False,4,4,0,0,1.0,0.0,0.0,2,1
MV,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,7642->13335,3,0.6,1,True,False,False,20,5,0,15,0.25,0.0,0.75,3,3
MV,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,24016->45489,2,0.4,2,False,True,False,20,5,0,15,0.25,0.0,0.75,3,3
MX,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,265539->23520,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
NO,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,49409->57829,4,0.6666666666666666,1,True,False,False,92,6,70,16,0.06521739130434782,0.7608695652173914,0.17391304347826086,3,2
NO,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,48144->50304,2,0.3333333333333333,2,False,True,False,92,6,70,16,0.06521739130434782,0.7608695652173914,0.17391304347826086,3,2
NU,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,55885->38800,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,0
PE,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,3356->3549,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,2,2
PH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,137818->132021,2,0.2,1,True,False,False,49,10,30,9,0.20408163265306123,0.6122448979591837,0.1836734693877551,4,4
PH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,132021->4775,2,0.2,2,False,True,False,49,10,30,9,0.20408163265306123,0.6122448979591837,0.1836734693877551,4,4
PH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,62->9821,2,0.2,3,False,False,True,49,10,30,9,0.20408163265306123,0.6122448979591837,0.1836734693877551,4,4
PH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,45209->9821,2,0.2,4,False,False,False,49,10,30,9,0.20408163265306123,0.6122448979591837,0.1836734693877551,4,4
PH,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,132400->134707,2,0.2,5,False,False,False,49,10,30,9,0.20408163265306123,0.6122448979591837,0.1836734693877551,4,4
PR,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,5786->20080,2,0.5,1,True,False,False,4,4,0,0,1.0,0.0,0.0,2,1
PR,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,14638->23520,2,0.5,2,False,True,False,4,4,0,0,1.0,0.0,0.0,2,1
PT,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,2860->13335,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
SE,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,8434->29518,2,1.0,1,True,False,False,104,2,76,26,0.019230769230769232,0.7307692307692307,0.25,1,0
SG,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,132132->45430,1,1.0,1,True,False,False,3,1,2,0,0.3333333333333333,0.6666666666666666,0.0,1,1
SN,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,8346->6453,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
TW,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,21859->4229,2,0.5,1,True,False,False,62,4,22,36,0.06451612903225806,0.3548387096774194,0.5806451612903226,3,1
TW,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,131645->7539,2,0.5,2,False,True,False,62,4,22,36,0.06451612903225806,0.3548387096774194,0.5806451612903226,3,1
US,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,23520->13335,2,0.6666666666666666,1,True,False,False,43,3,36,4,0.06976744186046512,0.8372093023255814,0.09302325581395349,2,0
US,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,6461->13335,1,0.3333333333333333,2,False,True,False,43,3,36,4,0.06976744186046512,0.8372093023255814,0.09302325581395349,2,0
VN,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,7552->13335,1,1.0,1,True,False,False,2,1,1,0,0.5,0.5,0.0,1,1
