country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,34,4,5384->5384,0.4411764705882353,0.8235294117647058,0.9411764705882353,3.148889169725539,moderate_network_transition_concentration,0.0,True,True,auditable,,10,6,0.8823529411764706,0.11764705882352941
AU,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,156,18,-1->-1,0.21794871794871795,0.41025641025641024,0.5576923076923077,10.210090071555625,broad_network_transition_distribution,0.0,True,True,auditable,,78,37,0.9487179487179487,0.05128205128205128
AX,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,7,1,6453->6453,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0
BJ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,28683->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,4,12956->12956,0.9322033898305084,0.9661016949152542,0.983050847457627,1.3749142284399563,severe_network_transition_concentration,0.0,True,True,auditable,,33,13,0.01694915254237288,0.9830508474576272
CA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,146,13,852->3257,0.3561643835616438,0.5136986301369862,0.6506849315068493,7.707073610831192,broad_network_transition_distribution,0.0,True,True,auditable,,87,23,0.0,1.0
CM,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,8,2,9808->58453,0.875,1.0,1.0,1.4575692649810903,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.125,0.875
CO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,7,2,23520->23520,0.7142857142857143,1.0,1.0,1.8189685116531733,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
CV,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,1,1,37575->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,8,2,23520->23520,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,7,0.0,1.0
CY,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,18,3,6866->3356,0.6666666666666666,0.8888888888888888,1.0,2.336573541485641,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,0.0,1.0
DK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,11,1,2603->1299,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.0,1.0
DO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,7,3,23520->23520,0.42857142857142855,0.7142857142857142,1.0,2.941713421083178,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0
EE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,5,1299->1299,0.6610169491525424,0.7796610169491526,0.864406779661017,3.0060449531987463,weak_network_transition_concentration,0.0,True,True,auditable,,32,17,0.0,1.0
ES,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,6,2,3257->3257,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
FI,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,64,12,16086->3356,0.265625,0.390625,0.484375,9.281523463135363,broad_network_transition_distribution,0.0,True,True,auditable,,29,12,0.46875,0.53125
FJ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,6,3,24390->7575,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0
GH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,37468->37468,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GP,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,21351->21351,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,1,3491->3491,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GU,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,18,4,7131->7131,0.6111111111111112,0.8333333333333334,0.9444444444444444,2.8289611131475527,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,0.0,1.0
HK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,18,3,58453->3356,0.6111111111111112,0.888888888888889,1.0,2.4618395947560447,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,8,0.0,1.0
HN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,12,3,263725->54082,0.6666666666666666,0.8333333333333333,1.0,2.3811015779522995,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.0,1.0
ID,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,110,28,136106->136106,0.1,0.2,0.28181818181818186,21.08938584517678,broad_network_transition_distribution,0.0,True,True,auditable,,59,40,0.4636363636363636,0.5363636363636364
