country,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->36236,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,2,1
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,63956->36236,2,0.2857142857142857,1,True,False,False,128,7,97,24,0.0546875,0.7578125,0.1875,4,3
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7699->4826,2,0.2857142857142857,2,False,True,False,128,7,97,24,0.0546875,0.7578125,0.1875,4,3
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,38008->7578,2,0.2857142857142857,3,False,False,True,128,7,97,24,0.0546875,0.7578125,0.1875,4,3
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,137409->7578,1,0.14285714285714285,4,False,False,False,128,7,97,24,0.0546875,0.7578125,0.1875,4,3
BH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5416->36236,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,0
BR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4230->3549,2,0.5,1,True,False,False,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,2,2
BR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,26599->3549,2,0.5,2,False,True,False,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,2,2
CA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,852->3257,60,0.9523809523809523,1,True,False,False,97,63,34,0,0.6494845360824743,0.35051546391752575,0.0,33,4
CA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,208951->6939,2,0.031746031746031744,2,False,True,False,97,63,34,0,0.6494845360824743,0.35051546391752575,0.0,33,4
CA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11260->2914,1,0.015873015873015872,3,False,False,True,97,63,34,0,0.6494845360824743,0.35051546391752575,0.0,33,4
CN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9808->58453,11,1.0,1,True,False,False,11,11,0,0,1.0,0.0,0.0,7,2
CO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,13489->6762,3,0.75,1,True,False,False,9,4,5,0,0.4444444444444444,0.5555555555555556,0.0,4,3
CO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23520->1299,1,0.25,2,False,True,False,9,4,5,0,0.4444444444444444,0.5555555555555556,0.0,4,3
CV,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,37575->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
CW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23520->1299,4,1.0,1,True,False,False,13,4,9,0,0.3076923076923077,0.6923076923076923,0.0,3,1
CY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,5504->1299,4,1.0,1,True,False,False,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,2,1
DK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2603->1299,12,0.75,1,True,False,False,22,16,2,4,0.7272727272727273,0.09090909090909091,0.18181818181818182,8,5
DK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9158->1299,4,0.25,2,False,True,False,22,16,2,4,0.7272727272727273,0.09090909090909091,0.18181818181818182,8,5
EE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2586->6667,8,1.0,1,True,False,False,49,8,41,0,0.16326530612244897,0.8367346938775511,0.0,4,2
FI,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,719->6667,8,0.6666666666666666,1,True,False,False,146,12,130,4,0.0821917808219178,0.8904109589041096,0.0273972602739726,6,2
FI,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,49282->42708,4,0.3333333333333333,2,False,True,False,146,12,130,4,0.0821917808219178,0.8904109589041096,0.0273972602739726,6,2
FJ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24390->7575,2,1.0,1,True,False,False,6,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1
HK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,30058->5580,1,1.0,1,True,False,False,7,1,6,0,0.14285714285714285,0.8571428571428571,0.0,1,1
HN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,263725->54082,8,0.6666666666666666,1,True,False,False,19,12,7,0,0.631578947368421,0.3684210526315789,0.0,6,4
HN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,64150->54082,4,0.3333333333333333,2,False,True,False,19,12,7,0,0.631578947368421,0.3684210526315789,0.0,6,4
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17451->6453,7,0.1794871794871795,1,True,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,23700->7632,6,0.15384615384615385,2,False,True,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,24203->6453,4,0.10256410256410256,3,False,False,True,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9905->7632,2,0.05128205128205128,4,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138074->4787,2,0.05128205128205128,5,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,149728->58389,2,0.05128205128205128,6,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,135659->58389,2,0.05128205128205128,7,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,142360->55666,2,0.05128205128205128,8,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,55666->58389,2,0.05128205128205128,9,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138840->2914,2,0.05128205128205128,10,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,131749->58389,2,0.05128205128205128,11,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,58389->6939,2,0.05128205128205128,12,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,45147->6939,2,0.05128205128205128,13,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,147094->2914,1,0.02564102564102564,14,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138115->149391,1,0.02564102564102564,15,False,False,False,127,39,69,19,0.30708661417322836,0.5433070866141733,0.14960629921259844,20,15
IN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9498->36236,64,0.9846153846153847,1,True,False,False,139,65,66,8,0.4676258992805755,0.4748201438848921,0.05755395683453238,49,21
IN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,132933->4755,1,0.015384615384615385,2,False,True,False,139,65,66,8,0.4676258992805755,0.4748201438848921,0.05755395683453238,49,21
KY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,36549->3855,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
