country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,3,2,8966->36236,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,2,1,0,0.6666666666666666,0.3333333333333333,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1.0,0.0
AL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,1,6939->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,4,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,128,16,1221->1221,0.5,0.6875,0.765625,5.8587838408830075,broad_network_transition_distribution,7,97,24,0.0546875,0.7578125,0.1875,True,True,auditable,,50,27,1.0,0.0
AX,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,1,5416->36236,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0
BR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7,3,COUNTRY_FALLBACK:BR->BR,0.42857142857142855,0.7142857142857142,1.0,2.941713421083178,weak_network_transition_concentration,4,0,3,0.5714285714285714,0.0,0.42857142857142855,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",4,3,1.0,0.0
CA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,97,7,852->3257,0.6185567010309279,0.7628865979381443,0.865979381443299,3.399975453978734,weak_network_transition_concentration,63,34,0,0.6494845360824743,0.35051546391752575,0.0,True,True,auditable,,48,9,0.0,1.0
CN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11,1,9808->58453,1.0,1.0,1.0,1.0,severe_network_transition_concentration,11,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",7,2,0.0,1.0
CO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9,4,13489->6762,0.3333333333333333,0.6666666666666666,0.8888888888888888,3.709079297755367,weak_network_transition_concentration,4,5,0,0.4444444444444444,0.5555555555555556,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.0,1.0
CV,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,1,37575->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
