analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
transition_near_country,AE,3,3,3,0,0,True,,,
transition_near_country,AL,4,4,4,0,0,True,,,
transition_near_country,AU,128,128,128,0,0,True,,,
transition_near_country,AX,2,2,2,0,0,True,,,
transition_near_country,BH,2,2,2,0,0,True,,,
transition_near_country,BR,7,7,7,0,0,True,,,
transition_near_country,CA,97,97,97,0,0,True,,,
transition_near_country,CN,11,11,11,0,0,True,,,
transition_near_country,CO,9,9,9,0,0,True,,,
transition_near_country,CV,2,2,2,0,0,True,,,
transition_near_country,CW,13,13,13,0,0,True,,,
transition_near_country,CY,6,6,6,0,0,True,,,
transition_near_country,DK,22,22,22,0,0,True,,,
transition_near_country,DO,2,2,2,0,0,True,,,
transition_near_country,EE,49,49,49,0,0,True,,,
transition_near_country,ES,18,18,18,0,0,True,,,
transition_near_country,FI,146,146,146,0,0,True,,,
transition_near_country,FJ,6,6,6,0,0,True,,,
transition_near_country,GH,7,7,7,0,0,True,,,
transition_near_country,GU,12,12,12,0,0,True,,,
transition_near_country,HK,7,7,7,0,0,True,,,
transition_near_country,HN,19,19,19,0,0,True,,,
transition_near_country,ID,127,127,127,0,0,True,,,
transition_near_country,IN,139,139,139,0,0,True,,,
transition_near_country,JP,2,2,2,0,0,True,,,
transition_near_country,KY,2,2,2,0,0,True,,,
transition_near_country,LC,2,2,2,0,0,True,,,
transition_near_country,LK,17,17,17,0,0,True,,,
transition_near_country,MM,4,4,4,0,0,True,,,
transition_near_country,MP,2,2,2,0,0,True,,,
transition_near_country,MT,4,4,4,0,0,True,,,
transition_near_country,MV,2,2,2,0,0,True,,,
transition_near_country,MX,4,4,4,0,0,True,,,
transition_near_country,MY,6,6,6,0,0,True,,,
transition_near_country,NC,10,10,10,0,0,True,,,
transition_near_country,NG,22,22,22,0,0,True,,,
transition_near_country,NO,81,81,81,0,0,True,,,
transition_near_country,NU,2,2,2,0,0,True,,,
transition_near_country,NZ,219,219,219,0,0,True,,,
