probe_country,service_id,path_scope_stratum,msm_id,file_name,as_boundary_transition_key,as_boundary_observation_count,share_of_as_boundary_observations,rank_within_unit,is_top1_as_boundary_transition,is_top2_as_boundary_transition,is_top3_as_boundary_transition,group_total_hop_pair_segments,group_cross_as_boundary_segments,group_intra_as_hop_pair_segments,group_country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,group_unique_probes,group_unique_probe_asns
AE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->36236,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,2,1
AE,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8966->36236,2,1.0,1,True,False,False,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,2,1
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,38008->7578,2,0.6666666666666666,1,True,False,False,102,3,78,21,0.029411764705882353,0.7647058823529411,0.20588235294117646,2,2
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,137409->7578,1,0.3333333333333333,2,False,True,False,102,3,78,21,0.029411764705882353,0.7647058823529411,0.20588235294117646,2,2
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,38008->7578,2,0.6666666666666666,1,True,False,False,102,3,78,21,0.029411764705882353,0.7647058823529411,0.20588235294117646,2,2
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,137409->7578,1,0.3333333333333333,2,False,True,False,102,3,78,21,0.029411764705882353,0.7647058823529411,0.20588235294117646,2,2
BR,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4230->3549,2,0.5,1,True,False,False,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,2,2
BR,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,26599->3549,2,0.5,2,False,True,False,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855,2,2
BR,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,26599->3549,2,1.0,1,True,False,False,5,2,0,3,0.4,0.0,0.6,1,1
CA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,852->3257,54,0.9473684210526315,1,True,False,False,85,57,28,0,0.6705882352941176,0.32941176470588235,0.0,30,4
CA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,208951->6939,2,0.03508771929824561,2,False,True,False,85,57,28,0,0.6705882352941176,0.32941176470588235,0.0,30,4
CA,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11260->2914,1,0.017543859649122806,3,False,False,True,85,57,28,0,0.6705882352941176,0.32941176470588235,0.0,30,4
CA,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,852->3257,54,0.9473684210526315,1,True,False,False,85,57,28,0,0.6705882352941176,0.32941176470588235,0.0,30,4
CA,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,208951->6939,2,0.03508771929824561,2,False,True,False,85,57,28,0,0.6705882352941176,0.32941176470588235,0.0,30,4
CA,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11260->2914,1,0.017543859649122806,3,False,False,True,85,57,28,0,0.6705882352941176,0.32941176470588235,0.0,30,4
CM,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,36937->30844,1,1.0,1,True,False,False,1,1,0,0,1.0,0.0,0.0,1,1
CM,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,36937->30844,1,1.0,1,True,False,False,1,1,0,0,1.0,0.0,0.0,1,1
CN,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9808->58453,9,1.0,1,True,False,False,11,9,2,0,0.8181818181818182,0.18181818181818182,0.0,6,2
CN,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9808->58453,9,1.0,1,True,False,False,11,9,2,0,0.8181818181818182,0.18181818181818182,0.0,6,2
CO,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,13489->6762,3,1.0,1,True,False,False,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,3,2
CO,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,13489->6762,3,1.0,1,True,False,False,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,3,2
CV,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,37575->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
CV,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,37575->6939,2,1.0,1,True,False,False,2,2,0,0,1.0,0.0,0.0,1,1
