country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8966->5384,as_transition,14,14,0.5,1,True,False,False,False,28,10,6,14,0
AE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5384->8966,as_transition,7,7,0.25,2,False,True,False,False,28,10,6,7,0
AE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5384->5384,as_transition,5,5,0.17857142857142858,3,False,False,True,False,28,10,6,5,0
AE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8529->8529,as_transition,2,2,0.07142857142857142,4,False,False,False,False,28,10,6,0,2
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,7578->7578,as_transition,120,120,0.4838709677419355,1,True,False,False,False,248,109,40,120,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,-1->-1,as_transition,64,64,0.25806451612903225,2,False,True,False,False,248,109,40,64,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4826->4826,as_transition,23,23,0.09274193548387097,3,False,False,True,False,248,109,40,23,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4826->-1,as_transition,19,19,0.07661290322580645,4,False,False,False,False,248,109,40,19,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,-1->4826,as_transition,12,12,0.04838709677419355,5,False,False,False,False,248,109,40,12,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6939->6939,as_transition,3,3,0.012096774193548387,6,False,False,False,False,248,109,40,2,1
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,7699->4826,as_transition,2,2,0.008064516129032258,7,False,False,False,False,248,109,40,2,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,20940->20940,as_transition,2,2,0.008064516129032258,8,False,False,False,False,248,109,40,0,2
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,-1->6939,as_transition,2,2,0.008064516129032258,9,False,False,False,False,248,109,40,2,0
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4804->7545,as_transition,1,1,0.004032258064516129,10,False,False,False,False,248,109,40,1,0
AX,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3238->3238,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
BH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8529->8529,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
BJ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,36924->1930,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
BR,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2716->-1,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,1,0
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,852->-1,as_transition,61,61,0.6853932584269663,1,True,False,False,False,89,46,8,0,61
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6327->6327,as_transition,14,14,0.15730337078651685,2,False,True,False,False,89,46,8,0,14
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,803->-1,as_transition,4,4,0.0449438202247191,3,False,False,True,False,89,46,8,0,4
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3356->3356,as_transition,4,4,0.0449438202247191,4,False,False,False,False,89,46,8,0,4
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,208951->6939,as_transition,2,2,0.02247191011235955,5,False,False,False,False,89,46,8,0,2
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6461->6461,as_transition,2,2,0.02247191011235955,6,False,False,False,False,89,46,8,0,2
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,394256->-1,as_transition,2,2,0.02247191011235955,7,False,False,False,False,89,46,8,0,2
CN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4134->4134,as_transition,4,4,1.0,1,True,False,False,False,4,2,1,4,0
CO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23520->23520,as_transition,9,9,0.8181818181818182,1,True,False,False,False,11,6,5,0,9
CO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,52320->52320,as_transition,2,2,0.18181818181818182,2,False,True,False,False,11,6,5,0,2
CW,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23520->23520,as_transition,12,12,1.0,1,True,False,False,False,12,7,7,0,12
CY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5504->1299,as_transition,4,4,0.6666666666666666,1,True,False,False,False,6,4,2,0,4
CY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,35432->35432,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,4,2,0,2
DK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9158->1299,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
DO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23520->23520,as_transition,3,3,1.0,1,True,False,False,False,3,2,2,0,3
EE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1257->1257,as_transition,12,12,0.48,1,True,False,False,False,25,13,9,0,12
