analysis_scope,country,network_atomic_segments,corridor_atomic_segments,shared_atomic_segments,network_only_atomic_segments,corridor_only_atomic_segments,segment_population_aligned,probe_country,service_id,path_scope_stratum
transition_near_country,AE,28,28,28,0,0,True,,,
transition_near_country,AU,248,248,248,0,0,True,,,
transition_near_country,AX,2,2,2,0,0,True,,,
transition_near_country,BH,1,1,1,0,0,True,,,
transition_near_country,BJ,2,2,2,0,0,True,,,
transition_near_country,BR,1,1,1,0,0,True,,,
transition_near_country,CA,89,89,89,0,0,True,,,
transition_near_country,CN,4,4,4,0,0,True,,,
transition_near_country,CO,11,11,11,0,0,True,,,
transition_near_country,CW,12,12,12,0,0,True,,,
transition_near_country,CY,6,6,6,0,0,True,,,
transition_near_country,DK,2,2,2,0,0,True,,,
transition_near_country,DO,3,3,3,0,0,True,,,
transition_near_country,EE,25,25,25,0,0,True,,,
transition_near_country,ES,23,23,23,0,0,True,,,
transition_near_country,FI,26,26,26,0,0,True,,,
transition_near_country,FJ,6,6,6,0,0,True,,,
transition_near_country,GA,2,2,2,0,0,True,,,
transition_near_country,GH,6,6,6,0,0,True,,,
transition_near_country,GP,2,2,2,0,0,True,,,
transition_near_country,GQ,2,2,2,0,0,True,,,
transition_near_country,GU,7,7,7,0,0,True,,,
transition_near_country,HK,85,85,85,0,0,True,,,
transition_near_country,HN,14,14,14,0,0,True,,,
transition_near_country,ID,84,84,84,0,0,True,,,
transition_near_country,IN,15,15,15,0,0,True,,,
transition_near_country,KE,8,8,8,0,0,True,,,
transition_near_country,KY,2,2,2,0,0,True,,,
transition_near_country,LC,1,1,1,0,0,True,,,
transition_near_country,LK,9,9,9,0,0,True,,,
transition_near_country,MM,5,5,5,0,0,True,,,
transition_near_country,MP,2,2,2,0,0,True,,,
transition_near_country,MT,4,4,4,0,0,True,,,
transition_near_country,MV,2,2,2,0,0,True,,,
transition_near_country,MX,4,4,4,0,0,True,,,
transition_near_country,MY,12,12,12,0,0,True,,,
transition_near_country,NC,10,10,10,0,0,True,,,
transition_near_country,NG,6,6,6,0,0,True,,,
transition_near_country,NO,74,74,74,0,0,True,,,
transition_near_country,NU,2,2,2,0,0,True,,,
transition_near_country,NZ,290,290,290,0,0,True,,,
transition_near_country,PA,2,2,2,0,0,True,,,
transition_near_country,PG,2,2,2,0,0,True,,,
transition_near_country,PH,41,41,41,0,0,True,,,
transition_near_country,PK,1,1,1,0,0,True,,,
transition_near_country,PR,5,5,5,0,0,True,,,
transition_near_country,SE,166,166,166,0,0,True,,,
transition_near_country,SG,58,58,58,0,0,True,,,
transition_near_country,SN,2,2,2,0,0,True,,,
transition_near_country,TG,2,2,2,0,0,True,,,
transition_near_country,TH,2,2,2,0,0,True,,,
transition_near_country,TO,2,2,2,0,0,True,,,
transition_near_country,TR,17,17,17,0,0,True,,,
transition_near_country,TW,81,81,81,0,0,True,,,
transition_near_country,US,45,45,45,0,0,True,,,
transition_near_country,VI,4,4,4,0,0,True,,,
transition_near_country,VN,4,4,4,0,0,True,,,
probe_country_service,,3,3,3,0,0,True,AE,J-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,AF,J-Root,all_publicly_visible
probe_country_service,,207,207,207,0,0,True,AU,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,AX,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,BF,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,BR,J-Root,all_publicly_visible
probe_country_service,,80,80,80,0,0,True,CA,J-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,CN,J-Root,all_publicly_visible
probe_country_service,,7,7,7,0,0,True,CO,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,CR,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,CU,J-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,CY,J-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,DK,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,DO,J-Root,all_publicly_visible
probe_country_service,,15,15,15,0,0,True,EC,J-Root,all_publicly_visible
probe_country_service,,35,35,35,0,0,True,EE,J-Root,all_publicly_visible
probe_country_service,,23,23,23,0,0,True,ES,J-Root,all_publicly_visible
probe_country_service,,13,13,13,0,0,True,FI,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,FM,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,GH,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GP,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,GQ,J-Root,all_publicly_visible
probe_country_service,,11,11,11,0,0,True,GU,J-Root,all_publicly_visible
probe_country_service,,36,36,36,0,0,True,HK,J-Root,all_publicly_visible
probe_country_service,,11,11,11,0,0,True,HN,J-Root,all_publicly_visible
probe_country_service,,70,70,70,0,0,True,ID,J-Root,all_publicly_visible
probe_country_service,,12,12,12,0,0,True,IN,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,JP,J-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,KE,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,KY,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,LC,J-Root,all_publicly_visible
probe_country_service,,9,9,9,0,0,True,LK,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,ML,J-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,MM,J-Root,all_publicly_visible
probe_country_service,,5,5,5,0,0,True,MN,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MP,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MT,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,MV,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,MX,J-Root,all_publicly_visible
probe_country_service,,12,12,12,0,0,True,MY,J-Root,all_publicly_visible
probe_country_service,,251,251,251,0,0,True,NA,J-Root,all_publicly_visible
probe_country_service,,10,10,10,0,0,True,NC,J-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,NG,J-Root,all_publicly_visible
probe_country_service,,68,68,68,0,0,True,NO,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,NP,J-Root,all_publicly_visible
probe_country_service,,247,247,247,0,0,True,NZ,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,PA,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,PE,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,PG,J-Root,all_publicly_visible
probe_country_service,,40,40,40,0,0,True,PH,J-Root,all_publicly_visible
probe_country_service,,7,7,7,0,0,True,PK,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,PR,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,RO,J-Root,all_publicly_visible
probe_country_service,,1,1,1,0,0,True,RU,J-Root,all_publicly_visible
probe_country_service,,121,121,121,0,0,True,SE,J-Root,all_publicly_visible
probe_country_service,,46,46,46,0,0,True,SG,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,SV,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,TG,J-Root,all_publicly_visible
probe_country_service,,6,6,6,0,0,True,TL,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,TO,J-Root,all_publicly_visible
probe_country_service,,17,17,17,0,0,True,TR,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,TV,J-Root,all_publicly_visible
probe_country_service,,63,63,63,0,0,True,TW,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,UG,J-Root,all_publicly_visible
probe_country_service,,21,21,21,0,0,True,US,J-Root,all_publicly_visible
probe_country_service,,4,4,4,0,0,True,VE,J-Root,all_publicly_visible
probe_country_service,,2,2,2,0,0,True,VI,J-Root,all_publicly_visible
probe_country_service,,8,8,8,0,0,True,VN,J-Root,all_publicly_visible
