country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,32,6,COUNTRY_FALLBACK:AE->FR,0.3125,0.625,0.75,4.920465952578201,broad_network_transition_distribution,14,8,10,0.4375,0.25,0.3125,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,11,7,0.40625,0.59375
AL,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,6939->6939,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,4,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AO,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,1,1,33763->33763,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,1,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
AU,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,586,23,7578->7578,0.6040955631399317,0.6911262798634812,0.7747440273037542,4.965155935247284,broad_network_transition_distribution,72,458,56,0.12286689419795221,0.7815699658703071,0.09556313993174062,True,True,auditable,,176,58,0.8327645051194539,0.16723549488054607
AX,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,5416->8966,1.0,1.0,1.0,1.0,severe_network_transition_concentration,4,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0
BJ,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,1,28683->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,4,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
BR,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,1,1,26599->3549,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
CA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,105,9,852->2914,0.5523809523809524,0.6857142857142857,0.780952380952381,4.430706229641972,broad_network_transition_distribution,64,41,0,0.6095238095238096,0.3904761904761905,0.0,True,True,auditable,,54,14,0.0,1.0
CM,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,1,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,1,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
