network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
application_observation_supplementary,cable,conservative_set,all,10,1,0.14285714285714285,0.21428571428571427,0.6842105263157895,0.345003910139862,114,0.6385869565217391,high,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, all projections"
application_observation_supplementary,cable,conservative_set,strong_only,5,0,0.0,0.0,0.3157894736842105,0.2946860187568177,19,0.8695652173913043,high,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,cable,conservative_set,strong_or_moderate,3,0,0.0625,0.07142857142857142,0.640625,-0.037196144272965026,64,0.7391304347826086,high,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,cable,weighted_support,all,12,1,0.08333333333333333,0.14285714285714285,0.5862068965517241,0.19921155787554834,87,0.6847826086956522,high,"application_observation_supplementary network definition, cable-level, weighted support view, all projections"
application_observation_supplementary,cable,weighted_support,strong_only,5,0,0.0,0.0,0.3157894736842105,0.24450345653963804,19,0.8695652173913043,high,"application_observation_supplementary network definition, cable-level, weighted support view, strong projections only"
application_observation_supplementary,cable,weighted_support,strong_or_moderate,6,0,0.05263157894736842,0.07142857142857142,0.609375,0.001626276981667271,64,0.7391304347826086,high,"application_observation_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
application_observation_supplementary,corridor,conservative_set,all,12,1,0.3,0.42857142857142855,0.8333333333333334,0.6513829501720896,114,0.6385869565217391,high,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
application_observation_supplementary,corridor,conservative_set,strong_only,4,0,0.0,0.0,0.3684210526315789,0.15949039549637936,19,0.8695652173913043,high,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,corridor,conservative_set,strong_or_moderate,9,0,0.045454545454545456,0.07142857142857142,0.5625,-0.04226610598779448,64,0.7391304347826086,high,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,corridor,weighted_support,all,12,1,0.08333333333333333,0.14285714285714285,0.632183908045977,0.3572626601512358,87,0.6847826086956522,high,"application_observation_supplementary network definition, corridor-level, weighted support view, all projections"
application_observation_supplementary,corridor,weighted_support,strong_only,4,0,0.0,0.0,0.3684210526315789,0.003957789764130832,19,0.8695652173913043,high,"application_observation_supplementary network definition, corridor-level, weighted support view, strong projections only"
application_observation_supplementary,corridor,weighted_support,strong_or_moderate,6,0,0.05263157894736842,0.07142857142857142,0.625,-0.007434305864770757,64,0.7391304347826086,high,"application_observation_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
