network_definition,mode,physical_level,num_units_compared,spearman_dominant_candidate_support_share,spearman_effective_num_candidates,topk_dominant_share_overlap
application_observation_supplementary,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
application_observation_supplementary,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
application_observation_supplementary,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
application_observation_supplementary,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
application_observation_supplementary,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
application_observation_supplementary,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
application_observation_supplementary,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
application_observation_supplementary,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
as_egress_primary,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
as_egress_primary,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
as_egress_primary,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
as_egress_primary,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
as_egress_primary,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
as_egress_primary,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
as_egress_primary,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
as_egress_primary,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
as_only,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
as_only,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
as_only,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
as_only,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
as_only,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
as_only,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
as_only,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
as_only,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
as_pair_primary,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
as_pair_primary,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
as_pair_primary,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
as_pair_primary,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
as_pair_primary,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
as_pair_primary,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
as_pair_primary,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
as_pair_primary,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
combined_supplementary,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
combined_supplementary,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
combined_supplementary,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
combined_supplementary,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
combined_supplementary,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
combined_supplementary,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
combined_supplementary,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
combined_supplementary,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
composite,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
composite,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
composite,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
composite,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
composite,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
composite,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
composite,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
composite,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
country_only,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
country_only,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
country_only,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
country_only,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
country_only,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
country_only,fused_dual_core_corridor,corridor,87,0.6967507370173774,0.79669619278169,0.8181818181818182
country_only,geo_only_corridor,corridor,87,0.6952469155686497,0.7974205912558685,0.8181818181818182
country_only,high_confidence_subset_corridor,corridor,86,0.6849158880154854,0.7912124651518307,0.6666666666666666
dst_asn_primary,as_only_cable,cable,87,0.9989179385287731,0.999573611611938,1.0
dst_asn_primary,fused_dual_core_cable,cable,87,0.9999999999999999,0.9999999999999999,1.0
dst_asn_primary,geo_only_cable,cable,87,0.9989317366033346,0.9997982687793426,1.0
dst_asn_primary,high_confidence_subset_cable,cable,86,0.9822966378046809,0.9952836726100907,1.0
dst_asn_primary,as_only_corridor,corridor,87,0.697387062496702,0.7983687205222577,0.8181818181818182
