unit_id,physical_level,feasible_candidate_count,feasible_corridor_count,candidate_entropy_uniform,corridor_entropy_uniform,effective_candidate_count_uniform,effective_corridor_count_uniform,physical_candidate_diversity_upper_bound,num_feasible_links,num_probes,candidate_identifier_column,diversity_weighting,physical_candidate_diversity_score,candidate_entropy,effective_num_candidates,dominant_candidate_support_share
src_country=AE|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,18,39,2.8903717578961645,3.6635616461296463,18.0,39.0,18.0,1079,462,cable_id,uniform_feasible_set,18.0,2.8903717578961645,18.0,0.05555555555555555
src_country=AG|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,20,1.3862943611198906,2.995732273553991,4.0,20.0,4.0,4,4,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=AL|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,179,6,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=AO|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,10,1.3862943611198906,2.302585092994046,4.0,10.0,4.0,19,7,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=AT|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,2,0.6931471805599453,0.6931471805599453,2.0,2.0,2.0,99,32,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=AU|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,20,53,2.995732273553991,3.970291913552122,20.0,53.0,20.0,21569,5195,cable_id,uniform_feasible_set,20.0,2.995732273553991,20.0,0.05
src_country=AX|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,5,1.0986122886681098,1.6094379124341003,3.0,5.0,3.0,96,1,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=BB|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,1,1,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=BG|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,3,0.0,1.0986122886681098,1.0,3.0,1.0,4,3,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=BH|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,7,35,1.9459101490553132,3.5553480614894135,7.0,35.0,7.0,163,67,cable_id,uniform_feasible_set,7.0,1.9459101490553132,7.0,0.14285714285714285
src_country=BJ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,3,4,1.0986122886681098,1.3862943611198906,3.0,4.0,3.0,81,5,cable_id,uniform_feasible_set,3.0,1.0986122886681098,3.0,0.3333333333333333
src_country=BN|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,53,51,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=BQ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,17,1.6094379124341003,2.833213344056216,5.0,17.0,5.0,1,1,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=BR|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,16,50,2.772588722239781,3.912023005428146,16.0,50.0,16.0,7859,3508,cable_id,uniform_feasible_set,16.0,2.772588722239781,16.0,0.0625
src_country=BZ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,2,2,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=CA|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,10,413,2.302585092994046,6.023447592961033,10.0,413.0,10.0,3774,1063,cable_id,uniform_feasible_set,10.0,2.302585092994046,10.0,0.1
src_country=CG|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,2,0.6931471805599453,0.6931471805599453,2.0,2.0,2.0,90,1,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=CH|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,2,0.6931471805599453,0.6931471805599453,2.0,2.0,2.0,11256,713,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=CI|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,1,1,0.0,0.0,1.0,1.0,1.0,12,12,cable_id,uniform_feasible_set,1.0,0.0,1.0,1.0
src_country=CL|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,9,1.3862943611198906,2.1972245773362196,4.0,9.0,4.0,2345,543,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=CN|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,22,80,3.091042453358316,4.382026634673881,22.0,80.0,22.0,7297,4575,cable_id,uniform_feasible_set,22.0,3.091042453358316,22.0,0.045454545454545456
src_country=CO|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,9,1.3862943611198906,2.1972245773362196,4.0,9.0,4.0,9,9,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=CV|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,2,2,0.6931471805599453,0.6931471805599453,2.0,2.0,2.0,17,1,cable_id,uniform_feasible_set,2.0,0.6931471805599453,2.0,0.5
src_country=CW|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,5,13,1.6094379124341003,2.5649493574615367,5.0,13.0,5.0,22,14,cable_id,uniform_feasible_set,5.0,1.6094379124341003,5.0,0.2
src_country=CY|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,8,9,2.0794415416798357,2.1972245773362196,8.0,9.0,8.0,761,69,cable_id,uniform_feasible_set,8.0,2.0794415416798357,8.0,0.125
src_country=DE|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,10,16,2.302585092994046,2.772588722239781,10.0,16.0,10.0,331,178,cable_id,uniform_feasible_set,10.0,2.302585092994046,10.0,0.1
src_country=DJ|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,11,16,2.3978952727983707,2.772588722239781,11.0,16.0,11.0,223,196,cable_id,uniform_feasible_set,11.0,2.3978952727983707,11.0,0.09090909090909091
src_country=DK|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,14,25,2.6390573296152584,3.2188758248682006,14.0,25.0,14.0,11199,2985,cable_id,uniform_feasible_set,14.0,2.6390573296152584,14.0,0.07142857142857142
src_country=DM|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,27,1.3862943611198906,3.295836866004329,4.0,27.0,4.0,4,4,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
src_country=DO|msm_id=5051|file_name=ripe_atlas_5051_20251201.json,cable,4,6,1.3862943611198906,1.791759469228055,4.0,6.0,4.0,281,21,cable_id,uniform_feasible_set,4.0,1.3862943611198906,4.0,0.25
