probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AU,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,109,0.43119266055045874,0.5596330275229358,0.6422018348623854,7.029066663418707,broad_network_transition_distribution,0.6513761467889908,0.8073394495412844,0.9541284403669725,2.696756219857674,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,29,14,1.0,0.0,probe_country_service
CA,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,97,0.422680412371134,0.5773195876288659,0.6907216494845361,7.192012654502102,broad_network_transition_distribution,0.7835051546391752,0.9072164948453608,0.9690721649484536,2.073711026897802,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,39,10,0.030927835051546393,0.9690721649484536,probe_country_service
DK,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,47,0.425531914893617,0.5531914893617021,0.6808510638297872,5.812708949775527,broad_network_transition_distribution,0.8723404255319149,0.9787234042553192,1.0,1.551825167490399,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,12,10,0.5531914893617021,0.44680851063829785,probe_country_service
EE,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,85,0.27058823529411763,0.5411764705882353,0.6823529411764706,5.799591725762226,broad_network_transition_distribution,0.7176470588235294,0.9764705882352942,1.0,1.9662945960717548,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,27,16,0.0,1.0,probe_country_service
FI,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,141,0.23404255319148937,0.46099290780141844,0.6382978723404256,9.041507069784828,broad_network_transition_distribution,0.7304964539007093,0.8936170212765958,0.9432624113475178,2.402194600907534,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,55,18,0.24113475177304963,0.7588652482269503,probe_country_service
ID,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,132,0.13636363636363635,0.23484848484848483,0.32575757575757575,21.79129356795399,broad_network_transition_distribution,0.7954545454545454,0.856060606060606,0.9015151515151515,2.2851280442897637,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,41,34,0.6818181818181818,0.3181818181818182,probe_country_service
NO,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,119,0.5294117647058824,0.6722689075630253,0.7478991596638656,5.147331119017094,broad_network_transition_distribution,0.2773109243697479,0.5210084033613446,0.6554621848739496,6.421621327216157,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,12,6,1.0,0.0,probe_country_service
NZ,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,123,0.4878048780487805,0.7317073170731707,0.8048780487804877,4.592090780602201,weak_network_transition_concentration,0.6016260162601627,0.8130081300813009,0.894308943089431,3.104473030468737,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,20,8,1.0,0.0,probe_country_service
PH,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,120,0.275,0.4083333333333333,0.5333333333333333,11.592182140031225,broad_network_transition_distribution,0.4083333333333333,0.7749999999999999,0.8916666666666666,3.8588776665657276,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,23,13,0.16666666666666666,0.8333333333333334,probe_country_service
SE,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,101,0.3564356435643564,0.5544554455445545,0.7326732673267327,6.182147930680572,broad_network_transition_distribution,0.9702970297029703,1.0,1.0,1.1430591609382175,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,35,14,1.0,0.0,probe_country_service
TW,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,133,0.24812030075187969,0.45112781954887216,0.6390977443609023,9.268038897034465,broad_network_transition_distribution,0.5413533834586466,0.8721804511278195,0.9473684210526315,2.9133136413193244,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,30,12,0.6616541353383458,0.3383458646616541,probe_country_service
