probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AE,K-Root,dns_root,anycast,all_publicly_visible,40,38,3,0.075,0.075,0.025,0.025,0.0,0.05,3,0.075,0.95,20,14,1,1,0.925,True,True,auditable,,probe_country_service
AE,K-Root,dns_root,anycast,resolved_entry_only,37,37,3,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.02702702702702703,0.0,0.05405405405405406,3,0.08108108108108109,1.0,19,13,1,1,1.0,True,True,auditable,,probe_country_service
AL,K-Root,dns_root,anycast,all_publicly_visible,46,40,2,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,2,0.043478260869565216,0.8695652173913043,23,14,1,1,0.8260869565217391,True,True,auditable,,probe_country_service
AL,K-Root,dns_root,anycast,resolved_entry_only,38,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,19,10,1,1,1.0,True,True,auditable,,probe_country_service
AR,K-Root,dns_root,anycast,all_publicly_visible,104,95,2,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,2,0.019230769230769232,0.9134615384615384,52,40,1,1,0.9134615384615384,True,True,auditable,,probe_country_service
AR,K-Root,dns_root,anycast,resolved_entry_only,95,95,2,0.021052631578947368,0.021052631578947368,0.0,0.0,0.0,0.021052631578947368,2,0.021052631578947368,1.0,49,38,1,1,1.0,True,True,auditable,,probe_country_service
AT,K-Root,dns_root,anycast,all_publicly_visible,416,376,2,0.004807692307692308,0.004807692307692308,0.0,0.0,0.0,0.004807692307692308,2,0.004807692307692308,0.9038461538461539,207,82,1,1,0.8846153846153846,True,True,auditable,,probe_country_service
AT,K-Root,dns_root,anycast,resolved_entry_only,368,368,2,0.005434782608695652,0.005434782608695652,0.0,0.0,0.0,0.005434782608695652,2,0.005434782608695652,1.0,184,76,1,1,1.0,True,True,auditable,,probe_country_service
AU,K-Root,dns_root,anycast,all_publicly_visible,479,418,295,0.615866388308977,0.615866388308977,0.5594989561586639,0.4091858037578288,0.3966597077244259,0.5866388308977035,295,0.615866388308977,0.872651356993737,240,71,1,1,0.872651356993737,True,True,auditable,,probe_country_service
AU,K-Root,dns_root,anycast,resolved_entry_only,418,418,295,0.7057416267942583,0.7057416267942583,0.6411483253588517,0.4688995215311005,0.45454545454545453,0.6722488038277512,295,0.7057416267942583,1.0,210,68,1,1,1.0,True,True,auditable,,probe_country_service
BA,K-Root,dns_root,anycast,all_publicly_visible,30,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9333333333333333,15,6,1,1,0.9333333333333333,True,True,auditable,,probe_country_service
BE,K-Root,dns_root,anycast,all_publicly_visible,296,285,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9628378378378378,147,26,1,1,0.9628378378378378,True,True,auditable,,probe_country_service
BE,K-Root,dns_root,anycast,resolved_entry_only,285,285,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,142,25,1,1,1.0,True,True,auditable,,probe_country_service
BG,K-Root,dns_root,anycast,all_publicly_visible,166,154,2,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.012048192771084338,2,0.012048192771084338,0.927710843373494,83,51,1,1,0.9156626506024096,True,True,auditable,,probe_country_service
BG,K-Root,dns_root,anycast,resolved_entry_only,152,152,2,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.013157894736842105,2,0.013157894736842105,1.0,76,44,1,1,1.0,True,True,auditable,,probe_country_service
BO,K-Root,dns_root,anycast,all_publicly_visible,36,36,2,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,2,0.05555555555555555,1.0,18,9,1,1,1.0,True,True,auditable,,probe_country_service
BO,K-Root,dns_root,anycast,resolved_entry_only,36,36,2,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,2,0.05555555555555555,1.0,18,9,1,1,1.0,True,True,auditable,,probe_country_service
BR,K-Root,dns_root,anycast,all_publicly_visible,173,152,12,0.06936416184971098,0.06936416184971098,0.05202312138728324,0.03468208092485549,0.03468208092485549,0.017341040462427744,12,0.06936416184971098,0.8786127167630058,87,58,1,1,0.8092485549132948,True,True,auditable,,probe_country_service
BR,K-Root,dns_root,anycast,resolved_entry_only,140,140,12,0.08571428571428572,0.08571428571428572,0.06428571428571428,0.04285714285714286,0.04285714285714286,0.02142857142857143,12,0.08571428571428572,1.0,71,49,1,1,1.0,True,True,auditable,,probe_country_service
BY,K-Root,dns_root,anycast,all_publicly_visible,46,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,23,14,1,1,0.9565217391304348,True,True,auditable,,probe_country_service
BY,K-Root,dns_root,anycast,resolved_entry_only,44,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,22,13,1,1,1.0,True,True,auditable,,probe_country_service
CA,K-Root,dns_root,anycast,all_publicly_visible,545,519,136,0.24954128440366974,0.24954128440366974,0.10825688073394496,0.08623853211009175,0.022018348623853212,0.23669724770642203,136,0.24954128440366974,0.9522935779816514,272,85,1,1,0.944954128440367,True,True,auditable,,probe_country_service
CA,K-Root,dns_root,anycast,resolved_entry_only,515,515,136,0.26407766990291265,0.26407766990291265,0.1145631067961165,0.0912621359223301,0.02330097087378641,0.2504854368932039,136,0.26407766990291265,1.0,258,80,1,1,1.0,True,True,auditable,,probe_country_service
CH,K-Root,dns_root,anycast,all_publicly_visible,647,601,38,0.05873261205564142,0.05873261205564142,0.0,0.0,0.0,0.05873261205564142,38,0.05873261205564142,0.9289026275115919,324,81,1,1,0.9165378670788253,True,True,auditable,,probe_country_service
CH,K-Root,dns_root,anycast,resolved_entry_only,593,593,36,0.06070826306913996,0.06070826306913996,0.0,0.0,0.0,0.06070826306913996,36,0.06070826306913996,1.0,297,73,1,1,1.0,True,True,auditable,,probe_country_service
CL,K-Root,dns_root,anycast,all_publicly_visible,154,64,1,0.006493506493506494,0.006493506493506494,0.0,0.0,0.0,0.006493506493506494,1,0.006493506493506494,0.4155844155844156,76,33,1,1,0.4155844155844156,True,True,auditable,,probe_country_service
CL,K-Root,dns_root,anycast,resolved_entry_only,64,64,1,0.015625,0.015625,0.0,0.0,0.0,0.015625,1,0.015625,1.0,32,20,1,1,1.0,True,True,auditable,,probe_country_service
CN,K-Root,dns_root,anycast,all_publicly_visible,100,92,51,0.51,0.51,0.29,0.15,0.28,0.5,51,0.51,0.92,50,23,1,1,0.53,True,True,auditable,,probe_country_service
CN,K-Root,dns_root,anycast,resolved_entry_only,53,53,45,0.8490566037735849,0.8490566037735849,0.5283018867924528,0.2830188679245283,0.5094339622641509,0.8301886792452831,45,0.8490566037735849,1.0,27,13,1,1,1.0,True,True,auditable,,probe_country_service
CO,K-Root,dns_root,anycast,all_publicly_visible,62,60,18,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.0,0.2903225806451613,0.0,18,0.2903225806451613,0.967741935483871,31,22,1,1,0.9516129032258065,True,True,auditable,,probe_country_service
CO,K-Root,dns_root,anycast,resolved_entry_only,59,59,17,0.288135593220339,0.288135593220339,0.288135593220339,0.0,0.288135593220339,0.0,17,0.288135593220339,1.0,30,21,1,1,1.0,True,True,auditable,,probe_country_service
CR,K-Root,dns_root,anycast,all_publicly_visible,32,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8125,16,8,1,1,0.8125,True,True,auditable,,probe_country_service
CZ,K-Root,dns_root,anycast,all_publicly_visible,554,546,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9855595667870036,278,112,1,1,0.9819494584837545,True,True,auditable,,probe_country_service
CZ,K-Root,dns_root,anycast,resolved_entry_only,544,544,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,273,112,1,1,1.0,True,True,auditable,,probe_country_service
DE,K-Root,dns_root,anycast,all_publicly_visible,3187,3087,42,0.013178537809852526,0.013178537809852526,0.0072168183244430495,0.0,0.0072168183244430495,0.006275494195167869,42,0.013178537809852526,0.9686225290241607,1596,376,1,1,0.9610919359899592,True,True,auditable,,probe_country_service
DE,K-Root,dns_root,anycast,resolved_entry_only,3063,3063,34,0.01110022853411688,0.01110022853411688,0.004897159647404506,0.0,0.004897159647404506,0.00652954619653934,34,0.01110022853411688,1.0,1536,361,1,1,1.0,True,True,auditable,,probe_country_service
DK,K-Root,dns_root,anycast,all_publicly_visible,216,204,174,0.8055555555555556,0.8055555555555556,0.07407407407407407,0.027777777777777776,0.046296296296296294,0.8055555555555556,174,0.8055555555555556,0.9444444444444444,108,35,1,1,0.9444444444444444,True,True,auditable,,probe_country_service
DK,K-Root,dns_root,anycast,resolved_entry_only,204,204,174,0.8529411764705882,0.8529411764705882,0.0784313725490196,0.029411764705882353,0.049019607843137254,0.8529411764705882,174,0.8529411764705882,1.0,102,33,1,1,1.0,True,True,auditable,,probe_country_service
