probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AU,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,173,0.24277456647398843,0.4393063583815029,0.6242774566473989,7.684888383835404,broad_network_transition_distribution,0.5780346820809249,0.7167630057803469,0.8381502890173411,3.4801012781565857,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,54,23,0.861271676300578,0.13872832369942195,probe_country_service
CA,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,151,0.7748344370860927,0.8807947019867549,0.9337748344370861,2.361187927395992,moderate_network_transition_concentration,0.8410596026490066,0.9470198675496688,0.9801324503311258,1.798174766427489,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,64,21,0.8940397350993378,0.10596026490066225,probe_country_service
DK,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,41,0.3902439024390244,0.6829268292682926,0.9268292682926829,3.5335537318902372,weak_network_transition_concentration,0.926829268292683,1.0,1.0,1.2992205177568863,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,21,6,0.0,1.0,probe_country_service
ES,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,37,0.35135135135135137,0.6216216216216217,0.8648648648648649,4.322623415162529,weak_network_transition_concentration,0.5405405405405406,0.8918918918918919,0.972972972972973,2.7218943095337322,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,12,9,0.10810810810810811,0.8918918918918919,probe_country_service
FI,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,143,0.5594405594405595,0.8111888111888113,0.8531468531468532,3.956140445030983,moderate_network_transition_concentration,0.5734265734265734,0.8111888111888113,0.8811188811188811,3.3892803590195664,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,71,30,0.0979020979020979,0.9020979020979021,probe_country_service
IN,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,34,0.38235294117647056,0.7058823529411764,0.8529411764705882,3.93566335790494,weak_network_transition_concentration,0.3235294117647059,0.5882352941176471,0.8529411764705883,4.154702737148785,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,10,5,0.29411764705882354,0.7058823529411765,probe_country_service
IT,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,31,0.41935483870967744,0.6129032258064516,0.7741935483870968,5.04212109718558,broad_network_transition_distribution,0.6774193548387096,0.9354838709677419,1.0,2.203880192556479,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,18,9,0.06451612903225806,0.9354838709677419,probe_country_service
NO,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,61,0.32786885245901637,0.4590163934426229,0.5573770491803278,9.17620481648319,broad_network_transition_distribution,0.5901639344262295,0.7540983606557377,0.8688524590163934,3.5411436341613145,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,13,6,0.9508196721311475,0.04918032786885246,probe_country_service
NZ,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,178,0.8539325842696629,0.898876404494382,0.9382022471910112,1.9488286053065924,severe_network_transition_concentration,0.5,0.7359550561797753,0.9044943820224719,3.786313936796584,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,46,24,0.9719101123595506,0.028089887640449437,probe_country_service
PH,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,91,0.2857142857142857,0.48351648351648346,0.5934065934065934,10.177128160212495,broad_network_transition_distribution,0.4175824175824176,0.7087912087912088,0.8626373626373627,4.376440933492085,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,20,11,0.10989010989010989,0.8901098901098901,probe_country_service
SE,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,51,0.5098039215686274,0.588235294117647,0.6666666666666666,5.567413735705591,broad_network_transition_distribution,0.5098039215686274,0.7843137254901961,0.8823529411764706,3.4997407285559556,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,21,7,0.3137254901960784,0.6862745098039216,probe_country_service
TW,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,132,0.3484848484848485,0.5454545454545454,0.6818181818181819,7.650235179289298,broad_network_transition_distribution,0.3939393939393939,0.7424242424242424,0.8787878787878788,3.974558386210659,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,26,7,0.7575757575757576,0.24242424242424243,probe_country_service
ZA,M-Root,5006,dns-root_m-root_msm5006_20260701T000000Z_010000Z.json,97,0.5360824742268041,0.7422680412371134,0.7938144329896907,4.621489042861223,broad_network_transition_distribution,0.8247422680412371,0.8865979381443299,0.9381443298969072,2.0045482451146848,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,42,28,0.05154639175257732,0.9484536082474226,probe_country_service
