country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
GR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,183,183.0,1,landing_region_0088::landing_region_0424,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,92,39,1,1.0,0.0,country_corridor_concentration_summary,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,58,58.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,22,9,1,0.3793103448275862,0.6206896551724138,service_country_corridor_concentration_summary,DK,L-Root
DK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,38,38.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,20,8,1,0.0,1.0,country_corridor_concentration_summary,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,36,36.0,1,landing_region_0088::landing_region_0424,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,18,10,1,1.0,0.0,service_country_corridor_concentration_summary,GR,L-Root
HK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,130,130.0,2,landing_region_0132::landing_region_0230,0.9846153846153847,1.0,1.0,1.0827314873966858,severe_corridor_observation_concentration,True,True,True,True,auditable,,81,35,1,0.0,1.0,country_corridor_concentration_summary,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,98,98.0,2,landing_region_0051::landing_region_0512,0.9795918367346939,1.0,1.0,1.1047547774326025,severe_corridor_observation_concentration,True,True,True,True,auditable,,34,14,1,0.9795918367346939,0.02040816326530612,service_country_corridor_concentration_summary,SE,L-Root
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,49,49.0,2,landing_region_0051::landing_region_0512,0.9591836734693877,1.0,1.0,1.1859330591533923,severe_corridor_observation_concentration,True,True,True,True,auditable,,28,14,1,0.9591836734693877,0.04081632653061224,service_country_corridor_concentration_summary,DE,L-Root
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,57,57.0,3,landing_region_0132::landing_region_0230,0.9473684210526315,0.9824561403508771,1.0,1.2708586779010536,severe_corridor_observation_concentration,True,True,True,True,auditable,,29,15,1,0.03508771929824561,0.9649122807017544,service_country_corridor_concentration_summary,HK,L-Root
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,49,49.0,3,landing_region_0512::landing_region_0640,0.9387755102040817,0.979591836734694,1.0,1.3090396752783968,severe_corridor_observation_concentration,True,True,True,True,auditable,,24,13,1,0.0,1.0,service_country_corridor_concentration_summary,RU,L-Root
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,120,120.0,4,landing_region_0132::landing_region_0735,0.875,0.9333333333333333,0.9666666666666667,1.6642014303369146,severe_corridor_observation_concentration,True,True,True,True,auditable,,67,34,1,0.0,1.0,country_corridor_concentration_summary,,
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,265,265.0,3,landing_region_0051::landing_region_0512,0.7924528301886793,0.9924528301886792,1.0,1.7213513445013464,moderate_corridor_observation_concentration,True,True,True,True,auditable,,92,36,1,0.7924528301886793,0.20754716981132076,country_corridor_concentration_summary,,
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,89,89.0,6,landing_region_0132::landing_region_0250,0.7134831460674157,0.8258426966292134,0.8932584269662921,2.748147024671295,moderate_corridor_observation_concentration,True,True,True,True,auditable,,37,20,1,0.15730337078651685,0.8426966292134831,country_corridor_concentration_summary,,
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,62,62.0,5,landing_region_0335::landing_region_0562,0.6774193548387096,0.8064516129032258,0.8870967741935484,2.843123465023937,moderate_corridor_observation_concentration,True,True,True,True,auditable,,15,8,1,1.0,0.0,country_corridor_concentration_summary,,
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,77,77.0,5,landing_region_0719::landing_region_1011,0.6363636363636364,0.8311688311688312,0.8961038961038961,2.977579492368793,moderate_corridor_observation_concentration,True,True,True,True,auditable,,22,10,1,0.7402597402597403,0.2597402597402597,country_corridor_concentration_summary,,
ZA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,39,39.0,4,landing_region_0233::landing_region_0556,0.5641025641025641,0.8717948717948718,0.9743589743589743,2.754197120811181,moderate_corridor_observation_concentration,True,True,True,True,auditable,,11,7,1,0.0,1.0,country_corridor_concentration_summary,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,87,87.0,4,landing_region_0089::landing_region_0362,0.5632183908045977,0.8620689655172413,0.9770114942528736,2.772307370040356,moderate_corridor_observation_concentration,True,True,True,True,auditable,,24,10,1,0.8850574712643678,0.11494252873563218,service_country_corridor_concentration_summary,NZ,L-Root
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,96,96.0,4,landing_region_0089::landing_region_0362,0.5520833333333334,0.875,0.9791666666666667,2.7434913262935186,moderate_corridor_observation_concentration,True,True,True,True,auditable,,26,11,1,0.8958333333333334,0.10416666666666667,country_corridor_concentration_summary,,
