network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
application_observation_supplementary,cable,conservative_set,all,14,2,0.16129032258064516,0.22727272727272727,0.5625,0.23219371759618593,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, all projections"
application_observation_supplementary,cable,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,cable,conservative_set,strong_or_moderate,4,1,0.0,0.0,0.3548387096774194,-0.10886286429609582,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,cable,weighted_support,all,14,4,0.02857142857142857,0.045454545454545456,0.4166666666666667,-0.03928339142454681,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, all projections"
application_observation_supplementary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, strong projections only"
application_observation_supplementary,cable,weighted_support,strong_or_moderate,5,0,0.0,0.0,0.3225806451612903,0.12412890689392095,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
application_observation_supplementary,corridor,conservative_set,all,15,1,0.27586206896551724,0.36363636363636365,0.6875,0.42207305381902976,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
application_observation_supplementary,corridor,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,corridor,conservative_set,strong_or_moderate,8,0,0.0,0.0,0.3548387096774194,-0.24057414456270154,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,corridor,weighted_support,all,10,6,0.06666666666666667,0.09090909090909091,0.5416666666666666,0.15004406841692894,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, all projections"
application_observation_supplementary,corridor,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, strong projections only"
application_observation_supplementary,corridor,weighted_support,strong_or_moderate,8,0,0.0,0.0,0.3548387096774194,-0.2635940974327875,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, strong/moderate projections only"
as_egress_primary,cable,conservative_set,all,20,2,0.5555555555555556,0.6818181818181818,0.8125,0.7436256519515169,0,,,"as_egress_primary network definition, cable-level, conservative feasible-set view, all projections"
as_egress_primary,cable,conservative_set,strong_only,0,0,0.0,0.0,1.0,0.0,0,,,"as_egress_primary network definition, cable-level, conservative feasible-set view, strong projections only"
as_egress_primary,cable,conservative_set,strong_or_moderate,5,2,0.038461538461538464,0.045454545454545456,0.6451612903225806,0.5710344474311958,0,,,"as_egress_primary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
as_egress_primary,cable,weighted_support,all,15,2,0.08823529411764706,0.13636363636363635,0.5555555555555556,0.45747152123664164,0,,,"as_egress_primary network definition, cable-level, weighted support view, all projections"
as_egress_primary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.0,0.0,0,,,"as_egress_primary network definition, cable-level, weighted support view, strong projections only"
