probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AR,A-Root,dns_root,anycast,all_publicly_visible,40,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.775,40,34,1,1,0.0,True,True,auditable,,probe_country_service
AT,A-Root,dns_root,anycast,all_publicly_visible,149,147,1,0.006711409395973154,0.006711409395973154,0.0,0.0,0.0,0.006711409395973154,1,0.006711409395973154,0.9865771812080537,149,68,1,1,0.0,True,True,auditable,,probe_country_service
AU,A-Root,dns_root,anycast,all_publicly_visible,191,153,121,0.6335078534031413,0.6335078534031413,0.38219895287958117,0.34554973821989526,0.06806282722513089,0.6335078534031413,121,0.6335078534031413,0.8010471204188482,191,60,1,1,0.0,True,True,auditable,,probe_country_service
BE,A-Root,dns_root,anycast,all_publicly_visible,115,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9565217391304348,114,23,1,1,0.0,True,True,auditable,,probe_country_service
BG,A-Root,dns_root,anycast,all_publicly_visible,59,57,1,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.01694915254237288,1,0.01694915254237288,0.9661016949152542,59,42,1,1,0.0,True,True,auditable,,probe_country_service
BR,A-Root,dns_root,anycast,all_publicly_visible,58,48,2,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.017241379310344827,0.034482758620689655,0.0,2,0.034482758620689655,0.8275862068965517,58,43,1,1,0.0,True,True,auditable,,probe_country_service
CA,A-Root,dns_root,anycast,all_publicly_visible,190,176,45,0.23684210526315788,0.23684210526315788,0.17894736842105263,0.02631578947368421,0.15263157894736842,0.21052631578947367,45,0.23684210526315788,0.9263157894736842,190,71,1,1,0.0,True,True,auditable,,probe_country_service
CH,A-Root,dns_root,anycast,all_publicly_visible,230,217,23,0.1,0.1,0.0,0.0,0.0,0.1,23,0.1,0.9434782608695652,230,63,1,1,0.0,True,True,auditable,,probe_country_service
CL,A-Root,dns_root,anycast,all_publicly_visible,53,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9245283018867925,52,25,1,1,0.0,True,True,auditable,,probe_country_service
CN,A-Root,dns_root,anycast,all_publicly_visible,41,37,10,0.24390243902439024,0.24390243902439024,0.0,0.0,0.0,0.24390243902439024,10,0.24390243902439024,0.9024390243902439,41,17,1,1,0.024390243902439025,True,True,auditable,,probe_country_service
CZ,A-Root,dns_root,anycast,all_publicly_visible,214,211,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.985981308411215,213,86,1,1,0.0,True,True,auditable,,probe_country_service
DE,A-Root,dns_root,anycast,all_publicly_visible,1194,1162,6,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,6,0.005025125628140704,0.9731993299832495,1193,313,1,1,0.0,True,True,auditable,,probe_country_service
DK,A-Root,dns_root,anycast,all_publicly_visible,74,70,54,0.7297297297297297,0.7297297297297297,0.16216216216216217,0.16216216216216217,0.013513513513513514,0.7162162162162162,54,0.7297297297297297,0.9459459459459459,74,29,1,1,0.0,True,True,auditable,,probe_country_service
EE,A-Root,dns_root,anycast,all_publicly_visible,31,26,14,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.0,0.45161290322580644,0.0,14,0.45161290322580644,0.8387096774193549,31,19,1,1,0.0,True,True,auditable,,probe_country_service
ES,A-Root,dns_root,anycast,all_publicly_visible,174,131,42,0.2413793103448276,0.2413793103448276,0.22413793103448276,0.011494252873563218,0.21264367816091953,0.022988505747126436,42,0.2413793103448276,0.7528735632183908,174,59,1,1,0.0,True,True,auditable,,probe_country_service
FI,A-Root,dns_root,anycast,all_publicly_visible,116,110,48,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.05172413793103448,0.3793103448275862,0.017241379310344827,48,0.41379310344827586,0.9482758620689655,116,45,1,1,0.0,True,True,auditable,,probe_country_service
FR,A-Root,dns_root,anycast,all_publicly_visible,702,658,1,0.0014245014245014246,0.0014245014245014246,0.0014245014245014246,0.0,0.0014245014245014246,0.0,1,0.0014245014245014246,0.9373219373219374,702,132,1,1,0.0,True,True,auditable,,probe_country_service
GB,A-Root,dns_root,anycast,all_publicly_visible,387,336,1,0.002583979328165375,0.002583979328165375,0.0,0.0,0.0,0.002583979328165375,1,0.002583979328165375,0.8682170542635659,387,149,1,1,0.0,True,True,auditable,,probe_country_service
GR,A-Root,dns_root,anycast,all_publicly_visible,58,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8620689655172413,58,21,1,1,0.0,True,True,auditable,,probe_country_service
HK,A-Root,dns_root,anycast,all_publicly_visible,40,38,33,0.825,0.825,0.3,0.0,0.3,0.825,33,0.825,0.95,40,26,1,1,0.0,True,True,auditable,,probe_country_service
HU,A-Root,dns_root,anycast,all_publicly_visible,39,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8974358974358975,39,18,1,1,0.0,True,True,auditable,,probe_country_service
ID,A-Root,dns_root,anycast,all_publicly_visible,61,61,58,0.9508196721311475,0.9508196721311475,0.5901639344262295,0.4098360655737705,0.21311475409836064,0.8852459016393442,58,0.9508196721311475,1.0,60,48,1,1,0.0,True,True,auditable,,probe_country_service
IE,A-Root,dns_root,anycast,all_publicly_visible,67,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8955223880597015,67,20,1,1,0.0,True,True,auditable,,probe_country_service
IN,A-Root,dns_root,anycast,all_publicly_visible,102,87,49,0.4803921568627451,0.4803921568627451,0.27450980392156865,0.0196078431372549,0.2647058823529412,0.39215686274509803,49,0.4803921568627451,0.8529411764705882,102,50,1,1,0.0,True,True,auditable,,probe_country_service
IR,A-Root,dns_root,anycast,all_publicly_visible,38,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.47368421052631576,38,21,1,1,0.0,True,True,auditable,,probe_country_service
IT,A-Root,dns_root,anycast,all_publicly_visible,233,218,1,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.0,0.0,1,0.004291845493562232,0.9356223175965666,233,87,1,1,0.0,True,True,auditable,,probe_country_service
JP,A-Root,dns_root,anycast,all_publicly_visible,173,162,6,0.03468208092485549,0.03468208092485549,0.0,0.0,0.0,0.03468208092485549,6,0.03468208092485549,0.9364161849710982,173,82,1,1,0.0,True,True,auditable,,probe_country_service
KZ,A-Root,dns_root,anycast,all_publicly_visible,37,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,37,17,1,1,0.0,True,True,auditable,,probe_country_service
LU,A-Root,dns_root,anycast,all_publicly_visible,32,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.90625,32,16,1,1,0.0,True,True,auditable,,probe_country_service
MX,A-Root,dns_root,anycast,all_publicly_visible,34,32,3,0.08823529411764706,0.08823529411764706,0.058823529411764705,0.0,0.058823529411764705,0.029411764705882353,3,0.08823529411764706,0.9411764705882353,34,19,1,1,0.0,True,True,auditable,,probe_country_service
NA,A-Root,dns_root,anycast,all_publicly_visible,1350,1218,203,0.15037037037037038,0.15037037037037038,0.0725925925925926,0.037037037037037035,0.03925925925925926,0.12518518518518518,203,0.15037037037037038,0.9022222222222223,1346,4,1,1,0.0014814814814814814,True,True,auditable,,probe_country_service
NL,A-Root,dns_root,anycast,all_publicly_visible,436,360,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8256880733944955,436,126,1,1,0.0,True,True,auditable,,probe_country_service
NO,A-Root,dns_root,anycast,all_publicly_visible,61,59,48,0.7868852459016393,0.7868852459016393,0.29508196721311475,0.2786885245901639,0.01639344262295082,0.6885245901639344,48,0.7868852459016393,0.9672131147540983,61,24,1,1,0.0,True,True,auditable,,probe_country_service
NZ,A-Root,dns_root,anycast,all_publicly_visible,77,76,75,0.974025974025974,0.974025974025974,0.6623376623376623,0.4805194805194805,0.5194805194805194,0.948051948051948,75,0.974025974025974,0.987012987012987,77,25,1,1,0.0,True,True,auditable,,probe_country_service
