probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AR,B-Root,dns_root,anycast,all_publicly_visible,50,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.88,50,39,1,1,0.0,True,True,auditable,,probe_country_service
AT,B-Root,dns_root,anycast,all_publicly_visible,213,209,1,0.004694835680751174,0.004694835680751174,0.0,0.0,0.0,0.004694835680751174,1,0.004694835680751174,0.9812206572769953,206,81,1,1,0.0,True,True,auditable,,probe_country_service
AU,B-Root,dns_root,anycast,all_publicly_visible,253,201,144,0.5691699604743083,0.5691699604743083,0.39920948616600793,0.38735177865612647,0.03557312252964427,0.5335968379446641,144,0.5691699604743083,0.7944664031620553,240,71,1,1,0.0,True,True,auditable,,probe_country_service
BE,B-Root,dns_root,anycast,all_publicly_visible,151,151,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,146,25,1,1,0.0,True,True,auditable,,probe_country_service
BG,B-Root,dns_root,anycast,all_publicly_visible,85,83,1,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.011764705882352941,1,0.011764705882352941,0.9764705882352941,83,51,1,1,0.0,True,True,auditable,,probe_country_service
BR,B-Root,dns_root,anycast,all_publicly_visible,91,81,1,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.01098901098901099,0.0,1,0.01098901098901099,0.8901098901098901,86,57,1,1,0.0,True,True,auditable,,probe_country_service
CA,B-Root,dns_root,anycast,all_publicly_visible,284,275,66,0.2323943661971831,0.2323943661971831,0.1936619718309859,0.02112676056338028,0.17253521126760563,0.2007042253521127,66,0.2323943661971831,0.9683098591549296,268,84,1,1,0.0,True,True,auditable,,probe_country_service
CH,B-Root,dns_root,anycast,all_publicly_visible,332,318,36,0.10843373493975904,0.10843373493975904,0.0,0.0,0.0,0.10843373493975904,36,0.10843373493975904,0.9578313253012049,320,81,1,1,0.0,True,True,auditable,,probe_country_service
CL,B-Root,dns_root,anycast,all_publicly_visible,82,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.4878048780487805,76,33,1,1,0.0,True,True,auditable,,probe_country_service
CN,B-Root,dns_root,anycast,all_publicly_visible,51,47,9,0.17647058823529413,0.17647058823529413,0.0784313725490196,0.0,0.0784313725490196,0.17647058823529413,9,0.17647058823529413,0.9215686274509803,50,23,1,1,0.0,True,True,auditable,,probe_country_service
