unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=C-Root,23,23,11.173913043478262,14.0,14,1.0,1.0,1,0.782608695652174,0.782608695652174,0.0,0.782608695652174,0.0,0.9130434782608695,0.4782608695652174
probe_country=AF|service_id=C-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=AM|service_id=C-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=AT|service_id=C-Root,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=C-Root,1233,1233,6.4274128142741285,3.0,14,1.0,1.0,1,0.8288726682887266,0.819140308191403,0.0,0.7858880778588808,0.08110300081103,0.9643146796431468,0.5871857258718572
probe_country=AX|service_id=C-Root,10,10,1.4,1.0,3,1.0,1.0,1,0.6,0.0,0.0,0.4,0.0,0.4,0.8
probe_country=AZ|service_id=C-Root,7,7,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.0
probe_country=BD|service_id=C-Root,49,49,13.36734693877551,14.0,14,1.0,1.0,1,1.0,0.9387755102040817,0.0,1.0,0.0,0.9387755102040817,0.3469387755102041
probe_country=BF|service_id=C-Root,6,6,2.3333333333333335,1.0,5,1.0,1.0,1,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
probe_country=BH|service_id=C-Root,8,8,1.75,1.0,4,1.0,1.0,1,0.25,0.25,0.0,0.25,0.75,0.25,0.75
probe_country=BI|service_id=C-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
probe_country=BJ|service_id=C-Root,8,8,1.75,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=BR|service_id=C-Root,9,9,3.2222222222222223,4.0,5,1.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.7777777777777778
probe_country=BT|service_id=C-Root,4,4,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=CA|service_id=C-Root,160,160,1.6875,2.0,3,1.0,1.0,1,0.625,0.6125,0.0,0.625,0.0,0.7125,0.84375
probe_country=CH|service_id=C-Root,70,70,1.6,2.0,2,1.0,1.0,1,1.0,0.0,0.0,0.9857142857142858,0.0,1.0,1.0
probe_country=CI|service_id=C-Root,3,3,1.0,1.0,1,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
probe_country=CK|service_id=C-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=CM|service_id=C-Root,3,3,2.6666666666666665,1.0,6,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0.0
probe_country=CN|service_id=C-Root,61,61,5.442622950819672,2.0,14,1.0,1.0,1,1.0,0.4098360655737705,0.0,0.7704918032786885,0.0,0.9180327868852459,0.6721311475409836
probe_country=CO|service_id=C-Root,11,11,1.6363636363636365,2.0,2,1.0,1.0,1,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,1.0
probe_country=CU|service_id=C-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CV|service_id=C-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.75,0.75,0.0,0.75,0.0,0.75,0.75
probe_country=CW|service_id=C-Root,3,3,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CY|service_id=C-Root,16,16,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.1875,0.0,0.0,0.25
probe_country=DE|service_id=C-Root,48,48,2.9375,2.0,14,1.0,1.0,1,0.8958333333333334,0.08333333333333333,0.0,0.5833333333333334,0.0,0.8541666666666666,0.9375
probe_country=DK|service_id=C-Root,416,416,5.377403846153846,6.0,14,1.0168269230769231,1.0,2,0.9903846153846154,0.9110576923076923,0.0,0.90625,0.0,0.8076923076923077,0.36778846153846156
probe_country=DO|service_id=C-Root,10,10,1.8,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.6
probe_country=EC|service_id=C-Root,7,7,1.4285714285714286,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,1.0
probe_country=EE|service_id=C-Root,113,113,1.7964601769911503,2.0,6,1.0,1.0,1,0.061946902654867256,0.061946902654867256,0.0,0.3893805309734513,0.0,0.0,0.7433628318584071
probe_country=ES|service_id=C-Root,9,9,1.4444444444444444,1.0,3,1.0,1.0,1,0.7777777777777778,0.0,0.0,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778
probe_country=FI|service_id=C-Root,329,329,1.8206686930091185,1.0,3,1.0,1.0,1,0.41033434650455924,0.0,0.0,0.13069908814589665,0.0,0.0425531914893617,0.9483282674772037
probe_country=FJ|service_id=C-Root,4,4,2.75,3.0,3,1.0,1.0,1,0.75,0.75,0.0,0.75,0.25,0.75,0.5
probe_country=FM|service_id=C-Root,5,5,2.0,2.0,2,1.0,1.0,1,0.8,0.0,0.0,0.6,0.0,0.8,0.8
probe_country=GB|service_id=C-Root,2,2,2.0,2.0,2,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=GG|service_id=C-Root,2,2,3.0,3.0,3,1.0,1.0,1,1.0,1.0,0.0,0.5,0.0,1.0,0.5
probe_country=GH|service_id=C-Root,6,6,4.0,5.0,6,1.0,1.0,1,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
probe_country=GP|service_id=C-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,1.0,0.0,0.5,0.0,0.5,0.5
probe_country=GU|service_id=C-Root,32,32,5.3125,2.0,14,1.0,1.0,1,0.875,0.28125,0.0,0.875,0.0625,0.9375,0.8125
probe_country=HK|service_id=C-Root,449,449,8.267260579064589,10.0,14,1.0,1.0,1,1.0,0.576837416481069,0.0,0.821826280623608,0.0,0.8329621380846325,0.576837416481069
probe_country=HN|service_id=C-Root,9,9,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=ID|service_id=C-Root,657,657,10.278538812785389,14.0,14,1.0,1.0,1,0.9512937595129376,0.7092846270928462,0.0,0.8736681887366818,0.0,0.8873668188736682,0.3942161339421613
probe_country=IE|service_id=C-Root,4,4,3.0,3.0,4,1.0,1.0,1,0.5,0.0,0.0,0.5,0.0,0.5,0.75
probe_country=IL|service_id=C-Root,43,43,1.3488372093023255,1.0,2,1.0,1.0,1,0.7906976744186046,0.7906976744186046,0.0,1.0,0.0,1.0,0.5348837209302325
probe_country=IM|service_id=C-Root,6,6,1.0,1.0,1,1.0,1.0,1,1.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0
probe_country=IN|service_id=C-Root,654,654,12.211009174311927,14.0,14,1.0,1.0,1,1.0,0.8241590214067278,0.0,0.8853211009174312,0.0764525993883792,0.8440366972477065,0.327217125382263
probe_country=IS|service_id=C-Root,10,10,4.6,4.0,7,1.0,1.0,1,1.0,1.0,0.0,0.8,0.0,0.6,0.5
probe_country=IT|service_id=C-Root,45,45,3.2888888888888888,4.0,4,1.0,1.0,1,0.6444444444444445,0.0,0.0,0.6888888888888889,0.0,0.35555555555555557,0.7777777777777778
probe_country=JP|service_id=C-Root,17,17,1.8235294117647058,1.0,3,1.0,1.0,1,1.0,1.0,0.0,0.8823529411764706,0.0,1.0,1.0
probe_country=KE|service_id=C-Root,18,18,1.0,1.0,1,1.0,1.0,1,0.9444444444444444,0.0,0.0,0.8333333333333334,0.0,0.9444444444444444,0.4444444444444444
probe_country=KG|service_id=C-Root,23,23,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.391304347826087,0.0,0.0,1.0
probe_country=KH|service_id=C-Root,16,16,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.375
probe_country=KI|service_id=C-Root,13,13,3.0,3.0,3,1.0,1.0,1,1.0,1.0,0.0,0.5384615384615384,0.0,1.0,0.8461538461538461
probe_country=KN|service_id=C-Root,2,2,1.0,1.0,1,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=KR|service_id=C-Root,2,2,3.0,3.0,3,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=KY|service_id=C-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=KZ|service_id=C-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=LA|service_id=C-Root,10,10,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.4
probe_country=LC|service_id=C-Root,1,1,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=LK|service_id=C-Root,70,70,10.457142857142857,14.0,14,1.0,1.0,1,0.7571428571428571,0.7142857142857143,0.0,0.8285714285714286,0.014285714285714285,0.7142857142857143,0.18571428571428572
probe_country=LT|service_id=C-Root,3,3,1.3333333333333333,1.0,2,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0
probe_country=LV|service_id=C-Root,39,39,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,1.0
probe_country=ML|service_id=C-Root,4,4,1.75,1.0,4,1.0,1.0,1,0.75,0.0,0.0,0.5,0.0,0.5,0.5
probe_country=MM|service_id=C-Root,20,20,11.4,14.0,14,1.0,1.0,1,0.8,0.8,0.0,1.0,0.0,0.8,0.35
probe_country=MP|service_id=C-Root,2,2,5.0,5.0,5,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
probe_country=MT|service_id=C-Root,25,25,1.04,1.0,2,1.0,1.0,1,1.0,0.0,0.0,0.92,0.0,0.96,1.0
probe_country=MU|service_id=C-Root,35,35,12.142857142857142,14.0,14,1.0,1.0,1,0.9714285714285714,0.8571428571428571,0.0,0.8857142857142857,0.0,0.9714285714285714,0.2857142857142857
probe_country=MV|service_id=C-Root,108,108,7.62962962962963,2.0,14,1.0,1.0,1,0.8425925925925926,0.8333333333333334,0.0,0.8425925925925926,0.1111111111111111,0.8333333333333334,0.3888888888888889
probe_country=MX|service_id=C-Root,10,10,9.6,14.0,14,1.0,1.0,1,1.0,0.6,0.0,1.0,0.0,0.6,0.7
probe_country=MY|service_id=C-Root,160,160,12.95,14.0,14,1.0,1.0,1,1.0,0.91875,0.0,0.95625,0.0,0.95,0.33125
