metric,value
candidate_rows,17431.0
unique_links,4659.0
unique_units,73.0
units_with_network_layer_diversity,113.0
units_with_physical_diversity_cable,73.0
units_with_physical_diversity_corridor,73.0
units_with_network_physical_mismatch_cable,73.0
units_with_network_physical_mismatch_corridor,73.0
median_network_layer_diversity_score,4.244266350173869
median_cable_physical_candidate_diversity_score,2.0
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,8.0
cable_mismatch_network_high_physical_high,29.0
cable_mismatch_network_low_physical_low,29.0
cable_mismatch_network_low_physical_high,7.0
corridor_mismatch_network_high_physical_low,9.0
corridor_mismatch_network_high_physical_high,28.0
corridor_mismatch_network_low_physical_low,31.0
corridor_mismatch_network_low_physical_high,5.0
cable_corridor_target_quadrant_preserved,4.0
cable_corridor_target_quadrant_jaccard,0.3076923076923077
cable_corridor_target_quadrant_recall_from_cable,0.5
cable_corridor_target_quadrant_precision_to_corridor,0.4444444444444444
mean_corridor_minus_cable_physical_diversity,-1.2107399310555185
cable_corridor_quadrant_agreement_rate,0.7671232876712328
spearman_cable_corridor_physical_diversity_score,0.571574723233128
