probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AU,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,217,0.3824884792626728,0.5253456221198156,0.6497695852534562,8.718852934613516,broad_network_transition_distribution,0.423963133640553,0.6497695852534562,0.8064516129032258,4.485719986477511,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,51,21,0.7972350230414746,0.20276497695852536,probe_country_service
CA,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,56,0.35714285714285715,0.6071428571428572,0.7857142857142857,5.268310681758107,broad_network_transition_distribution,0.5714285714285714,0.9464285714285714,0.9821428571428571,2.4072379327663964,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,16,9,0.17857142857142858,0.8214285714285714,probe_country_service
EE,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,113,0.45132743362831856,0.6991150442477876,0.8672566371681416,4.109895294636193,weak_network_transition_concentration,0.48672566371681414,0.9380530973451326,1.0,2.415320608716292,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,27,16,0.0,1.0,probe_country_service
FI,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,329,0.5379939209726444,0.7416413373860182,0.8601823708206687,4.300755151469322,weak_network_transition_concentration,0.547112462006079,0.9483282674772036,0.9787234042553191,2.474024471379897,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,92,33,0.0425531914893617,0.9574468085106383,probe_country_service
HK,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,75,0.88,0.96,1.0,1.5578500403997986,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,40,23,0.0,1.0,probe_country_service
ID,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,79,0.16455696202531644,0.27848101265822783,0.35443037974683544,18.85852455280322,broad_network_transition_distribution,0.8227848101265823,0.8860759493670887,0.9367088607594938,2.070259738352759,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,36,28,0.5949367088607594,0.4050632911392405,probe_country_service
IN,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,115,0.30434782608695654,0.6000000000000001,0.7217391304347827,6.107958698418697,broad_network_transition_distribution,0.43478260869565216,0.8347826086956522,0.9478260869565217,3.0930637437199535,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,34,24,0.11304347826086956,0.8869565217391304,probe_country_service
IT,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,45,0.7777777777777778,0.9777777777777779,1.0,1.8256696656512974,moderate_network_transition_concentration,0.6444444444444445,1.0,1.0,1.9171085279079858,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,17,11,0.35555555555555557,0.6444444444444445,probe_country_service
LV,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,39,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,20,11,0.0,1.0,probe_country_service
NO,C-Root,5011,dns-root_c-root_msm5011_20260701T000000Z_010000Z.json,120,0.4,0.7416666666666667,0.8,4.950480567566808,weak_network_transition_concentration,0.4,0.6000000000000001,0.75,5.361463530981287,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,28,15,0.6,0.4,probe_country_service
