metric,value
candidate_rows,8052.0
unique_links,1588.0
unique_units,43.0
units_with_network_layer_diversity,81.0
units_with_physical_diversity_cable,43.0
units_with_physical_diversity_corridor,43.0
units_with_network_physical_mismatch_cable,43.0
units_with_network_physical_mismatch_corridor,43.0
median_network_layer_diversity_score,3.932351034299142
median_cable_physical_candidate_diversity_score,1.5071964069681565
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,9.0
cable_mismatch_network_high_physical_high,13.0
cable_mismatch_network_low_physical_low,13.0
cable_mismatch_network_low_physical_high,8.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,15.0
corridor_mismatch_network_low_physical_low,19.0
corridor_mismatch_network_low_physical_high,2.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.45454545454545453
cable_corridor_target_quadrant_recall_from_cable,0.5555555555555556
cable_corridor_target_quadrant_precision_to_corridor,0.7142857142857143
mean_corridor_minus_cable_physical_diversity,-1.1568374144901725
cable_corridor_quadrant_agreement_rate,0.6744186046511628
spearman_cable_corridor_physical_diversity_score,0.49230340966402675
