country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
BR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,59.0,3,landing_region_0174::landing_region_0370,0.9661016949152542,0.983050847457627,1.0,1.1871301566928694,severe_corridor_observation_concentration,True,True,True,True,auditable,,31,11,1,0.01694915254237288,0.9830508474576272,country_corridor_concentration_summary,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,46,46.0,2,landing_region_0351::landing_region_0512,0.9347826086956522,1.0,1.0,1.2726334204117744,severe_corridor_observation_concentration,True,True,True,True,auditable,,31,25,1,0.0,1.0,service_country_corridor_concentration_summary,RU,G-Root
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,30,30.0,2,landing_region_0051::landing_region_0512,0.9333333333333333,1.0,1.0,1.2775319170740629,severe_corridor_observation_concentration,True,True,True,True,auditable,,14,10,1,1.0,0.0,service_country_corridor_concentration_summary,SE,G-Root
SG,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,43,43.0,4,landing_region_0132::landing_region_0230,0.8604651162790697,0.9302325581395349,0.9767441860465116,1.725029999578594,severe_corridor_observation_concentration,True,True,True,True,auditable,,22,13,1,0.0,1.0,country_corridor_concentration_summary,,
EE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,59.0,2,landing_region_0351::landing_region_0640,0.7796610169491526,1.0,1.0,1.694413504964711,moderate_corridor_observation_concentration,True,True,True,True,auditable,,25,13,1,0.0,1.0,country_corridor_concentration_summary,,
ID,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,110,110.0,7,landing_region_0061::landing_region_0132,0.7636363636363637,0.8181818181818182,0.8727272727272728,2.5792668487159087,moderate_corridor_observation_concentration,True,True,True,True,auditable,,49,32,1,0.4636363636363636,0.5363636363636364,country_corridor_concentration_summary,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,124,124.0,3,landing_region_0132::landing_region_0260,0.6854838709677419,0.8951612903225806,1.0,2.2770039682207934,moderate_corridor_observation_concentration,True,True,True,True,auditable,,52,26,1,0.10483870967741936,0.8951612903225806,service_country_corridor_concentration_summary,IN,G-Root
IN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,159,159.0,3,landing_region_0132::landing_region_0260,0.6666666666666666,0.8616352201257862,1.0,2.3696301299345848,moderate_corridor_observation_concentration,True,True,True,True,auditable,,67,31,1,0.13836477987421383,0.8616352201257862,country_corridor_concentration_summary,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,51,51.0,3,landing_region_0351::landing_region_0640,0.6666666666666666,0.9215686274509803,1.0,2.2668223982962057,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18,10,1,0.0,1.0,service_country_corridor_concentration_summary,EE,G-Root
SE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,104,104.0,3,landing_region_0351::landing_region_0512,0.625,0.9807692307692308,1.0,2.090525801146882,moderate_corridor_observation_concentration,True,True,True,True,auditable,,44,32,1,0.375,0.625,country_corridor_concentration_summary,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,166,166.0,4,landing_region_0200::landing_region_0944,0.572289156626506,0.9759036144578314,0.9879518072289157,2.2079761993093174,moderate_corridor_observation_concentration,True,True,True,True,auditable,,42,14,1,0.012048192771084338,0.9879518072289156,service_country_corridor_concentration_summary,CA,G-Root
TW,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,147,147.0,5,landing_region_0230::landing_region_0719,0.54421768707483,0.8979591836734695,0.9387755102040817,2.835842863326676,moderate_corridor_observation_concentration,True,True,True,True,auditable,,48,15,1,0.41496598639455784,0.5850340136054422,country_corridor_concentration_summary,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,113,113.0,5,landing_region_0230::landing_region_0719,0.5398230088495575,0.9026548672566371,0.9380530973451326,2.81097060462185,moderate_corridor_observation_concentration,True,True,True,True,auditable,,37,14,1,0.4247787610619469,0.5752212389380531,service_country_corridor_concentration_summary,TW,G-Root
CA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,146,146.0,3,landing_region_0008::landing_region_0223,0.5205479452054794,0.9863013698630136,1.0,2.126562761524811,moderate_corridor_observation_concentration,True,True,True,True,auditable,,47,12,1,0.0,1.0,country_corridor_concentration_summary,,
ZA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,50,50.0,3,landing_region_0214::landing_region_0233,0.52,0.88,1.0,2.617626095195709,moderate_corridor_observation_concentration,True,True,True,True,auditable,,13,7,1,0.0,1.0,country_corridor_concentration_summary,,
