metric,value
candidate_rows,12422.0
unique_links,2631.0
unique_units,62.0
units_with_network_layer_diversity,92.0
units_with_physical_diversity_cable,62.0
units_with_physical_diversity_corridor,62.0
units_with_network_physical_mismatch_cable,62.0
units_with_network_physical_mismatch_corridor,62.0
median_network_layer_diversity_score,4.311679813634049
median_cable_physical_candidate_diversity_score,1.9762595941740346
median_corridor_physical_candidate_diversity_score,1.37252993700358
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,19.0
cable_mismatch_network_low_physical_low,19.0
cable_mismatch_network_low_physical_high,12.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,24.0
corridor_mismatch_network_low_physical_low,24.0
corridor_mismatch_network_low_physical_high,7.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.5833333333333334
cable_corridor_target_quadrant_recall_from_cable,0.5833333333333334
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-1.9490345021273772
cable_corridor_quadrant_agreement_rate,0.7741935483870968
spearman_cable_corridor_physical_diversity_score,0.7286240821390172
