probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AU,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,102,102.0,5,landing_region_0041::landing_region_0635,0.6764705882352942,0.8529411764705883,0.9313725490196079,2.704940999408435,moderate_corridor_observation_concentration,True,True,True,True,auditable,,36,22,1,0.9803921568627451,0.0196078431372549,probe_country_service
CA,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,85,85.0,4,landing_region_0008::landing_region_0223,0.8705882352941177,0.9647058823529412,0.9882352941176471,1.6218400400670165,severe_corridor_observation_concentration,True,True,True,True,auditable,,38,6,1,0.047058823529411764,0.9529411764705882,probe_country_service
EE,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,60,60.0,3,landing_region_0512::landing_region_0640,0.6,0.8666666666666667,1.0,2.5284774782180004,moderate_corridor_observation_concentration,True,True,True,True,auditable,,18,11,1,0.26666666666666666,0.7333333333333333,probe_country_service
FI,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,160,160.0,5,landing_region_0351::landing_region_0512,0.5,0.875,0.9375,3.013256475906394,moderate_corridor_observation_concentration,True,True,True,True,auditable,,40,14,1,0.4125,0.5875,probe_country_service
ID,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138,138.0,8,landing_region_0061::landing_region_0132,0.6159420289855072,0.7826086956521738,0.8405797101449275,3.6354586812913077,weak_corridor_observation_concentration,True,True,True,True,auditable,,42,31,1,0.5869565217391305,0.41304347826086957,probe_country_service
IN,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,124,124.0,5,landing_region_0337::landing_region_0663,0.5725806451612904,0.7822580645161291,0.9274193548387097,3.135148949270252,weak_corridor_observation_concentration,True,True,True,True,auditable,,48,21,1,0.14516129032258066,0.8548387096774194,probe_country_service
NO,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,83,83.0,8,landing_region_0335::landing_region_0562,0.25301204819277107,0.4939759036144578,0.6385542168674698,6.5307935462071125,broad_corridor_observation_distribution,False,False,True,True,auditable,,12,7,1,0.9759036144578314,0.024096385542168676,probe_country_service
NZ,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,182,182.0,7,landing_region_0041::landing_region_0089,0.5769230769230769,0.8351648351648351,0.9120879120879121,3.2817744760647796,moderate_corridor_observation_concentration,True,True,True,True,auditable,,59,17,1,0.3901098901098901,0.6098901098901099,probe_country_service
PH,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,71,71.0,7,landing_region_0230::landing_region_0250,0.4788732394366197,0.7605633802816901,0.8450704225352113,4.082865759207798,weak_corridor_observation_concentration,True,True,True,True,auditable,,18,11,1,0.14084507042253522,0.8591549295774648,probe_country_service
RU,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,64,64.0,3,landing_region_0051::landing_region_0512,0.90625,0.984375,1.0,1.4238568313358289,severe_corridor_observation_concentration,True,True,True,True,auditable,,30,24,1,0.90625,0.09375,probe_country_service
SE,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,179,179.0,2,landing_region_0051::landing_region_0512,0.9888268156424581,1.0,1.0,1.0632449305469844,severe_corridor_observation_concentration,True,True,True,True,auditable,,85,26,1,1.0,0.0,probe_country_service
SG,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,121,121.0,3,landing_region_0132::landing_region_0230,0.9669421487603306,0.9834710743801653,1.0,1.183090274547832,severe_corridor_observation_concentration,True,True,True,True,auditable,,63,25,1,0.03305785123966942,0.9669421487603306,probe_country_service
TH,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,35,35.0,2,landing_region_0132::landing_region_0230,0.9142857142857143,1.0,1.0,1.3397840824403713,severe_corridor_observation_concentration,True,True,True,True,auditable,,18,11,1,0.0,1.0,probe_country_service
TW,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,98,98.0,5,landing_region_0230::landing_region_0719,0.4387755102040816,0.8673469387755102,0.9285714285714285,3.044654568147684,moderate_corridor_observation_concentration,True,True,True,True,auditable,,25,7,1,0.5510204081632653,0.4489795918367347,probe_country_service
