probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AU,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,102,0.5490196078431373,0.6960784313725491,0.7549019607843138,5.561845255844143,broad_network_transition_distribution,0.6764705882352942,0.8529411764705883,0.9313725490196079,2.704940999408435,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,36,22,0.9803921568627451,0.0196078431372549,probe_country_service
CA,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,85,0.6352941176470588,0.7529411764705882,0.8470588235294118,3.548281749396073,weak_network_transition_concentration,0.8705882352941177,0.9647058823529412,0.9882352941176471,1.6218400400670165,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,38,6,0.047058823529411764,0.9529411764705882,probe_country_service
EE,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,60,0.5333333333333333,0.7333333333333334,0.8666666666666667,3.3017512394163653,weak_network_transition_concentration,0.6,0.8666666666666667,1.0,2.5284774782180004,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,18,11,0.26666666666666666,0.7333333333333333,probe_country_service
FI,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,160,0.5125,0.6749999999999999,0.75,5.340579728532298,broad_network_transition_distribution,0.5,0.875,0.9375,3.013256475906394,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,40,14,0.4125,0.5875,probe_country_service
ID,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,138,0.14492753623188406,0.2536231884057971,0.34057971014492755,22.912073221434355,broad_network_transition_distribution,0.6159420289855072,0.7826086956521738,0.8405797101449275,3.6354586812913077,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,42,31,0.5869565217391305,0.41304347826086957,probe_country_service
IN,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,124,0.46774193548387094,0.7741935483870968,0.9193548387096774,3.4993258459553047,weak_network_transition_concentration,0.5725806451612904,0.7822580645161291,0.9274193548387097,3.135148949270252,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,48,21,0.14516129032258066,0.8548387096774194,probe_country_service
NO,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,83,0.5301204819277109,0.6265060240963856,0.7228915662650603,5.045040520219088,broad_network_transition_distribution,0.25301204819277107,0.4939759036144578,0.6385542168674698,6.5307935462071125,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,12,7,0.9759036144578314,0.024096385542168676,probe_country_service
NZ,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,182,0.5494505494505495,0.7362637362637363,0.8021978021978022,4.617901378327846,weak_network_transition_concentration,0.5769230769230769,0.8351648351648351,0.9120879120879121,3.2817744760647796,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,59,17,0.3901098901098901,0.6098901098901099,probe_country_service
PH,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,71,0.36619718309859156,0.5070422535211268,0.619718309859155,8.540066356836583,broad_network_transition_distribution,0.4788732394366197,0.7605633802816901,0.8450704225352113,4.082865759207798,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,18,11,0.14084507042253522,0.8591549295774648,probe_country_service
RU,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,64,0.921875,1.0,1.0,1.3154330346667444,severe_network_transition_concentration,0.90625,0.984375,1.0,1.4238568313358289,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,30,24,0.90625,0.09375,probe_country_service
