probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AE,J-Root,dns_root,anycast,all_publicly_visible,40,25,5,0.125,0.125,0.075,0.025,0.05,0.05,5,0.125,0.625,20,14,1,1,0.0,True,True,auditable,,probe_country_service
AL,J-Root,dns_root,anycast,all_publicly_visible,46,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8260869565217391,23,14,1,1,0.0,True,True,auditable,,probe_country_service
AR,J-Root,dns_root,anycast,all_publicly_visible,100,72,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.72,50,38,1,1,0.0,True,True,auditable,,probe_country_service
AT,J-Root,dns_root,anycast,all_publicly_visible,413,346,2,0.004842615012106538,0.004842615012106538,0.0,0.0,0.0,0.004842615012106538,2,0.004842615012106538,0.837772397094431,206,81,1,1,0.0,True,True,auditable,,probe_country_service
AU,J-Root,dns_root,anycast,all_publicly_visible,480,441,415,0.8645833333333334,0.8645833333333334,0.31666666666666665,0.3125,0.00625,0.75625,415,0.8645833333333334,0.91875,241,71,1,1,0.0,True,True,auditable,,probe_country_service
BA,J-Root,dns_root,anycast,all_publicly_visible,30,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8,15,6,1,1,0.0,True,True,auditable,,probe_country_service
BE,J-Root,dns_root,anycast,all_publicly_visible,294,272,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9251700680272109,146,25,1,1,0.0,True,True,auditable,,probe_country_service
BG,J-Root,dns_root,anycast,all_publicly_visible,163,136,2,0.012269938650306749,0.012269938650306749,0.0,0.0,0.0,0.012269938650306749,2,0.012269938650306749,0.8343558282208589,82,50,1,1,0.0,True,True,auditable,,probe_country_service
BO,J-Root,dns_root,anycast,all_publicly_visible,36,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,18,9,1,1,0.0,True,True,auditable,,probe_country_service
BR,J-Root,dns_root,anycast,all_publicly_visible,173,108,1,0.005780346820809248,0.005780346820809248,0.005780346820809248,0.005780346820809248,0.0,0.0,1,0.005780346820809248,0.6242774566473989,87,58,1,1,0.0,True,True,auditable,,probe_country_service
BY,J-Root,dns_root,anycast,all_publicly_visible,46,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,23,14,1,1,0.0,True,True,auditable,,probe_country_service
CA,J-Root,dns_root,anycast,all_publicly_visible,539,495,114,0.21150278293135436,0.21150278293135436,0.14842300556586271,0.0074211502782931356,0.14100185528756956,0.17439703153988867,114,0.21150278293135436,0.9183673469387755,270,85,1,1,0.0,True,True,auditable,,probe_country_service
CH,J-Root,dns_root,anycast,all_publicly_visible,646,569,34,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,34,0.05263157894736842,0.8808049535603715,323,81,1,1,0.0,True,True,auditable,,probe_country_service
CL,J-Root,dns_root,anycast,all_publicly_visible,151,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.23841059602649006,76,33,1,1,0.0,True,True,auditable,,probe_country_service
CN,J-Root,dns_root,anycast,all_publicly_visible,100,84,16,0.16,0.16,0.08,0.04,0.04,0.16,16,0.16,0.84,50,23,1,1,0.02,True,True,auditable,,probe_country_service
CO,J-Root,dns_root,anycast,all_publicly_visible,62,60,7,0.11290322580645161,0.11290322580645161,0.11290322580645161,0.03225806451612903,0.08064516129032258,0.0,7,0.11290322580645161,0.967741935483871,31,22,1,1,0.0,True,True,auditable,,probe_country_service
CR,J-Root,dns_root,anycast,all_publicly_visible,32,18,2,0.0625,0.0625,0.0625,0.0625,0.0,0.0,2,0.0625,0.5625,16,8,1,1,0.0,True,True,auditable,,probe_country_service
CZ,J-Root,dns_root,anycast,all_publicly_visible,550,488,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8872727272727273,275,111,1,1,0.0,True,True,auditable,,probe_country_service
DE,J-Root,dns_root,anycast,all_publicly_visible,3185,3019,20,0.006279434850863423,0.006279434850863423,0.0,0.0,0.0,0.006279434850863423,20,0.006279434850863423,0.9478806907378335,1594,375,1,1,0.0,True,True,auditable,,probe_country_service
DK,J-Root,dns_root,anycast,all_publicly_visible,218,206,153,0.7018348623853211,0.7018348623853211,0.01834862385321101,0.01834862385321101,0.0045871559633027525,0.6834862385321101,153,0.7018348623853211,0.944954128440367,108,35,1,1,0.0,True,True,auditable,,probe_country_service
