probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AE,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,63,59,21,0.3333333333333333,0.3333333333333333,0.2698412698412698,0.15873015873015872,0.15873015873015872,0.1111111111111111,21,0.3333333333333333,0.9365079365079365,20,14,61,59,0.38095238095238093,True,True,auditable,,probe_country_service
AL,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,73,66,22,0.3013698630136986,0.3013698630136986,0.1917808219178082,0.0273972602739726,0.1643835616438356,0.1643835616438356,22,0.3013698630136986,0.9041095890410958,23,14,73,70,0.273972602739726,True,True,auditable,,probe_country_service
AM,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,44,44,9,0.20454545454545456,0.20454545454545456,0.11363636363636363,0.0,0.11363636363636363,0.1590909090909091,9,0.20454545454545456,1.0,14,7,44,42,0.5,True,True,auditable,,probe_country_service
AO,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,32,28,11,0.34375,0.34375,0.125,0.0,0.125,0.21875,11,0.34375,0.875,10,4,31,31,0.34375,True,True,auditable,,probe_country_service
AR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,165,157,34,0.20606060606060606,0.20606060606060606,0.09090909090909091,0.024242424242424242,0.07272727272727272,0.16363636363636364,34,0.20606060606060606,0.9515151515151515,52,40,163,153,0.3333333333333333,True,True,auditable,,probe_country_service
AR,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,55,55,18,0.32727272727272727,0.32727272727272727,0.14545454545454545,0.03636363636363636,0.10909090909090909,0.2545454545454545,18,0.32727272727272727,1.0,36,30,55,54,1.0,True,True,auditable,,probe_country_service
AT,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,657,640,107,0.1628614916286149,0.1628614916286149,0.0745814307458143,0.0136986301369863,0.0654490106544901,0.1187214611872146,107,0.1628614916286149,0.974124809741248,206,81,641,526,0.4322678843226788,True,True,auditable,,probe_country_service
AT,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,284,284,47,0.16549295774647887,0.16549295774647887,0.06690140845070422,0.007042253521126761,0.06338028169014084,0.13380281690140844,47,0.16549295774647887,1.0,172,73,279,236,1.0,True,True,auditable,,probe_country_service
AU,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,767,655,503,0.6558018252933507,0.6558018252933507,0.48239895697522817,0.3520208604954368,0.2255541069100391,0.516297262059974,503,0.6558018252933507,0.8539765319426337,240,71,747,594,0.3559322033898305,True,True,auditable,,probe_country_service
AU,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,resolved_entry_only,273,273,213,0.7802197802197802,0.7802197802197802,0.5604395604395604,0.4249084249084249,0.2783882783882784,0.608058608058608,213,0.7802197802197802,1.0,173,60,271,232,1.0,True,True,auditable,,probe_country_service
BA,Topology-IPv4-UDP,topology_baseline,dynamic_multi_target,all_publicly_visible,48,41,3,0.0625,0.0625,0.020833333333333332,0.0,0.020833333333333332,0.0625,3,0.0625,0.8541666666666666,15,6,46,46,0.4166666666666667,True,True,auditable,,probe_country_service
