probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AU,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,200,200.0,20,landing_region_0041::landing_region_0735,0.285,0.47,0.59,9.588948628925186,broad_corridor_observation_distribution,False,False,True,True,auditable,,39,26,1,0.68,0.32,probe_country_service
CA,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,67,67.0,15,landing_region_0008::landing_region_0223,0.5074626865671642,0.6268656716417911,0.7313432835820896,6.1162811884992765,broad_corridor_observation_distribution,False,False,True,True,auditable,,34,11,1,0.3283582089552239,0.6716417910447762,probe_country_service
CH,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,36,36.0,17,landing_region_0132::landing_region_0431,0.2777777777777778,0.3888888888888889,0.4444444444444444,12.432599620749873,broad_corridor_observation_distribution,False,False,True,True,auditable,,10,9,1,0.19444444444444445,0.8055555555555556,probe_country_service
DE,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,139,139.0,54,landing_region_0132::landing_region_0431,0.18705035971223022,0.26618705035971224,0.3237410071942446,31.25063316631982,broad_corridor_observation_distribution,False,False,True,True,auditable,,26,13,1,0.17985611510791366,0.8201438848920863,probe_country_service
ES,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,54,54.0,23,landing_region_0132::landing_region_0431,0.2037037037037037,0.38888888888888884,0.5,14.526150104141252,broad_corridor_observation_distribution,False,False,True,True,auditable,,11,8,1,0.05555555555555555,0.9444444444444444,probe_country_service
FI,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,134,134.0,17,landing_region_0351::landing_region_0512,0.48507462686567165,0.7611940298507462,0.8208955223880597,5.012802196561481,weak_corridor_observation_concentration,True,True,True,True,auditable,,64,31,1,0.22388059701492538,0.7761194029850746,probe_country_service
FR,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,111,111.0,38,landing_region_0132::landing_region_0431,0.1891891891891892,0.2972972972972973,0.3783783783783784,22.072235576227463,broad_corridor_observation_distribution,False,False,True,True,auditable,,21,8,1,0.14414414414414414,0.8558558558558559,probe_country_service
GB,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,57,57.0,30,landing_region_0132::landing_region_0431,0.19298245614035087,0.2982456140350877,0.3508771929824561,21.39426030858873,broad_corridor_observation_distribution,False,False,True,True,auditable,,11,7,1,0.15789473684210525,0.8421052631578947,probe_country_service
ID,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,69,69.0,20,landing_region_0061::landing_region_0132,0.5072463768115942,0.6231884057971014,0.6666666666666667,7.490818096574808,broad_corridor_observation_distribution,False,False,True,True,auditable,,32,26,1,0.43478260869565216,0.5652173913043478,probe_country_service
IN,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,48,48.0,14,landing_region_0132::landing_region_0663,0.2916666666666667,0.4375,0.5833333333333334,8.86473679693783,broad_corridor_observation_distribution,False,False,True,True,auditable,,14,7,1,0.125,0.875,probe_country_service
NO,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,43,43.0,17,landing_region_0335::landing_region_0562,0.3488372093023256,0.4418604651162791,0.5348837209302326,10.088662262661796,broad_corridor_observation_distribution,False,False,True,True,auditable,,12,7,1,0.7441860465116279,0.2558139534883721,probe_country_service
NZ,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,127,127.0,19,landing_region_0089::landing_region_0362,0.2125984251968504,0.40944881889763785,0.5905511811023623,9.733563532043206,broad_corridor_observation_distribution,False,False,True,True,auditable,,25,12,1,0.4881889763779528,0.5118110236220472,probe_country_service
PH,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,52,52.0,15,landing_region_0132::landing_region_0250,0.28846153846153844,0.5769230769230769,0.673076923076923,7.878471497862019,broad_corridor_observation_distribution,False,False,True,True,auditable,,15,10,1,0.1346153846153846,0.8653846153846154,probe_country_service
RU,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,108,108.0,26,landing_region_0051::landing_region_0512,0.5648148148148148,0.6666666666666666,0.7037037037037036,6.844721759783258,broad_corridor_observation_distribution,False,False,True,True,auditable,,60,49,1,0.39814814814814814,0.6018518518518519,probe_country_service
SE,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,83,83.0,17,landing_region_0051::landing_region_0512,0.6987951807228916,0.746987951807229,0.783132530120482,4.088159991179728,broad_corridor_observation_distribution,False,False,True,True,auditable,,55,26,1,0.6265060240963856,0.37349397590361444,probe_country_service
TW,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,81,81.0,12,landing_region_0719::landing_region_1011,0.49382716049382713,0.691358024691358,0.8024691358024691,5.197872744437219,weak_corridor_observation_concentration,True,True,True,True,auditable,,25,9,1,0.654320987654321,0.345679012345679,probe_country_service
US,Topology-IPv4-ICMP,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,164,164.0,63,landing_region_0051::landing_region_0512,0.17682926829268292,0.24390243902439024,0.29878048780487804,37.113304757890916,broad_corridor_observation_distribution,False,False,True,True,auditable,,27,15,1,0.36585365853658536,0.6341463414634146,probe_country_service
