probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AR,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,49,48,13,0.2653061224489796,0.2653061224489796,0.16326530612244897,0.02040816326530612,0.14285714285714285,0.20408163265306123,13,0.2653061224489796,0.9795918367346939,48,38,49,46,0.46938775510204084,True,True,auditable,,probe_country_service
AT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,210,203,41,0.19523809523809524,0.19523809523809524,0.1,0.03333333333333333,0.07142857142857142,0.1619047619047619,41,0.19523809523809524,0.9666666666666667,205,81,205,180,0.5619047619047619,True,True,auditable,,probe_country_service
AT,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,118,118,25,0.211864406779661,0.211864406779661,0.11864406779661017,0.05084745762711865,0.07627118644067797,0.1694915254237288,25,0.211864406779661,1.0,115,61,117,100,1.0,True,True,auditable,,probe_country_service
AU,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,246,221,163,0.6626016260162602,0.6626016260162602,0.4878048780487805,0.34552845528455284,0.23983739837398374,0.540650406504065,163,0.6626016260162602,0.8983739837398373,240,71,245,222,0.5203252032520326,True,True,auditable,,probe_country_service
AU,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,128,128,93,0.7265625,0.7265625,0.5390625,0.3671875,0.265625,0.5859375,93,0.7265625,1.0,126,48,128,118,1.0,True,True,auditable,,probe_country_service
BE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,152,148,19,0.125,0.125,0.05921052631578947,0.006578947368421052,0.05263157894736842,0.08552631578947369,19,0.125,0.9736842105263158,146,25,151,140,0.5592105263157895,True,True,auditable,,probe_country_service
BE,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,85,85,8,0.09411764705882353,0.09411764705882353,0.03529411764705882,0.011764705882352941,0.023529411764705882,0.07058823529411765,8,0.09411764705882353,1.0,84,19,85,79,1.0,True,True,auditable,,probe_country_service
BG,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,84,82,18,0.21428571428571427,0.21428571428571427,0.09523809523809523,0.023809523809523808,0.07142857142857142,0.17857142857142858,18,0.21428571428571427,0.9761904761904762,83,51,83,75,0.5595238095238095,True,True,auditable,,probe_country_service
BG,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,47,47,12,0.2553191489361702,0.2553191489361702,0.14893617021276595,0.0425531914893617,0.10638297872340426,0.19148936170212766,12,0.2553191489361702,1.0,47,32,46,42,1.0,True,True,auditable,,probe_country_service
BR,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,88,81,18,0.20454545454545456,0.20454545454545456,0.11363636363636363,0.022727272727272728,0.10227272727272728,0.125,18,0.20454545454545456,0.9204545454545454,87,58,84,78,0.5909090909090909,True,True,auditable,,probe_country_service
BR,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,52,52,10,0.19230769230769232,0.19230769230769232,0.09615384615384616,0.038461538461538464,0.07692307692307693,0.11538461538461539,10,0.19230769230769232,1.0,52,37,51,46,1.0,True,True,auditable,,probe_country_service
CA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,276,264,96,0.34782608695652173,0.34782608695652173,0.2210144927536232,0.07971014492753623,0.15942028985507245,0.2644927536231884,96,0.34782608695652173,0.9565217391304348,269,85,270,247,0.5797101449275363,True,True,auditable,,probe_country_service
CA,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,160,160,60,0.375,0.375,0.25,0.0875,0.175,0.28125,60,0.375,1.0,158,60,157,146,1.0,True,True,auditable,,probe_country_service
