country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
PT,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,86,86.0,1,landing_region_0239::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,52,16,1,0.0,1.0,country_corridor_concentration_summary,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,68,68.0,1,landing_region_0132::landing_region_0230,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,38,24,1,0.0,1.0,service_country_corridor_concentration_summary,HK,Wikipedia
MY,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,57,57.0,1,landing_region_0132::landing_region_0655,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,33,7,1,0.10526315789473684,0.8947368421052632,country_corridor_concentration_summary,,
HK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,178,178.0,2,landing_region_0132::landing_region_0230,0.9887640449438202,1.0,1.0,1.0635439817547865,severe_corridor_observation_concentration,True,True,True,True,auditable,,111,55,1,0.0,1.0,country_corridor_concentration_summary,,
ES,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,112,112.0,2,landing_region_0126::landing_region_0431,0.9821428571428571,1.0,1.0,1.0937126687378802,severe_corridor_observation_concentration,True,True,True,True,auditable,,58,22,1,0.017857142857142856,0.9821428571428571,country_corridor_concentration_summary,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,99,99.0,2,landing_region_0126::landing_region_0431,0.9797979797979798,1.0,1.0,1.1038723342398742,severe_corridor_observation_concentration,True,True,True,True,auditable,,50,16,1,0.020202020202020204,0.9797979797979798,service_country_corridor_concentration_summary,ES,Wikipedia
CA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,105,105.0,2,landing_region_0008::landing_region_0223,0.8857142857142857,1.0,1.0,1.426726838059324,severe_corridor_observation_concentration,True,True,True,True,auditable,,48,12,1,0.0,1.0,country_corridor_concentration_summary,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,75,75.0,2,landing_region_0239::landing_region_0431,0.88,1.0,1.0,1.4432896557346915,severe_corridor_observation_concentration,True,True,True,True,auditable,,41,10,1,0.0,1.0,service_country_corridor_concentration_summary,PT,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,107,107.0,3,landing_region_0008::landing_region_0223,0.8691588785046729,0.9813084112149533,1.0,1.555259792195951,severe_corridor_observation_concentration,True,True,True,True,auditable,,48,13,1,0.11214953271028037,0.8878504672897196,service_country_corridor_concentration_summary,CA,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,55,55.0,3,landing_region_0051::landing_region_0512,0.8545454545454545,0.9636363636363636,1.0,1.6430216752828424,severe_corridor_observation_concentration,True,True,True,True,auditable,,24,12,1,0.8,0.2,service_country_corridor_concentration_summary,SE,Wikipedia
