country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,68,0.36764705882352944,0.6029411764705883,0.7205882352941176,5.387938934156201,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,38,24,0.0,1.0,service_country_cross_layer_distribution_audit,HK,Wikipedia
PT,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,86,0.5813953488372093,0.6627906976744187,0.7441860465116279,4.294850968594012,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,52,16,0.0,1.0,country_cross_layer_distribution_audit,,
HK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,178,0.2808988764044944,0.4775280898876405,0.6067415730337079,8.830257561425045,broad_network_transition_distribution,0.9887640449438202,1.0,1.0,1.0635439817547865,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,111,55,0.0,1.0,country_cross_layer_distribution_audit,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,99,0.41414141414141414,0.797979797979798,0.9191919191919191,3.6317513501482503,weak_network_transition_concentration,0.9797979797979798,1.0,1.0,1.1038723342398742,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,50,16,0.020202020202020204,0.9797979797979798,service_country_cross_layer_distribution_audit,ES,Wikipedia
CA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,105,0.5523809523809524,0.6857142857142857,0.780952380952381,4.430706229641972,broad_network_transition_distribution,0.8857142857142857,1.0,1.0,1.426726838059324,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,48,12,0.0,1.0,country_cross_layer_distribution_audit,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,75,0.6133333333333333,0.7333333333333333,0.8133333333333332,3.73813580919308,weak_network_transition_concentration,0.88,1.0,1.0,1.4432896557346915,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,41,10,0.0,1.0,service_country_cross_layer_distribution_audit,PT,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,107,0.5046728971962616,0.5981308411214953,0.6915887850467289,5.562922422707387,broad_network_transition_distribution,0.8691588785046729,0.9813084112149533,1.0,1.555259792195951,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,48,13,0.11214953271028037,0.8878504672897196,service_country_cross_layer_distribution_audit,CA,Wikipedia
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,55,0.23636363636363636,0.45454545454545453,0.5636363636363636,7.197356078470466,broad_network_transition_distribution,0.8545454545454545,0.9636363636363636,1.0,1.6430216752828424,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,24,12,0.8,0.2,service_country_cross_layer_distribution_audit,SE,Wikipedia
PH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,99,0.2727272727272727,0.4242424242424242,0.5454545454545454,10.835164456908519,broad_network_transition_distribution,0.7777777777777778,0.8787878787878788,0.9393939393939394,2.3011747793866895,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,44,25,0.1414141414141414,0.8585858585858586,country_cross_layer_distribution_audit,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,87,0.39080459770114945,0.7241379310344828,0.7931034482758621,5.0968712487441525,broad_network_transition_distribution,0.7586206896551724,0.9540229885057471,1.0,1.9546189745289413,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,32,8,0.2413793103448276,0.7586206896551724,service_country_cross_layer_distribution_audit,FI,Wikipedia
