probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AU,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,350,0.5142857142857142,0.6428571428571428,0.7542857142857142,5.80146316078787,broad_network_transition_distribution,0.4657142857142857,0.6685714285714286,0.8457142857142856,3.8871130017525486,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,59,19,0.82,0.18,probe_country_service
CA,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,107,0.5046728971962616,0.5981308411214953,0.6915887850467289,5.562922422707387,broad_network_transition_distribution,0.8691588785046729,0.9813084112149533,1.0,1.555259792195951,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,48,13,0.11214953271028037,0.8878504672897196,probe_country_service
EE,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,36,0.3055555555555556,0.5833333333333334,0.8333333333333334,4.3877367765040525,weak_network_transition_concentration,0.75,1.0,1.0,1.7547653506033232,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,13,10,0.0,1.0,probe_country_service
ES,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,99,0.41414141414141414,0.797979797979798,0.9191919191919191,3.6317513501482503,weak_network_transition_concentration,0.9797979797979798,1.0,1.0,1.1038723342398742,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,50,16,0.020202020202020204,0.9797979797979798,probe_country_service
FI,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,87,0.39080459770114945,0.7241379310344828,0.7931034482758621,5.0968712487441525,broad_network_transition_distribution,0.7586206896551724,0.9540229885057471,1.0,1.9546189745289413,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,32,8,0.2413793103448276,0.7586206896551724,probe_country_service
HK,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,68,0.36764705882352944,0.6029411764705883,0.7205882352941176,5.387938934156201,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,38,24,0.0,1.0,probe_country_service
ID,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,90,0.15555555555555556,0.25555555555555554,0.34444444444444444,20.61796597354791,broad_network_transition_distribution,0.7555555555555555,0.8222222222222222,0.8777777777777778,2.6480758969090568,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,35,31,0.7,0.3,probe_country_service
IN,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,123,0.2926829268292683,0.5691056910569106,0.7479674796747967,5.743630020902875,broad_network_transition_distribution,0.7317073170731707,0.9186991869918699,1.0,2.1088161580932896,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,52,28,0.08130081300813008,0.9186991869918699,probe_country_service
NO,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,78,0.5256410256410257,0.6538461538461539,0.7307692307692308,5.0221599578618665,broad_network_transition_distribution,0.358974358974359,0.5897435897435898,0.7307692307692308,5.746463479867024,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,12,7,0.9615384615384616,0.038461538461538464,probe_country_service
NZ,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,331,0.552870090634441,0.7099697885196374,0.7764350453172205,5.436841850450185,broad_network_transition_distribution,0.3685800604229607,0.5679758308157099,0.7190332326283988,5.950266962664161,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,35,9,0.6465256797583081,0.35347432024169184,probe_country_service
PH,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,94,0.24468085106382978,0.4042553191489362,0.5106382978723404,12.340674987290795,broad_network_transition_distribution,0.7340425531914894,0.8404255319148937,0.9042553191489362,2.7091946541134724,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,40,23,0.14893617021276595,0.851063829787234,probe_country_service
PT,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,75,0.6133333333333333,0.7333333333333333,0.8133333333333332,3.73813580919308,weak_network_transition_concentration,0.88,1.0,1.0,1.4432896557346915,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,41,10,0.0,1.0,probe_country_service
SE,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,55,0.23636363636363636,0.45454545454545453,0.5636363636363636,7.197356078470466,broad_network_transition_distribution,0.8545454545454545,0.9636363636363636,1.0,1.6430216752828424,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,24,12,0.8,0.2,probe_country_service
TW,Wikipedia,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,188,0.13829787234042554,0.26595744680851063,0.3882978723404255,14.365518110362423,broad_network_transition_distribution,0.32978723404255317,0.5904255319148937,0.8404255319148937,4.53869112988286,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,35,15,0.32978723404255317,0.6702127659574468,probe_country_service
