probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AD,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0126::landing_region_0431,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,0.0,1.0,probe_country_service
AE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6,6.0,3,landing_region_0230::landing_region_0230,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AL,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0041::landing_region_0635,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0230::landing_region_0230,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AT,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,1488,1488.0,13,landing_region_0041::landing_region_0041,0.4845430107526882,0.6592741935483871,0.747983870967742,5.33031564582997,broad_corridor_observation_distribution,False,False,True,True,auditable,,128,52,1,0.8682795698924731,0.13172043010752688,probe_country_service
AX,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8,8.0,3,landing_region_0415::landing_region_0415,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.75,0.25,probe_country_service
BB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
BD,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,13,13.0,5,landing_region_0132::landing_region_0132,0.38461538461538464,0.6153846153846154,0.7692307692307693,4.389137802382906,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.7692307692307693,0.23076923076923078,probe_country_service
BG,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0041::landing_region_0041,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
