probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,24,24.0,4,landing_region_0132::landing_region_0132,0.5833333333333334,0.8333333333333334,0.9166666666666667,2.930401147318948,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.8333333333333334,0.16666666666666666,probe_country_service
AT,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AU,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,386,386.0,3,landing_region_0041::landing_region_0041,0.9870466321243523,0.9948186528497409,1.0,1.081000917286014,severe_corridor_observation_concentration,True,True,True,True,auditable,,76,43,1,1.0,0.0,probe_country_service
AX,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0415::landing_region_0415,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333,probe_country_service
BB,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
BH,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0035::landing_region_0035,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0,probe_country_service
BJ,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,20,20.0,3,landing_region_0239::landing_region_0239,0.6,0.8999999999999999,1.0,2.454555595891148,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.6,0.4,probe_country_service
CA,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,361,361.0,6,landing_region_0008::landing_region_0008,0.8836565096952909,0.9556786703601108,0.9722991689750693,1.6364577309206279,severe_corridor_observation_concentration,True,True,True,True,auditable,,57,16,1,0.9667590027700831,0.0332409972299169,probe_country_service
CD,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0054::landing_region_0650,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
CH,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,71,71.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,22,12,1,1.0,0.0,probe_country_service
CK,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0041::landing_region_0041,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
CN,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,35,35.0,3,landing_region_0230::landing_region_0230,0.6285714285714286,0.8571428571428571,1.0,2.477342629233901,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,5,1,1.0,0.0,probe_country_service
CR,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0465,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
CV,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,18,18.0,3,landing_region_0239::landing_region_0239,0.5555555555555556,0.8888888888888888,1.0,2.552027924280892,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.8888888888888888,0.1111111111111111,probe_country_service
CW,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
DE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,35,35.0,3,landing_region_0376::landing_region_0376,0.8285714285714286,0.942857142857143,1.0,1.76343020722236,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,4,1,1.0,0.0,probe_country_service
DJ,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0054::landing_region_0650,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
DK,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,618,618.0,5,landing_region_0051::landing_region_0051,0.9077669902912622,0.953074433656958,0.9919093851132686,1.4876694222704492,severe_corridor_observation_concentration,True,True,True,True,auditable,,95,28,1,0.9401294498381877,0.059870550161812294,probe_country_service
DO,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0174::landing_region_0213,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
EE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,12,12.0,1,landing_region_0512::landing_region_0640,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1,0.0,1.0,probe_country_service
ES,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,28,28.0,6,landing_region_0239::landing_region_0239,0.5357142857142857,0.7857142857142857,0.8571428571428571,3.6767624307436404,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,1,0.9642857142857143,0.03571428571428571,probe_country_service
FI,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,19,19.0,2,landing_region_0351::landing_region_0420,0.7368421052631579,1.0,1.0,1.779503028335461,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,1.0,0.0,probe_country_service
FJ,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0041::landing_region_0041,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
FM,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_0014::landing_region_0014,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0,probe_country_service
GB,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0230::landing_region_0230,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
GG,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0077::landing_region_0077,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
GH,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0006::landing_region_0556,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,probe_country_service
GP,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0105::landing_region_0106,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
GQ,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0131::landing_region_0606,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
GU,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,29,29.0,5,landing_region_0014::landing_region_0014,0.8275862068965517,0.896551724137931,0.9310344827586207,1.992477942552942,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,3,1,0.9655172413793104,0.034482758620689655,probe_country_service
HK,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,199,199.0,2,landing_region_0230::landing_region_0230,0.9396984924623115,1.0,1.0,1.2558295201727308,severe_corridor_observation_concentration,True,True,True,True,auditable,,38,25,1,0.9949748743718593,0.005025125628140704,probe_country_service
ID,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,328,328.0,8,landing_region_0061::landing_region_0061,0.8689024390243902,0.9390243902439024,0.9634146341463414,1.773452744357358,severe_corridor_observation_concentration,True,True,True,True,auditable,,65,47,1,0.9908536585365854,0.009146341463414634,probe_country_service
IL,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,117,117.0,1,landing_region_0083::landing_region_0083,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,23,10,1,1.0,0.0,probe_country_service
IM,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_0334::landing_region_0334,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,1.0,0.0,probe_country_service
IN,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0260::landing_region_0663,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,1.0,0.0,probe_country_service
IT,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0364::landing_region_0460,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
JP,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0019::landing_region_0019,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
KE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0054::landing_region_0650,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
KH,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0132::landing_region_0132,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
KI,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_0041::landing_region_0041,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0,probe_country_service
KN,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0105::landing_region_0105,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
KY,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0412,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
LA,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0132::landing_region_0132,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
LC,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0105::landing_region_0246,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
LK,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_0132::landing_region_0132,0.7,1.0,1.0,1.8420227750373133,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.7,0.3,probe_country_service
ML,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,11,11.0,2,landing_region_0239::landing_region_0239,0.9090909090909091,1.0,1.0,1.3561314133862727,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.9090909090909091,0.09090909090909091,probe_country_service
MM,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,21,21.0,2,landing_region_0132::landing_region_0132,0.8571428571428571,1.0,1.0,1.5069930657725377,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.8571428571428571,0.14285714285714285,probe_country_service
MP,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0014::landing_region_0824,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
MT,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,34,34.0,2,landing_region_0102::landing_region_0102,0.9411764705882353,1.0,1.0,1.2507183622782252,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",8,2,1,0.9411764705882353,0.058823529411764705,probe_country_service
MV,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,60,60.0,4,landing_region_0439::landing_region_0439,0.8666666666666667,0.9333333333333333,0.9666666666666667,1.7011489969890363,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,3,1,0.9333333333333333,0.06666666666666667,probe_country_service
MX,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0061::landing_region_0061,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
MY,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,22,22.0,1,landing_region_0132::landing_region_0132,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.9090909090909091,0.09090909090909091,probe_country_service
NA,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,1049,1049.0,52,landing_region_0132::landing_region_0132,0.18970448045757865,0.3247537337146489,0.43342866221798537,17.092957319211724,broad_corridor_observation_distribution,False,False,False,False,insufficient_minimum_unique_probe_asns,minimum_unique_probe_asns,42,1,1,0.9399428026692087,0.06005719733079123,probe_country_service
NC,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,20,20.0,1,landing_region_0652::landing_region_0652,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,1.0,0.0,probe_country_service
NL,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
NO,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,401,401.0,14,landing_region_0335::landing_region_0335,0.8042394014962594,0.8678304239401496,0.8952618453865338,2.491804943250277,severe_corridor_observation_concentration,True,True,True,True,auditable,,68,25,1,0.9975062344139651,0.0024937655860349127,probe_country_service
NZ,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,412,412.0,4,landing_region_0089::landing_region_0089,0.7718446601941747,0.9781553398058253,0.9951456310679612,1.8600846276768712,moderate_corridor_observation_concentration,True,True,True,True,auditable,,55,26,1,1.0,0.0,probe_country_service
PA,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0174::landing_region_0465,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.6666666666666666,0.3333333333333333,probe_country_service
PE,F-Root,5004,dns-root_f-root_msm5004_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0591::landing_region_0770,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,probe_country_service
