probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,F-Root,dns_root,anycast,6,0,0,0.0,0.0,3,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,F-Root,dns_root,anycast,40,30,12,0.3,0.75,20,14,1,1,0.05,True,True,auditable,,probe_country_service
AF,F-Root,dns_root,anycast,11,5,0,0.0,0.45454545454545453,6,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,F-Root,dns_root,anycast,46,38,0,0.0,0.8260869565217391,23,14,1,1,0.0,True,True,auditable,,probe_country_service
AM,F-Root,dns_root,anycast,28,28,0,0.0,1.0,14,7,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,F-Root,dns_root,anycast,20,20,0,0.0,1.0,10,4,1,1,0.2,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,F-Root,dns_root,anycast,102,88,0,0.0,0.8627450980392157,51,39,1,1,0.0,True,True,auditable,,probe_country_service
AT,F-Root,dns_root,anycast,410,404,2,0.004878048780487805,0.9853658536585366,206,81,1,1,0.014634146341463415,True,True,auditable,,probe_country_service
AU,F-Root,dns_root,anycast,479,338,150,0.31315240083507306,0.7056367432150313,240,71,1,1,0.0041753653444676405,True,True,auditable,,probe_country_service
AX,F-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,F-Root,dns_root,anycast,18,11,0,0.0,0.6111111111111112,9,8,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,F-Root,dns_root,anycast,30,27,0,0.0,0.9,15,6,1,1,0.13333333333333333,True,True,auditable,,probe_country_service
BB,F-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BD,F-Root,dns_root,anycast,18,7,0,0.0,0.3888888888888889,9,6,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BE,F-Root,dns_root,anycast,294,290,0,0.0,0.9863945578231292,146,25,1,1,0.006802721088435374,True,True,auditable,,probe_country_service
BF,F-Root,dns_root,anycast,9,7,0,0.0,0.7777777777777778,5,4,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
