unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=I-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=AF|service_id=I-Root,16,16,6.0,2.0,14,1.0,1.0,1,0.375,0.375,0.0,0.75,0.0,0.5,0.625
probe_country=AT|service_id=I-Root,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=I-Root,704,704,3.758522727272727,3.0,14,1.0,1.0,1,0.17045454545454544,0.7883522727272727,0.0,0.7272727272727273,0.03125,0.9602272727272727,0.7428977272727273
probe_country=AX|service_id=I-Root,6,6,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
probe_country=BB|service_id=I-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=BD|service_id=I-Root,23,23,10.347826086956522,12.0,14,1.0,1.0,1,0.7391304347826086,0.7391304347826086,0.0,1.0,0.0,0.7391304347826086,0.9130434782608695
probe_country=BE|service_id=I-Root,4,4,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=BG|service_id=I-Root,2,2,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=BH|service_id=I-Root,2,2,4.0,4.0,4,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0
probe_country=BR|service_id=I-Root,13,13,3.3076923076923075,4.0,4,1.0,1.0,1,0.7692307692307693,0.7692307692307693,0.0,0.6923076923076923,0.0,1.0,0.6923076923076923
probe_country=CA|service_id=I-Root,166,166,2.1265060240963853,2.0,3,1.0,1.0,1,0.0,0.7349397590361446,0.0,0.7590361445783133,0.0,0.9156626506024096,0.8493975903614458
