metric,value
candidate_rows,15265.0
unique_links,2835.0
unique_units,86.0
units_with_network_layer_diversity,118.0
units_with_physical_diversity_cable,86.0
units_with_physical_diversity_corridor,86.0
units_with_network_physical_mismatch_cable,86.0
units_with_network_physical_mismatch_corridor,86.0
median_network_layer_diversity_score,4.6952241098851895
median_cable_physical_candidate_diversity_score,3.6742665844537834
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,15.0
cable_mismatch_network_high_physical_high,28.0
cable_mismatch_network_low_physical_low,28.0
cable_mismatch_network_low_physical_high,15.0
corridor_mismatch_network_high_physical_low,10.0
corridor_mismatch_network_high_physical_high,33.0
corridor_mismatch_network_low_physical_low,34.0
corridor_mismatch_network_low_physical_high,9.0
cable_corridor_target_quadrant_preserved,9.0
cable_corridor_target_quadrant_jaccard,0.5625
cable_corridor_target_quadrant_recall_from_cable,0.6
cable_corridor_target_quadrant_precision_to_corridor,0.9
mean_corridor_minus_cable_physical_diversity,-2.5270944301837472
cable_corridor_quadrant_agreement_rate,0.7325581395348837
spearman_cable_corridor_physical_diversity_score,0.53891147511763
