probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,M-Root,dns_root,anycast,6,6,6,1.0,1.0,3,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,M-Root,dns_root,anycast,40,40,26,0.65,1.0,20,14,1,1,1.0,True,True,auditable,,probe_country_service
AF,M-Root,dns_root,anycast,12,12,4,0.3333333333333333,1.0,6,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,M-Root,dns_root,anycast,46,42,14,0.30434782608695654,0.9130434782608695,23,14,1,1,0.8695652173913043,True,True,auditable,,probe_country_service
AM,M-Root,dns_root,anycast,28,28,0,0.0,1.0,14,7,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,M-Root,dns_root,anycast,20,20,2,0.1,1.0,10,4,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,M-Root,dns_root,anycast,101,97,0,0.0,0.9603960396039604,51,39,1,1,0.9603960396039604,True,True,auditable,,probe_country_service
AT,M-Root,dns_root,anycast,410,402,2,0.004878048780487805,0.9804878048780488,206,81,1,1,0.9609756097560975,True,True,auditable,,probe_country_service
AU,M-Root,dns_root,anycast,480,437,221,0.46041666666666664,0.9104166666666667,240,71,1,1,0.9104166666666667,True,True,auditable,,probe_country_service
AX,M-Root,dns_root,anycast,4,4,4,1.0,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,M-Root,dns_root,anycast,18,14,0,0.0,0.7777777777777778,9,8,1,1,0.7777777777777778,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,M-Root,dns_root,anycast,30,28,0,0.0,0.9333333333333333,15,6,1,1,0.9333333333333333,True,True,auditable,,probe_country_service
BB,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BD,M-Root,dns_root,anycast,18,18,0,0.0,1.0,9,6,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BE,M-Root,dns_root,anycast,293,289,22,0.07508532423208192,0.9863481228668942,146,25,1,1,0.9863481228668942,True,True,auditable,,probe_country_service
BF,M-Root,dns_root,anycast,9,7,0,0.0,0.7777777777777778,5,4,1,1,0.7777777777777778,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BG,M-Root,dns_root,anycast,166,164,2,0.012048192771084338,0.9879518072289156,83,51,1,1,0.9759036144578314,True,True,auditable,,probe_country_service
BH,M-Root,dns_root,anycast,10,10,5,0.5,1.0,5,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BI,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BJ,M-Root,dns_root,anycast,14,14,10,0.7142857142857143,1.0,7,4,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BL,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BO,M-Root,dns_root,anycast,36,36,0,0.0,1.0,18,9,1,1,1.0,True,True,auditable,,probe_country_service
BR,M-Root,dns_root,anycast,173,157,0,0.0,0.9075144508670521,87,58,1,1,0.838150289017341,True,True,auditable,,probe_country_service
BT,M-Root,dns_root,anycast,4,2,2,0.5,0.5,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BW,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BY,M-Root,dns_root,anycast,46,46,0,0.0,1.0,23,14,1,1,1.0,True,True,auditable,,probe_country_service
BZ,M-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CA,M-Root,dns_root,anycast,538,517,139,0.258364312267658,0.9609665427509294,270,84,1,1,0.9535315985130112,True,True,auditable,,probe_country_service
CD,M-Root,dns_root,anycast,6,6,4,0.6666666666666666,1.0,3,3,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
CG,M-Root,dns_root,anycast,4,4,0,0.0,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CH,M-Root,dns_root,anycast,643,617,34,0.05287713841368585,0.9595645412130638,322,81,1,1,0.9471228615863142,True,True,auditable,,probe_country_service
CI,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CK,M-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CL,M-Root,dns_root,anycast,154,154,1,0.006493506493506494,1.0,76,33,1,1,0.987012987012987,True,True,auditable,,probe_country_service
CM,M-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CN,M-Root,dns_root,anycast,100,94,20,0.2,0.94,50,23,1,1,0.93,True,True,auditable,,probe_country_service
CO,M-Root,dns_root,anycast,62,60,8,0.12903225806451613,0.967741935483871,31,22,1,1,0.9354838709677419,True,True,auditable,,probe_country_service
CR,M-Root,dns_root,anycast,32,26,0,0.0,0.8125,16,8,1,1,0.8125,True,True,auditable,,probe_country_service
CU,M-Root,dns_root,anycast,2,2,1,0.5,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CV,M-Root,dns_root,anycast,8,8,2,0.25,1.0,4,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CW,M-Root,dns_root,anycast,4,4,0,0.0,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
CY,M-Root,dns_root,anycast,26,24,6,0.23076923076923078,0.9230769230769231,13,6,1,1,0.9230769230769231,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
CZ,M-Root,dns_root,anycast,548,540,6,0.010948905109489052,0.9854014598540146,275,111,1,1,0.9781021897810219,True,True,auditable,,probe_country_service
DE,M-Root,dns_root,anycast,3176,3099,82,0.025818639798488665,0.9757556675062973,1591,376,1,1,0.9719773299748111,True,True,auditable,,probe_country_service
DJ,M-Root,dns_root,anycast,6,6,4,0.6666666666666666,1.0,3,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
DK,M-Root,dns_root,anycast,216,206,177,0.8194444444444444,0.9537037037037037,108,35,1,1,0.9490740740740741,True,True,auditable,,probe_country_service
DO,M-Root,dns_root,anycast,18,18,10,0.5555555555555556,1.0,9,7,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
