country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
CH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,70,0.6285714285714286,0.7285714285714285,0.7571428571428571,4.46841114340981,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,16,11,1.0,0.0,country_cross_layer_distribution_audit,,
CA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,320,0.221875,0.4125,0.553125,10.059975210191634,broad_network_transition_distribution,0.9875,0.99375,1.0,1.078812846250242,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,53,10,0.721875,0.278125,country_cross_layer_distribution_audit,,
PT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,200,0.48,0.57,0.65,7.74978898196279,broad_network_transition_distribution,0.96,0.98,1.0,1.2161255601997387,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,54,15,0.98,0.02,country_cross_layer_distribution_audit,,
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,549,0.23497267759562843,0.41530054644808745,0.5027322404371585,25.468585014027415,broad_network_transition_distribution,0.9544626593806922,0.9690346083788707,0.9799635701275046,1.2913013307802388,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,86,52,0.9927140255009107,0.007285974499089253,country_cross_layer_distribution_audit,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,185,0.5081081081081081,0.6054054054054054,0.6810810810810811,6.8331598916121115,broad_network_transition_distribution,0.9459459459459459,0.9783783783783784,1.0,1.2797470245310942,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,48,13,1.0,0.0,service_country_cross_layer_distribution_audit,PT,L-Root
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1732,0.20150115473441108,0.3799076212471132,0.46882217090069284,26.259124092933334,broad_network_transition_distribution,0.930715935334873,0.9913394919168591,0.9953810623556582,1.3325209698171634,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,512,204,0.930715935334873,0.06928406466512702,country_cross_layer_distribution_audit,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,475,0.2336842105263158,0.40210526315789474,0.4842105263157895,26.332956034690003,broad_network_transition_distribution,0.9157894736842105,0.9326315789473684,0.9494736842105262,1.5965698738313256,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,70,50,0.9873684210526316,0.01263157894736842,service_country_cross_layer_distribution_audit,ID,L-Root
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,263,0.19391634980988592,0.38783269961977185,0.5437262357414449,12.186731509125764,broad_network_transition_distribution,0.9049429657794676,0.9657794676806083,0.9771863117870722,1.5265978581365043,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,43,9,0.7186311787072244,0.2813688212927757,service_country_cross_layer_distribution_audit,CA,L-Root
IL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,75,0.3333333333333333,0.6533333333333333,0.7733333333333333,5.521878282098021,broad_network_transition_distribution,0.88,1.0,1.0,1.4432896557346915,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,19,9,0.88,0.12,country_cross_layer_distribution_audit,,
,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,66,0.5151515151515151,0.6363636363636364,0.7121212121212122,6.110594083905397,broad_network_transition_distribution,0.8787878787878788,1.0,1.0,1.4467694736375643,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,9,1.0,0.0,service_country_cross_layer_distribution_audit,CH,L-Root
TW,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,487,0.22792607802874743,0.4086242299794661,0.5790554414784395,12.56066194657883,broad_network_transition_distribution,0.8418891170431212,0.9425051334702259,0.9733059548254621,1.8386662645188163,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,67,22,0.9589322381930184,0.04106776180698152,country_cross_layer_distribution_audit,,
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1032,0.4883720930232558,0.5949612403100775,0.6937984496124031,8.625885725943487,broad_network_transition_distribution,0.810077519379845,0.9069767441860466,0.9583333333333334,2.037242550658333,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,286,126,0.9903100775193798,0.009689922480620155,country_cross_layer_distribution_audit,,
DK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,480,0.15416666666666667,0.275,0.37916666666666665,23.902518708063713,broad_network_transition_distribution,0.8,0.9125000000000001,0.9916666666666667,1.9444581120165008,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,100,38,0.7083333333333334,0.2916666666666667,country_cross_layer_distribution_audit,,
NO,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,313,0.17252396166134185,0.3003194888178914,0.4121405750798722,19.566739944264942,broad_network_transition_distribution,0.7859424920127795,0.8722044728434505,0.9105431309904153,2.439961976226886,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,65,29,1.0,0.0,country_cross_layer_distribution_audit,,
