probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AD,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,0.0,1.0,probe_country_service
AE,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,60,0.4,0.5666666666666667,0.7,5.3489321844823845,broad_network_transition_distribution,0.7833333333333333,0.85,0.9166666666666666,2.333446939041399,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14,10,0.9,0.1,probe_country_service
AF,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.0,1.0,probe_country_service
AL,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,11,0.7272727272727273,0.9090909090909092,1.0,2.137308637435014,moderate_network_transition_concentration,0.9090909090909091,1.0,1.0,1.3561314133862727,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,0.09090909090909091,0.9090909090909091,probe_country_service
AT,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,2,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,probe_country_service
AU,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,605,0.20991735537190082,0.33884297520661155,0.4049586776859504,25.855602085890627,broad_network_transition_distribution,0.512396694214876,0.656198347107438,0.7900826446280991,4.7713469930623384,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,94,45,0.824793388429752,0.17520661157024794,probe_country_service
AX,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333,probe_country_service
BD,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,23,0.34782608695652173,0.5217391304347826,0.6956521739130435,5.291894274239634,broad_network_transition_distribution,0.2608695652173913,0.43478260869565216,0.6086956521739131,5.704319898928255,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.782608695652174,0.21739130434782608,probe_country_service
BE,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,12,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",6,1,1.0,0.0,probe_country_service
BG,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,probe_country_service
BH,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,0.5,0.7,0.9,3.389245277339832,weak_network_transition_concentration,0.5,0.7,0.9,3.389245277339832,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,0.7,0.3,probe_country_service
BJ,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,probe_country_service
BO,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0.875,1.0,1.0,1.4575692649810903,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.875,0.125,probe_country_service
BR,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,0.5,0.5,probe_country_service
