country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
CH,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,44,44.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,27,7,1,1.0,0.0,country_corridor_concentration_summary,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,36,36.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,23,6,1,1.0,0.0,service_country_corridor_concentration_summary,CH,A-Root
SG,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,854,854.0,3,landing_region_0132::landing_region_0132,0.990632318501171,0.9988290398126464,1.0,1.0582375011592078,severe_corridor_observation_concentration,True,True,True,True,auditable,,400,164,1,0.990632318501171,0.00936768149882904,country_corridor_concentration_summary,,
CN,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,35,35.0,2,landing_region_0230::landing_region_0230,0.9714285714285714,1.0,1.0,1.1385331173948228,severe_corridor_observation_concentration,True,True,True,True,auditable,,18,4,1,0.9428571428571428,0.05714285714285714,country_corridor_concentration_summary,,
DK,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,143,143.0,4,landing_region_0051::landing_region_0051,0.951048951048951,0.9825174825174825,0.993006993006993,1.2700866378445463,severe_corridor_observation_concentration,True,True,True,True,auditable,,60,24,1,0.8391608391608392,0.16083916083916083,country_corridor_concentration_summary,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,215,215.0,5,landing_region_0132::landing_region_0132,0.9069767441860465,0.9488372093023255,0.9860465116279069,1.5103641246253103,severe_corridor_observation_concentration,True,True,True,True,auditable,,60,33,1,0.9534883720930233,0.046511627906976744,service_country_corridor_concentration_summary,SG,A-Root
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,151,151.0,4,landing_region_0051::landing_region_0051,0.8675496688741722,0.9602649006622517,0.9900662251655629,1.6393042330736938,severe_corridor_observation_concentration,True,True,True,True,auditable,,51,21,1,0.8543046357615894,0.1456953642384106,service_country_corridor_concentration_summary,DK,A-Root
TW,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,178,178.0,5,landing_region_0719::landing_region_0719,0.8370786516853933,0.949438202247191,0.9775280898876405,1.814305083476955,severe_corridor_observation_concentration,True,True,True,True,auditable,,49,15,1,0.9775280898876404,0.02247191011235955,country_corridor_concentration_summary,,
ES,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,54,54.0,6,landing_region_0126::landing_region_0431,0.8333333333333334,0.9074074074074074,0.962962962962963,1.9462002400663758,severe_corridor_observation_concentration,True,True,True,True,auditable,,45,24,1,0.09259259259259259,0.9074074074074074,country_corridor_concentration_summary,,
NO,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,112,112.0,8,landing_region_0335::landing_region_0335,0.8035714285714286,0.875,0.9107142857142857,2.293943904510177,severe_corridor_observation_concentration,True,True,True,True,auditable,,40,19,1,1.0,0.0,country_corridor_concentration_summary,,
US,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,344,343.99999999999994,11,landing_region_0223::landing_region_0223,0.7916666666666666,0.9050387596899224,0.9321705426356589,2.317081078927285,moderate_corridor_observation_concentration,True,True,True,True,auditable,,172,64,1,0.9796511627906976,0.02034883720930233,country_corridor_concentration_summary,,
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,42,42.0,6,landing_region_0126::landing_region_0431,0.7857142857142857,0.8809523809523809,0.9523809523809523,2.2175807306719166,moderate_corridor_observation_concentration,True,True,True,True,auditable,,33,16,1,0.11904761904761904,0.8809523809523809,service_country_corridor_concentration_summary,ES,A-Root
,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,142,142.0,8,landing_region_0719::landing_region_0719,0.7816901408450704,0.8943661971830985,0.9295774647887324,2.3235550337330984,moderate_corridor_observation_concentration,True,True,True,True,auditable,,38,14,1,0.9859154929577465,0.014084507042253521,service_country_corridor_concentration_summary,TW,A-Root
