probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,6,6.0,3,landing_region_0132::landing_region_0132,0.6666666666666666,0.8333333333333333,1.0,2.3811015779522995,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.8333333333333334,0.16666666666666666,probe_country_service
AF,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0132::landing_region_0132,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,1.0,0.0,probe_country_service
AL,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0128::landing_region_0341,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
AT,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
AU,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,518,518.0,9,landing_region_0041::landing_region_0041,0.48841698841698844,0.7490347490347491,0.8764478764478765,3.973693886341548,weak_corridor_observation_concentration,True,True,True,True,auditable,,108,47,1,0.974903474903475,0.025096525096525095,probe_country_service
AX,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3,3.0,3,landing_region_0351::landing_region_0512,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.3333333333333333,0.6666666666666666,probe_country_service
BD,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0132::landing_region_0132,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1,1.0,0.0,probe_country_service
BG,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_0041::landing_region_0041,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,probe_country_service
BJ,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,14,14.0,4,landing_region_0239::landing_region_0239,0.42857142857142855,0.7142857142857142,0.9285714285714285,3.454436655786227,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.42857142857142855,0.5714285714285714,probe_country_service
BR,A-Root,5009,dns-root_a-root_msm5009_20260701T000000Z_010000Z.json,3,3.0,2,landing_region_0174::landing_region_0370,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.3333333333333333,0.6666666666666666,probe_country_service
