unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=B-Root,8,8,5.875,1.0,14,1.0,1.0,1,0.375,0.375,0.0,0.875,0.0,0.75,0.5
probe_country=AF|service_id=B-Root,3,3,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0
probe_country=AL|service_id=B-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=AO|service_id=B-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=AT|service_id=B-Root,1,1,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=B-Root,577,577,5.689774696707106,3.0,14,1.0,1.0,1,0.35008665511265163,0.6984402079722704,0.0,0.6759098786828422,0.14211438474870017,0.9844020797227037,0.6793760831889082
probe_country=AX|service_id=B-Root,3,3,1.6666666666666667,1.0,3,1.0,1.0,1,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
probe_country=BD|service_id=B-Root,9,9,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.4444444444444444
probe_country=BF|service_id=B-Root,13,13,1.3076923076923077,1.0,5,1.0,1.0,1,0.07692307692307693,0.0,0.0,0.5384615384615384,0.23076923076923078,0.5384615384615384,0.3076923076923077
probe_country=BG|service_id=B-Root,1,1,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=BH|service_id=B-Root,7,7,3.5714285714285716,1.0,14,1.0,1.0,1,0.42857142857142855,0.2857142857142857,0.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
probe_country=BJ|service_id=B-Root,11,11,1.2727272727272727,1.0,2,1.0,1.0,1,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727,0.5454545454545454,0.8181818181818182
probe_country=BR|service_id=B-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=BT|service_id=B-Root,4,4,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=BY|service_id=B-Root,3,3,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=CA|service_id=B-Root,186,186,1.9731182795698925,2.0,3,1.0,1.0,1,0.0,0.6344086021505376,0.0,0.7956989247311828,0.0,0.7311827956989247,0.7526881720430108
probe_country=CH|service_id=B-Root,55,55,1.6727272727272726,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.6727272727272727,0.0,1.0,1.0
probe_country=CI|service_id=B-Root,7,7,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714
probe_country=CK|service_id=B-Root,3,3,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666
probe_country=CM|service_id=B-Root,5,5,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.2,0.0,0.0,0.4
probe_country=CN|service_id=B-Root,23,23,6.043478260869565,2.0,14,1.0,1.0,1,0.391304347826087,0.43478260869565216,0.0,0.7391304347826086,0.0,0.8260869565217391,0.6521739130434783
probe_country=CO|service_id=B-Root,2,2,1.5,1.5,2,1.0,1.0,1,0.5,0.0,0.0,0.5,0.0,0.0,0.5
probe_country=CU|service_id=B-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CV|service_id=B-Root,9,9,1.0,1.0,1,1.0,1.0,1,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.7777777777777778
probe_country=CW|service_id=B-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0
probe_country=CY|service_id=B-Root,9,9,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222
probe_country=CZ|service_id=B-Root,2,2,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=DE|service_id=B-Root,31,31,3.4516129032258065,2.0,14,1.0,1.0,1,0.41935483870967744,0.3870967741935484,0.0,0.5483870967741935,0.0,0.8064516129032258,0.8709677419354839
probe_country=DJ|service_id=B-Root,3,3,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
probe_country=DK|service_id=B-Root,355,355,4.647887323943662,4.0,14,1.0112676056338028,1.0,2,0.9408450704225352,0.9154929577464789,0.0,0.6845070422535211,0.0,0.7352112676056338,0.5267605633802817
probe_country=DO|service_id=B-Root,4,4,1.75,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.25,0.0,0.0,1.0
probe_country=EE|service_id=B-Root,30,30,2.6666666666666665,2.0,6,1.0,1.0,1,0.26666666666666666,0.13333333333333333,0.0,0.5333333333333333,0.0,0.0,0.6333333333333333
probe_country=ES|service_id=B-Root,13,13,1.3846153846153846,1.0,3,1.0769230769230769,1.0,2,0.15384615384615385,0.0,0.0,0.38461538461538464,0.0,0.38461538461538464,0.5384615384615384
probe_country=FI|service_id=B-Root,128,128,2.875,3.0,6,1.0,1.0,1,0.890625,0.03125,0.0,0.3203125,0.0,0.109375,0.7890625
probe_country=FJ|service_id=B-Root,2,2,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.5
probe_country=FM|service_id=B-Root,2,2,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0
probe_country=GB|service_id=B-Root,1,1,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0
probe_country=GG|service_id=B-Root,2,2,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,0.5,0.0,1.0,0.5
probe_country=GH|service_id=B-Root,8,8,2.75,1.0,6,1.0,1.0,1,0.375,0.25,0.0,0.375,0.125,0.375,0.75
probe_country=GP|service_id=B-Root,1,1,3.0,3.0,3,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0
probe_country=GU|service_id=B-Root,24,24,2.5416666666666665,2.0,14,1.0,1.0,1,0.041666666666666664,0.041666666666666664,0.0,0.625,0.125,0.7083333333333334,0.75
probe_country=HK|service_id=B-Root,146,146,5.678082191780822,2.0,14,1.0,1.0,1,0.3835616438356164,0.3904109589041096,0.0,0.7054794520547946,0.0,0.7602739726027398,0.5821917808219178
probe_country=HN|service_id=B-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0
probe_country=ID|service_id=B-Root,269,269,8.821561338289962,12.0,14,1.0,1.0,1,0.620817843866171,0.5947955390334573,0.0,0.8141263940520446,0.026022304832713755,0.8066914498141264,0.4795539033457249
probe_country=IL|service_id=B-Root,38,38,1.2105263157894737,1.0,2,1.0,1.0,1,0.0,0.631578947368421,0.0,0.8157894736842105,0.0,0.8157894736842105,0.631578947368421
probe_country=IM|service_id=B-Root,4,4,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.5,0.0,1.0,1.0
probe_country=IN|service_id=B-Root,198,198,10.904040404040405,14.0,14,1.0,1.0,1,1.0,0.6717171717171717,0.0,0.8131313131313131,0.025252525252525252,0.7222222222222222,0.29292929292929293
probe_country=IT|service_id=B-Root,4,4,2.75,3.0,4,1.0,1.0,1,0.5,0.0,0.0,0.5,0.0,0.5,1.0
probe_country=JP|service_id=B-Root,21,21,10.285714285714286,14.0,14,1.0,1.0,1,0.7142857142857143,0.9523809523809523,0.0,1.0,0.0,1.0,0.5714285714285714
probe_country=KE|service_id=B-Root,12,12,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.75,0.0,0.8333333333333334,0.4166666666666667
probe_country=KH|service_id=B-Root,2,2,14.0,14.0,14,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0
probe_country=KI|service_id=B-Root,9,9,3.7777777777777777,3.0,14,1.0,1.0,1,0.3333333333333333,0.7777777777777778,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666
probe_country=KN|service_id=B-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=KR|service_id=B-Root,3,3,10.0,14.0,14,1.0,1.0,1,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1.0,0.3333333333333333
probe_country=KW|service_id=B-Root,1,1,6.0,6.0,6,1.0,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0
